block_size,compaction_readahead_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,0,4,0,32,1,1,10,2,1,67108864,-122436,60113
65536,360000,256,4,4,1,2,1,2,32,1073741824,-141523,120215
256,0,256,4,128,16,8,3,1,4,4194304,-30409,180423
4096,120000,2,1024,16,256,7,0,1,16,16384,-12457,240573
4,120000,64,128,256,4,5,8,4,32,1024,-8058,300712
262144,40000,4,32,256,32,2,5,32,32,1,-67224,360813
1,240000,128,1,1024,16,0,9,32,1,262144,-8806,420957
16,400000,64,64,128,2,2,2,64,1,1073741824,-142318,481059
1024,80000,1,1024,32,1,0,7,4,4,262144,-15557,541321
64,0,8,4,256,16,1,2,64,32,1073741824,-142778,601418
65536,320000,8,2,16,16,1,3,2,4,16384,-47382,661680
1,400000,16,32,512,1,9,5,16,2,67108864,-126564,723596
256,280000,64,1024,1024,4,6,1,128,32,1073741824,-145827,785581
1,240000,16,4,8,2,6,12,64,1,1073741824,-144341,847493
64,0,8,4,1024,16,0,2,128,32,1073741824,-141797,909753
256,80000,64,1024,256,4,5,14,64,32,1073741824,-142706,971608
1,80000,16,128,256,2,6,8,32,1,1073741824,-144255,1033657
1,160000,32,256,16,2,6,3,128,8,64,-10902,1093900
4,240000,8,32,4,2,10,1,128,8,1073741824,-145089,1155735
64,320000,256,256,1,256,6,1,128,16,1073741824,-144613,1217629
256,160000,32,1024,512,4,7,0,128,8,1073741824,-143739,1279608
1,240000,1,256,1024,4,6,0,128,32,1073741824,-145297,1341498
4096,240000,128,32,1024,2,9,1,128,32,1073741824,-145100,1403407
1024,0,4,64,64,256,0,7,8,4,16384,-17573,1463829
16,280000,4,1024,1,4,1,5,2,2,1,-4525,1524298
64,80000,32,256,64,256,5,10,64,8,67108864,-125642,1584490
