compaction_throughput_mb_per_sec,concurrent_compactors,concurrent_reads,concurrent_writes,file_cache_size_in_mb,memtable_heap_space_in_mb,memtable_offheap_space_in_mb,memtable_allocation_type,row_cache_size_in_mb,sstable_preemptive_open_interval_in_mb,Throughput,Timestamp
16,4,32,32,512,2048,2048,heap_buffers,0,50,-354.0,1383393.0
64,4,47,36,2048,2730,3413,heap_buffers,7,40,-199.0,2778278.0
16,11,30,33,2048,2730,3413,heap_buffers,10,100,-465.0,4113741.0
16,7,44,45,2048,3413,2730,heap_buffers,16,80,-222.0,5498093.0
16,8,44,25,2048,3754,3754,offheap_buffers,4,10,-871.0,6733267.0
16,8,37,56,256,1024,3413,offheap_buffers,16,0,-369.0,8090407.0
64,15,38,12,512,3413,1365,offheap_objects,5,10,-470.0,9435708.0
16,2,49,20,256,2389,1706,heap_buffers,12,40,-444.0,10750356.0
64,9,33,39,512,2730,2048,heap_buffers,13,20,-435.0,12139366.0
32,14,17,55,512,1024,2389,heap_buffers,1,70,-223.0,13490235.0
16,4,52,23,1024,2730,1706,offheap_buffers,16,0,-176.0,14851710.0
16,5,10,38,2048,4096,3754,offheap_objects,6,10,-479.0,16223041.0
16,13,9,12,2048,3754,3754,offheap_buffers,6,0,-466.0,17539848.0
16,9,41,63,512,3754,4096,heap_buffers,4,90,-483.0,18927901.0
16,9,44,8,1024,4096,4096,offheap_buffers,2,10,-422.0,20285658.0
32,3,59,48,2048,4096,2730,offheap_objects,11,10,-333.0,21660803.0
16,8,50,56,1024,3754,4096,offheap_objects,4,0,-478.0,23012922.0
16,8,20,45,2048,3754,3754,offheap_buffers,14,90,-274.0,24386198.0
64,3,53,14,2048,4096,3754,heap_buffers,4,20,-770.0,25743520.0
32,2,42,50,512,3413,1024,offheap_objects,2,60,-581.0,27085413.0
16,2,44,63,2048,4096,2730,offheap_objects,2,50,-624.0,28406460.0
64,4,64,32,2048,4096,2389,heap_buffers,5,20,-382.0,29758744.0
64,8,19,22,2048,3754,2048,offheap_buffers,2,10,-509.0,31106251.0
64,16,45,26,512,3413,3754,offheap_buffers,1,30,-430.0,32409839.0
64,4,53,14,2048,3072,3754,heap_buffers,4,0,-790.0,33753407.0
64,3,52,27,2048,4096,1706,offheap_buffers,4,40,-389.0,35113253.0
64,4,48,18,2048,3072,1706,offheap_objects,1,10,-677.0,36459782.0
16,3,39,24,2048,3413,4096,offheap_objects,3,100,-406.0,37802987.0
32,7,60,15,2048,2730,2730,offheap_buffers,2,0,-844.0,39142478.0
32,6,52,17,2048,1365,2730,heap_buffers,4,10,-423.0,40496961.0
16,2,56,23,2048,2730,4096,offheap_buffers,6,10,-605.0,41831766.0
16,7,45,25,2048,3413,3072,offheap_buffers,4,10,-1088.0,43002780.0
16,8,43,25,1024,2730,3754,offheap_buffers,0,90,-626.0,44340283.0
16,7,51,25,1024,4096,1706,heap_buffers,6,50,-571.0,45689508.0
16,7,45,25,2048,3413,3072,offheap_buffers,5,10,-648.0,47039709.0
16,8,44,25,2048,3754,3754,offheap_buffers,4,30,-691.0,48407897.0
16,6,49,24,2048,2730,3072,offheap_buffers,4,10,-607.0,49776643.0
16,7,45,25,2048,3413,2389,offheap_objects,4,20,-724.0,51140154.0
16,8,44,25,2048,3413,3754,offheap_buffers,4,10,-560.0,52479509.0
32,7,60,25,2048,3072,2730,offheap_buffers,2,10,-1642.0,53598291.0
32,7,60,25,2048,1706,1024,offheap_buffers,2,30,-643.0,54948057.0
32,8,61,25,2048,3754,2730,offheap_buffers,4,10,-697.0,56306492.0
64,10,60,25,1024,2389,3072,offheap_buffers,1,0,-982.0,57553836.0
64,10,60,25,1024,3072,3072,offheap_buffers,1,0,-675.0,58924420.0
32,10,25,22,1024,3072,1706,heap_buffers,5,30,-606.0,60275851.0
64,7,60,25,2048,3072,2730,offheap_buffers,2,10,-713.0,61639031.0
32,3,61,25,512,2048,3754,offheap_buffers,3,10,-589.0,62986888.0
16,7,60,25,2048,3072,2730,offheap_buffers,2,10,-821.0,64347648.0
16,7,60,25,256,3072,2730,offheap_buffers,2,10,-565.0,65702567.0
32,7,60,25,1024,3072,2730,offheap_buffers,2,10,-655.0,67069297.0
16,14,60,25,2048,3072,2730,heap_buffers,2,10,-666.0,68380450.0
32,7,54,25,2048,2730,3072,offheap_buffers,0,10,-683.0,69736771.0
32,7,60,25,2048,3413,2730,offheap_buffers,2,10,-613.0,71079917.0
32,7,64,25,2048,3072,2730,offheap_buffers,2,10,-545.0,72442563.0
32,7,60,25,2048,3072,2389,offheap_buffers,4,10,-618.0,73784635.0
32,7,60,25,2048,3072,3072,offheap_buffers,2,10,-580.0,75132695.0
32,7,60,25,2048,3072,2730,offheap_buffers,3,10,-649.0,76482031.0
16,7,60,25,2048,2730,2730,offheap_buffers,2,10,-619.0,77844432.0
32,7,60,25,2048,3072,2730,offheap_buffers,2,20,-947.0,79121346.0
16,10,62,26,2048,1365,2730,offheap_buffers,1,20,-602.0,80473099.0
32,7,60,25,2048,3072,2730,offheap_buffers,2,0,-555.0,81828531.0
32,7,60,25,2048,3072,2730,heap_buffers,2,10,-306.0,83203169.0
32,7,60,23,2048,3072,2730,offheap_buffers,2,10,-284.0,84584342.0
32,7,61,25,2048,3072,2730,offheap_buffers,2,10,-244.0,85945981.0
16,8,60,25,2048,3072,2730,offheap_buffers,2,10,-310.0,87347334.0
32,7,60,25,2048,3072,2730,offheap_buffers,2,30,-463.0,88700973.0
16,9,25,48,1024,1365,3754,heap_buffers,12,90,-253.0,89973262.0
32,7,60,25,2048,3072,2730,offheap_objects,2,10,-294.0,91375340.0
32,7,60,25,2048,3072,2389,offheap_buffers,2,10,-289.0,92755284.0
32,7,60,25,2048,2730,2730,offheap_buffers,2,10,-174.0,94122707.0
16,7,60,25,2048,3072,2730,offheap_buffers,2,20,-231.0,95526051.0
32,8,60,25,2048,3072,2730,offheap_buffers,2,10,-340.0,96818773.0
32,7,60,26,2048,3072,2730,offheap_buffers,2,10,-204.0,98209203.0
32,7,60,24,2048,3072,2730,offheap_buffers,2,10,-268.0,99628259.0
64,7,60,25,2048,3072,2730,offheap_buffers,2,20,-342.0,100981109.0
32,7,60,25,2048,3754,2730,offheap_buffers,2,10,-183.0,102361354.0
16,7,60,25,2048,3413,2730,offheap_buffers,2,10,-238.0,103772496.0
32,7,60,25,256,3072,2730,offheap_buffers,2,10,-237.0,105140913.0
32,7,60,25,1024,3072,2730,offheap_buffers,2,20,-199.0,106526302.0
32,10,11,61,1024,3413,1365,offheap_objects,2,80,-479.0,107819158.0
16,7,45,25,2048,3413,3072,offheap_objects,4,10,-506.0,109174527.0
32,3,55,25,2048,3072,2730,offheap_buffers,2,10,-228.0,110543164.0
16,7,45,25,2048,3413,3072,offheap_buffers,4,20,-467.0,111925442.0
32,7,60,25,2048,3072,2730,offheap_buffers,2,40,-398.0,113272669.0
16,7,60,25,1024,3072,2730,offheap_buffers,2,10,-209.0,114670188.0
32,7,45,25,2048,3413,3072,offheap_buffers,4,10,-301.0,116055486.0
32,7,60,25,2048,3413,2730,offheap_buffers,2,20,-235.0,117436294.0
32,7,60,25,2048,2389,2730,offheap_buffers,2,10,-232.0,118745635.0
32,7,60,25,2048,3072,2048,offheap_buffers,2,10,-459.0,120131613.0
16,7,60,25,2048,3072,2730,offheap_buffers,2,0,-285.0,121490255.0
32,7,60,25,2048,3072,3413,offheap_buffers,2,10,-203.0,122877528.0
64,7,60,25,2048,3072,2730,offheap_buffers,2,0,-504.0,124265131.0
16,4,24,30,256,1365,1365,heap_buffers,14,10,-490.0,125618852.0
16,7,60,25,2048,3072,3072,offheap_buffers,2,10,-359.0,126979984.0
16,7,45,25,2048,3072,3072,offheap_buffers,4,10,-484.0,128326753.0
32,7,60,25,2048,2730,2730,offheap_buffers,2,0,-271.0,129694204.0
32,7,60,25,512,3072,2730,offheap_buffers,2,10,-556.0,131066240.0
64,6,57,49,2048,1365,3413,heap_buffers,0,40,-283.0,132418336.0
16,7,47,25,2048,3413,3072,offheap_buffers,4,10,-309.0,133788330.0
32,7,60,25,2048,3072,3072,offheap_buffers,2,20,-356.0,135152195.0
16,7,45,25,2048,3413,3413,offheap_buffers,4,10,-17198.0,135827966.0
16,7,45,25,256,3413,3413,offheap_buffers,4,10,-190.0,137192744.0
16,7,45,25,512,3413,3413,offheap_buffers,4,10,-2894.0,138191305.0
16,7,45,18,1024,3413,3413,offheap_buffers,13,10,-350.0,139564432.0
16,4,18,23,512,3413,1706,offheap_buffers,0,10,-287.0,140936569.0
32,7,45,25,2048,3413,3413,offheap_buffers,4,10,-242.0,142320133.0
16,7,45,30,2048,3413,3413,offheap_buffers,4,10,-319.0,143706295.0
16,8,45,25,2048,3413,3413,offheap_buffers,4,10,-305.0,145086465.0
16,7,45,25,2048,3754,3413,offheap_buffers,4,10,-266.0,146472369.0
16,7,45,25,2048,3413,3413,offheap_buffers,6,10,-295.0,147843894.0
16,7,45,25,2048,3413,3413,heap_buffers,4,10,-307.0,149220054.0
16,7,45,26,2048,3413,3413,offheap_buffers,4,10,-355.0,150536048.0
16,7,45,25,2048,3413,3413,offheap_buffers,4,0,-390.0,151905353.0
16,7,45,25,2048,3413,3413,offheap_buffers,4,20,-428.0,153263595.0
16,7,45,25,1024,3413,3413,offheap_buffers,4,10,-487.0,154648142.0
