block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,0,32,1,1,10,2,1,67108864,-95021,994773
32,true,280000,snappy,256,64,512,256,8,1,128,32,16777216,-587,2070435
16384,false,240000,zstd,1,1024,1024,8,7,9,1,32,32768,-21877,3075499
2048,true,240000,lz4,32,128,2,16,1,5,64,1,268435456,-8884,4071940
8192,true,0,lz4,64,1024,4,8,6,5,16,4,2097152,-7837,5070336
1,false,360000,zstd,64,4,128,128,6,0,1,2,262144,-16622,6082738
4,false,200000,snappy,1,16,512,64,3,6,8,4,33554432,-103086,7081281
4,true,280000,lz4,64,256,64,256,6,2,8,4,131072,-700,8138530
8,false,0,zstd,256,16,2,1,1,9,64,4,1073741824,-95344,9137535
128,true,400000,lz4,4,512,16,16,8,6,128,32,128,-1058,10171937
524288,true,240000,lz4,1,512,8,128,4,5,128,4,8,-6472,11180202
1024,false,280000,lz4,128,0,64,16,9,6,128,2,67108864,-97800,12175231
8192,true,0,lz4,128,32,4,8,7,6,128,1,16384,-16694,13178065
1024,true,40000,zstd,8,0,16,8,8,6,128,8,67108864,-3041,14186077
8192,true,120000,lz4,64,1,16,1,5,3,16,1,16384,-18213,15186379
64,false,40000,zstd,128,1,32,2,7,1,32,16,2097152,-59034,16182406
65536,true,200000,snappy,16,512,1,16,1,8,4,32,536870912,-11603,17177867
1024,true,120000,lz4,1,256,8,2,4,3,64,8,1,-5437,18188741
4096,false,160000,snappy,8,8,1,256,5,1,32,32,33554432,-96017,19181165
2048,true,120000,snappy,128,128,512,256,2,3,4,8,8,-5052,20189657
262144,false,320000,snappy,2,32,64,256,9,3,4,16,8192,-6646,21195921
32,false,120000,lz4,256,8,1024,16,9,7,128,16,4096,-10273,22203200
512,false,320000,zstd,8,256,2,256,4,3,128,4,1073741824,-90171,23199218
16384,true,120000,snappy,8,0,8,8,0,2,32,1,1073741824,-11989,24195839
65536,false,40000,lz4,8,128,16,64,2,10,2,8,65536,-24265,25199712
16384,false,0,lz4,64,1,16,8,9,0,64,2,536870912,-89348,26195787
8192,true,360000,zstd,1,0,64,4,5,10,2,16,1073741824,-52514,27195261
1,true,280000,lz4,4,0,256,64,3,8,16,16,1073741824,-857,28248017
8,true,160000,snappy,2,512,4,256,7,10,8,2,1,-461,29382044
1,false,200000,zstd,1,512,256,16,7,5,1,32,134217728,-139855,30388172
8,false,80000,snappy,256,32,32,4,7,7,4,8,4,-10586,31397372
16384,true,400000,lz4,1,1,2,16,0,10,4,32,2097152,-41209,32389665
32,false,40000,lz4,1,1,256,64,9,8,4,8,67108864,-99480,33386711
512,true,0,zstd,256,1024,8,256,1,0,8,8,16,-939,34452810
65536,false,320000,zstd,128,512,256,32,7,7,64,32,1,-3456,35472868
65536,false,0,zstd,8,0,32,16,9,1,4,32,33554432,-37564,36468666
8192,false,40000,zstd,2,2,1,4,7,1,2,4,33554432,-70977,37464226
4,true,160000,snappy,32,16,1024,64,7,8,2,32,134217728,-699,38520943
1024,true,280000,zstd,16,256,4,256,2,9,8,8,32,-1503,39560070
4096,true,80000,lz4,2,1024,4,128,2,5,8,4,32,-18809,40561547
8192,true,200000,lz4,64,4,256,128,0,3,32,2,16384,-21726,41563187
262144,true,160000,lz4,1,4,1024,8,9,10,64,8,4194304,-38230,42557823
524288,false,160000,zstd,1,0,8,8,6,8,8,2,262144,-1949,43572040
32,false,40000,snappy,2,64,4,64,4,0,4,16,16384,-46637,44572621
128,true,160000,lz4,128,8,256,2,7,8,16,1,16777216,-1629,45605164
16384,false,200000,lz4,1,32,8,32,1,1,128,1,32,-48849,46604185
512,false,160000,snappy,4,128,4,128,8,3,1,1,8388608,-96083,47596348
2048,true,0,lz4,32,64,256,4,3,6,2,1,268435456,-9331,48591331
32768,true,240000,zstd,128,64,32,1,2,0,64,4,536870912,-11324,49586521
524288,true,80000,lz4,64,16,512,16,9,2,4,32,64,-3149,50604398
262144,false,400000,lz4,2,2,256,64,9,6,32,1,8388608,-25365,51599687
32768,false,0,zstd,8,2,1024,1,9,3,4,1,16777216,-24885,52594963
16,false,0,zstd,8,0,2,64,2,8,128,8,4194304,-67069,53590443
524288,true,160000,snappy,128,32,512,2,0,7,16,2,512,-2590,54596303
524288,false,160000,snappy,128,2,64,32,7,9,1,2,131072,-2734,55613786
262144,true,400000,snappy,1,1024,64,64,0,7,64,16,16384,-9013,56618386
131072,true,0,lz4,4,512,1024,8,3,9,8,8,64,-15417,57619983
32768,true,0,snappy,32,32,1,1,8,10,1,8,512,-18021,58623890
16,false,240000,lz4,32,64,1,128,1,8,2,1,524288,-24878,59621569
131072,false,40000,lz4,128,16,4,16,8,9,32,16,1024,-3761,60644898
262144,true,320000,zstd,1,512,512,1,1,0,2,1,536870912,-33996,61641346
262144,false,320000,lz4,4,1024,1024,1,9,1,128,4,2097152,-17703,62635759
262144,true,80000,snappy,128,1,4,8,8,3,4,1,8,-5961,63642952
4096,true,0,snappy,32,128,1024,32,6,10,2,8,131072,-9351,64642771
4096,true,120000,snappy,32,1,1024,32,1,4,32,2,536870912,-9756,65634555
1024,true,0,lz4,2,512,512,64,9,3,64,32,16777216,-16582,66627613
32,false,80000,snappy,4,16,2,4,4,2,128,32,1073741824,-95873,67623954
4,false,400000,lz4,2,4,4,32,7,0,2,16,1,-2816,68656921
16384,true,240000,zstd,256,16,1024,8,1,6,64,16,64,-3714,69675347
256,false,0,snappy,4,0,256,4,2,6,4,4,256,-4887,70684495
512,true,0,lz4,256,1024,512,2,0,8,4,16,8388608,-3656,71688888
524288,true,0,lz4,128,32,2,64,2,2,128,8,16384,-1453,72736087
131072,false,400000,lz4,4,1,32,4,4,7,1,1,2048,-3651,73747486
262144,true,80000,zstd,4,1,16,128,8,2,4,32,64,-2437,74759718
32768,false,0,zstd,16,512,4,32,3,6,1,2,2097152,-8723,75755800
4096,true,280000,lz4,64,2,128,64,9,3,1,8,2097152,-10678,76750674
128,true,360000,lz4,8,2,32,1,6,0,32,2,65536,-944,77805307
16,true,0,zstd,128,64,2,64,8,6,16,8,64,-247,79063217
128,true,0,zstd,256,1,8,4,9,7,16,32,512,-378,80206621
32,true,400000,snappy,4,2,512,2,3,9,1,8,8,-466,81338609
16384,false,400000,snappy,1,8,64,32,1,7,128,4,16777216,-94245,82331994
2048,false,0,zstd,32,64,256,32,5,5,8,1,536870912,-93879,83327006
131072,true,360000,lz4,4,64,1024,64,6,7,32,4,1024,-14776,84329486
8,false,240000,lz4,256,32,1,64,3,3,64,1,262144,-10041,85328248
16384,false,240000,lz4,32,128,512,4,5,5,2,2,8,-33488,86330532
1,false,40000,snappy,4,0,512,1,6,2,16,4,16,-9272,87343333
65536,true,80000,zstd,2,16,1024,1,7,2,8,32,262144,-5731,88348906
8,true,0,snappy,4,2,8,256,0,5,64,32,4,-456,89487959
131072,false,40000,snappy,1,16,4,4,7,3,64,1,8192,-11647,90496935
524288,false,400000,lz4,16,64,8,16,5,1,128,8,268435456,-73005,91491920
2048,false,240000,snappy,8,256,16,2,7,7,2,16,256,-45712,92492102
4,true,80000,snappy,16,2,256,64,8,10,64,16,268435456,-699,93552499
4,true,80000,lz4,4,128,2,16,7,10,4,8,256,-658,94673252
128,false,80000,snappy,4,128,8,128,0,3,4,8,512,-45660,95681349
4,false,80000,lz4,8,256,4,8,9,5,32,2,65536,-37198,96682844
128,false,280000,lz4,2,256,512,128,1,4,64,8,8,-49259,97684647
512,true,40000,lz4,256,1024,4,1,9,1,4,8,65536,-2159,98713006
524288,true,120000,lz4,1,4,1024,64,2,8,8,8,67108864,-53850,99707698
262144,true,240000,lz4,8,256,16,1,6,5,128,1,4096,-5513,100718332
32768,false,40000,zstd,128,8,1,256,8,1,2,1,8388608,-8866,101719140
1024,true,0,lz4,16,16,32,128,4,8,32,16,2097152,-6733,102718755
4096,true,0,zstd,8,32,2,128,2,7,128,8,16,-4510,103733006
8,true,40000,snappy,4,16,1024,64,1,10,16,32,2048,-530,104858835
128,false,400000,snappy,128,8,1,8,2,10,8,2,1073741824,-91486,105853757
65536,false,240000,zstd,1,2,16,16,2,8,128,8,4096,-2778,106870740
256,true,40000,zstd,16,128,64,256,0,2,2,2,16777216,-900,107916536
2048,true,400000,lz4,2,16,32,2,6,10,64,16,2097152,-13299,108913101
1,false,120000,zstd,4,256,1024,16,5,9,32,8,524288,-27184,109916642
32,true,40000,snappy,32,0,64,16,8,1,1,16,65536,-473,111032695
262144,true,360000,zstd,32,1024,64,256,7,7,8,1,2048,-1918,112053139
256,true,320000,snappy,32,1,4,2,6,5,2,32,512,-1039,113099531
8,false,40000,lz4,128,1,1024,256,6,5,16,8,8,-12034,114109305
16384,true,360000,lz4,32,1,16,2,4,1,2,8,536870912,-12596,115105276
