block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,0,32,1,1,10,67108864,-111495,1621423450915
262144,true,360000,snappy,32,4,8,16,5,8,2048,-10279,1621423450915
64,true,320000,snappy,1,256,128,16,1,7,134217728,-302,1621423450915
262144,false,360000,zstd,4,256,1024,64,7,6,512,-1858,1621423450915
8,true,160000,lz4,32,8,2,2,9,10,8192,-343,1621423450915
4,false,280000,lz4,8,1,512,32,0,4,524288,-14285,1621423450915
524288,false,240000,snappy,1,8,128,32,0,5,262144,-3514,1621423450915
1,false,160000,zstd,64,0,64,2,6,5,2097152,-9561,1621423450915
256,false,360000,lz4,32,128,4,1,7,3,16,-12892,1621423450915
256,false,0,snappy,4,2,16,256,6,10,1,-2241,1621423450915
262144,false,80000,snappy,256,8,128,4,4,4,262144,-1822,1621423450915
8,false,200000,zstd,4,8,512,32,2,1,67108864,-88265,1621423450915
262144,true,0,snappy,2,0,32,1,2,8,67108864,-19553,1621424506783
16,true,0,zstd,1,4,8,1,1,2,67108864,-201,1621425635608
2048,false,400000,snappy,1,128,8,1,6,7,268435456,-157751,1621426686703
1,true,0,snappy,2,8,1,1,2,5,268435456,-282,1621427859523
8,true,400000,lz4,2,512,128,128,6,10,8388608,-2810,1621429108621
32768,false,400000,snappy,16,4,1024,1,8,9,67108864,-38949,1621430173017
1,false,400000,snappy,1,1024,1,1,4,10,134217728,-141035,1621431238197
2048,false,400000,zstd,8,1024,2,8,6,7,1073741824,-81201,1621432297917
8192,false,400000,snappy,1,4,8,128,5,6,1073741824,-158340,1621433356116
1,false,280000,lz4,16,8,32,16,8,3,32,-6623,1621434454020
8192,false,400000,snappy,1,4,128,1,8,9,134217728,-146112,1621435510883
8192,false,400000,snappy,1,4,8,128,5,6,33554432,-132410,1621436566559
4,false,400000,snappy,1,64,4,16,6,7,16777216,-92715,1621437623640
16,false,240000,snappy,4,64,2,8,7,5,131072,-48611,1621438683783
1,true,400000,snappy,1,8,8,128,4,5,1073741824,-278,1621439853424
2048,false,400000,snappy,1,128,8,1,6,3,268435456,-159930,1621440914085
1024,false,400000,zstd,1,2,8,16,1,3,268435456,-129586,1621441971319
