block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,Throughput,Timestamp
4096,false,0,snappy,1,1,10,-103343,1003935
512,false,240000,zstd,32,4,8,-102642,2008134
512,false,120000,lz4,256,8,7,-118173,3007541
131072,true,360000,lz4,64,5,10,-31884,4006685
1024,false,200000,lz4,1,1,7,-117279,5006697
4,false,200000,zstd,1,8,10,-85841,6015725
64,true,320000,zstd,128,7,5,-203,7137834
8,false,40000,snappy,32,0,4,-111073,8136315
8,false,240000,snappy,64,8,6,-109523,9140557
512,false,280000,lz4,128,7,7,-117398,10141427
128,true,0,lz4,1,3,7,-426,11345549
16,false,320000,lz4,1,2,7,-106840,12350352
2048,false,320000,lz4,128,4,5,-108199,13354832
256,false,200000,lz4,64,9,13,-113151,14358691
512,false,40000,lz4,256,8,7,-115882,15361377
128,false,200000,lz4,1,5,5,-107271,16366850
512,false,0,lz4,256,8,7,-115148,17376591
262144,false,240000,lz4,128,7,7,-22044,18383212
64,false,240000,lz4,128,7,14,-104897,19390469
512,false,320000,lz4,256,1,7,-116210,20393426
4096,false,280000,lz4,256,6,7,-103653,21396766
512,false,240000,lz4,128,8,7,-115457,22399650
512,false,280000,zstd,128,7,7,-100242,23406436
512,false,360000,lz4,256,8,7,-116193,24411320
32768,false,120000,lz4,128,8,6,-57306,25415703
512,false,0,lz4,256,9,7,-116240,26419042
1024,false,160000,lz4,256,8,9,-115718,27420253
1024,false,120000,lz4,128,7,7,-116951,28423228
8192,false,80000,lz4,2,7,5,-93622,29423938
16384,false,120000,snappy,256,8,8,-70310,30426639
512,false,160000,snappy,256,6,7,-115741,31430798
512,false,120000,lz4,128,7,7,-115719,32432767
512,false,120000,lz4,256,7,8,-116120,33436093
1024,false,80000,lz4,2,7,7,-116095,34438017
1024,false,160000,lz4,128,7,7,-116328,35438966
512,false,120000,snappy,256,8,7,-117381,36440624
1024,false,240000,snappy,128,7,7,-117316,37442536
128,false,0,snappy,256,8,7,-108546,38447213
16384,false,240000,snappy,128,0,7,-74164,39449131
512,false,120000,snappy,256,8,6,-117703,40450590
1024,false,240000,lz4,128,7,7,-117114,41451180
512,false,280000,snappy,256,8,10,-116682,42453370
512,false,120000,snappy,256,8,8,-117119,43455784
128,false,240000,zstd,2,0,7,-84591,44469833
8192,false,200000,lz4,64,7,7,-92593,45472224
1024,false,120000,lz4,256,0,8,-116332,46472672
1024,false,120000,snappy,128,8,6,-114253,47476287
1024,false,280000,lz4,128,0,7,-113990,48480835
1024,false,80000,zstd,64,1,7,-88228,49487652
512,false,120000,snappy,256,8,14,-117690,50491644
256,true,320000,snappy,256,1,6,-1307,51588063
512,false,120000,snappy,256,9,8,-118277,52590325
512,false,320000,snappy,256,0,8,-117586,53593886
512,false,240000,snappy,256,0,8,-117154,54595299
1024,false,240000,lz4,128,3,7,-115422,55598530
2048,false,240000,snappy,256,9,8,-110791,56599240
512,false,240000,snappy,128,0,8,-118558,57600412
512,false,120000,lz4,256,9,0,-117480,58603247
1024,false,280000,lz4,128,6,6,-117176,59603844
256,false,400000,zstd,256,9,10,-99056,60611454
512,false,200000,snappy,64,1,8,-117809,61611839
4,true,280000,snappy,1,0,1,-302,62670983
8192,false,80000,snappy,128,7,7,-94510,63673968
512,false,280000,snappy,1,1,8,-119626,64675973
512,false,200000,lz4,32,1,8,-118334,65675815
128,false,0,lz4,16,1,15,-105703,66678989
256,false,280000,snappy,1,1,6,-116713,67679903
256,false,280000,snappy,16,0,8,-117192,68681630
131072,true,320000,snappy,256,5,2,-28653,69680234
1,false,200000,snappy,8,0,6,-111815,70679427
512,false,200000,lz4,128,7,6,-117280,71680853
512,false,200000,lz4,64,0,8,-118150,72682172
512,false,120000,snappy,256,1,8,-118775,73682691
32768,false,360000,lz4,256,8,1,-58085,74684176
512,false,400000,lz4,64,1,8,-117748,75686886
1,false,120000,snappy,128,1,0,-110899,76691093
1024,false,400000,lz4,128,7,6,-117261,77692705
512,false,400000,lz4,32,1,6,-118503,78693307
512,false,120000,snappy,256,9,2,-118700,79693766
512,false,120000,snappy,256,9,0,-119703,80695848
64,false,280000,snappy,1,1,7,-111751,81696890
512,false,400000,snappy,4,1,0,-119837,82700014
512,false,360000,lz4,256,8,10,-118322,83699959
512,false,400000,snappy,256,3,3,-119330,84700288
512,false,400000,snappy,1,3,8,-118838,85701229
64,true,240000,snappy,1,4,0,-308,86841882
256,false,400000,lz4,256,5,0,-116386,87843638
2048,true,80000,lz4,64,8,0,-7282,88849353
2048,false,400000,snappy,1,3,3,-111937,89850176
256,true,200000,snappy,1,3,3,-1981,90944516
512,false,360000,snappy,2,2,9,-119068,91944607
512,false,40000,snappy,256,9,0,-118570,92945649
512,false,80000,snappy,256,0,3,-118548,93946453
512,false,80000,snappy,256,2,4,-119131,94947376
1024,false,400000,snappy,256,8,0,-118902,95948246
512,false,120000,snappy,256,6,0,-118846,96948074
512,false,360000,lz4,256,10,1,-117026,97949679
2048,false,400000,snappy,128,1,2,-110953,98951690
512,false,360000,snappy,1,1,0,-118293,99952871
256,false,400000,snappy,1,1,0,-115262,100955526
