block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,0,32,1,1,10,67108864,-173334,990965
4096,false,40000,zstd,32,128,64,4,3,7,32,-31753,1986746
4,false,200000,lz4,4,256,128,128,8,2,134217728,-206124,2977813
64,false,320000,snappy,1,64,1024,16,3,8,512,-42787,3977624
524288,true,320000,zstd,64,0,1,128,7,9,1024,-2492,4998783
8,false,0,snappy,2,128,2,64,4,7,65536,-62820,5999170
256,false,160000,snappy,1,1,4,32,7,10,512,-2781,7014241
4,true,160000,lz4,64,64,256,64,8,6,256,-366,8155585
65536,false,120000,zstd,8,0,1,4,2,3,16,-8495,9159129
4096,false,160000,snappy,1,8,2,128,0,9,1048576,-121901,10149916
4096,true,120000,lz4,128,32,16,32,8,3,33554432,-3797,11151108
16384,true,80000,snappy,2,512,1024,64,2,0,512,-30844,12152312
1,true,80000,lz4,1,0,64,4,2,11,1073741824,-3275,13302468
512,false,80000,zstd,1,64,16,1,9,1,134217728,-200476,14299128
4,false,200000,snappy,1,256,64,2,7,2,536870912,-257643,15297624
4,true,120000,lz4,1,2,1024,1,7,0,134217728,-430,16475316
1,false,240000,snappy,2,1024,256,1,1,2,1073741824,-261348,17470378
32,false,360000,lz4,1,64,1024,128,7,6,1073741824,-260997,18467520
4,false,160000,zstd,1,8,1024,64,2,0,536870912,-250444,19479886
4,false,360000,snappy,1,1,1024,128,3,13,1073741824,-263575,20476372
4,false,160000,lz4,1,256,64,2,7,2,536870912,-254994,21474725
64,false,400000,lz4,1,2,256,32,2,15,1073741824,-260970,22471639
16,false,400000,zstd,1,2,4,2,1,13,1073741824,-222792,23470704
16,false,240000,snappy,1,2,1024,16,6,12,1073741824,-228379,24474830
4,false,400000,snappy,8,1024,256,128,2,6,536870912,-148762,25474913
4,false,360000,snappy,1,0,1024,128,2,12,536870912,-223745,26476818
32,false,320000,lz4,1,32,1,32,4,7,536870912,-223802,27476318
1,false,120000,snappy,1,4,64,128,1,5,536870912,-227979,28475925
65536,false,320000,lz4,1,256,64,8,7,5,1073741824,-180956,29474102
128,false,160000,lz4,16,64,1,8,7,13,1073741824,-153272,30473032
32,false,400000,lz4,2,64,1024,128,7,6,1073741824,-223290,31473152
1,false,320000,snappy,1,1024,128,1,9,15,67108864,-185293,32472881
64,false,360000,zstd,1,1,256,32,2,13,536870912,-222218,33475463
1,false,0,zstd,1,1024,512,2,0,3,1073741824,-219038,34478962
32,false,0,lz4,1,2,1024,8,7,0,536870912,-224286,35478872
8192,false,0,lz4,16,16,512,8,2,8,524288,-72479,36476141
64,false,400000,lz4,1,0,256,32,2,15,1073741824,-220947,37477392
64,false,200000,snappy,1,64,64,2,3,0,1073741824,-222127,38478913
4,false,160000,zstd,1,8,1024,64,2,0,67108864,-160575,39482864
1,false,0,lz4,1,1,1024,4,5,14,1073741824,-219774,40484407
1,false,400000,snappy,1,1024,256,8,7,4,536870912,-220469,41485249
1,false,360000,lz4,1,16,2,32,7,2,1073741824,-220380,42486805
64,false,200000,snappy,1,256,64,1,7,2,536870912,-220815,43491525
4,false,240000,snappy,2,0,256,32,1,15,1073741824,-213286,44493728
4,false,160000,zstd,1,8,1024,64,1,0,536870912,-211663,45496082
64,false,320000,snappy,2,64,1,16,3,15,1073741824,-221011,46497549
1,false,240000,snappy,2,1024,256,1,1,2,268435456,-211038,47499271
128,false,360000,lz4,1,2,512,128,2,15,1073741824,-220959,48499767
4,false,160000,lz4,4,64,1024,2,6,3,536870912,-219075,49500223
1024,false,400000,snappy,1,2,1024,32,10,6,33554432,-185927,50499091
256,false,200000,zstd,1,2,1,128,5,7,536870912,-211780,51503869
8192,false,200000,lz4,2,16,1,128,8,10,131072,-83067,52506274
1,false,360000,lz4,2,1024,32,256,4,8,1073741824,-218865,53508193
4,false,360000,snappy,4,1,1024,128,3,13,1073741824,-218305,54508564
4,false,360000,snappy,1,1,1024,256,3,13,1073741824,-216974,55510461
4,false,360000,lz4,1,64,64,16,7,6,1073741824,-220407,56513627
16,false,80000,zstd,2,1024,64,2,7,1,536870912,-216026,57515743
256,false,400000,snappy,1,1,1024,64,2,12,536870912,-228561,58513606
32,false,360000,snappy,1,2,1,128,3,5,1073741824,-222815,59512972
64,false,400000,lz4,1,8,1024,64,2,15,1073741824,-219609,60512544
8,false,400000,lz4,1,1024,1024,128,7,3,1073741824,-220103,61512503
4,false,160000,snappy,1,128,1,4,1,2,1073741824,-222003,62512667
4,false,120000,snappy,1,256,1,8,2,1,536870912,-222203,63512467
1,false,200000,lz4,1,16,1024,1,7,0,536870912,-219658,64513152
32,false,160000,lz4,1,128,128,32,6,6,1073741824,-209711,65515790
4,false,360000,snappy,1,2,1024,16,7,9,1073741824,-214200,66521189
32,false,360000,lz4,1,16,1024,128,7,6,1073741824,-215743,67525136
64,false,400000,lz4,1,64,256,128,3,9,1073741824,-213914,68525353
2048,false,360000,zstd,1,0,1024,32,5,13,536870912,-187295,69528277
4,false,120000,lz4,1,512,1024,32,7,0,134217728,-185703,70531270
512,false,160000,snappy,256,512,4,16,0,6,131072,-6864,71547257
4,false,0,snappy,1,1,4,32,10,13,268435456,-213021,72548631
4,false,160000,zstd,2,0,64,2,3,2,536870912,-213332,73551476
256,false,240000,lz4,2,512,8,2,4,2,1073741824,-221466,74552773
32,true,80000,snappy,8,2,4,256,4,5,256,-281,75680930
1,false,360000,snappy,1,1,1024,128,3,13,1073741824,-222327,76682165
1,false,240000,lz4,4,1024,256,1,1,2,1073741824,-220234,77683945
1,false,160000,snappy,2,1024,64,1,0,2,1073741824,-220634,78684988
128,false,200000,snappy,1,512,1024,32,1,10,1024,-46157,79690893
1,false,0,snappy,2,2,256,128,9,2,1073741824,-221599,80693194
64,false,120000,snappy,1,0,128,256,1,4,1073741824,-222749,81693469
32,false,360000,snappy,1,32,1024,32,4,7,536870912,-219378,82693573
16,false,400000,lz4,1,2,256,32,2,15,1073741824,-217132,83697569
4,false,320000,snappy,1,256,512,1,3,7,1073741824,-220711,84697361
4,false,240000,snappy,1,256,1024,2,7,2,536870912,-220866,85697991
128,false,0,lz4,1,128,256,128,6,11,536870912,-222837,86696350
256,false,320000,zstd,2,32,2,16,2,0,536870912,-208146,87699644
8,false,160000,lz4,1,4,1,4,3,13,536870912,-227217,88700252
512,false,400000,snappy,1,0,256,128,9,11,4194304,-98284,89698260
128,false,240000,snappy,1,0,256,1,4,0,536870912,-227096,90697623
8,false,80000,snappy,1,0,1024,64,3,10,1073741824,-221990,91698011
4,false,0,zstd,1,32,1024,128,5,12,536870912,-213685,92699868
1,false,0,snappy,2,8,64,2,7,5,33554432,-150938,93699495
1,false,240000,zstd,2,1024,1024,2,1,2,1073741824,-215402,94702788
128,false,160000,snappy,1,256,512,128,9,10,536870912,-226563,95702283
64,false,360000,lz4,1,64,1024,128,7,6,1073741824,-221855,96701909
64,false,80000,snappy,8,128,1,1,4,0,33554432,-110508,97699295
8,true,160000,snappy,8,8,512,32,4,2,134217728,-383,98791324
8,false,160000,snappy,1,128,1024,4,9,11,536870912,-222038,99791926
64,false,240000,lz4,1,1,128,8,2,2,134217728,-193848,100791165
