block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,0,32,1,1,10,2,1,67108864,-86135,1001777
16384,false,80000,lz4,8,512,32,256,2,1,16,16,2097152,-51452,2000688
512,true,0,lz4,256,1,256,32,0,10,32,4,268435456,-3792,3009960
1,false,240000,snappy,1,16,1,64,9,6,4,16,33554432,-92518,4008517
1,true,280000,snappy,4,32,128,64,6,10,2,16,1048576,-1109,5098675
128,false,0,zstd,1,1,32,2,8,8,8,16,131072,-1940,6127674
1,false,200000,lz4,16,2,256,1,9,0,8,16,4,-22692,7136126
64,true,400000,lz4,1,1,4,4,6,6,16,32,33554432,-663,8219306
32,false,40000,zstd,4,0,2,8,8,6,16,32,65536,-9162,9241180
16,true,360000,zstd,8,128,2,16,7,4,128,32,268435456,-306,10284896
65536,true,120000,snappy,128,8,16,32,0,1,2,16,134217728,-10672,11285823
524288,false,240000,lz4,2,16,1024,2,0,3,64,16,8,-5892,12293924
262144,false,0,snappy,1,2,2,4,1,6,16,1,134217728,-41393,13291104
8,true,120000,snappy,4,1024,32,2,7,8,1,4,16,-661,14436357
64,false,360000,snappy,16,32,256,4,1,3,2,1,262144,-35455,15435387
128,false,400000,zstd,128,2,2,256,0,4,32,16,32,-14459,16446250
8,true,0,zstd,64,2,4,128,0,10,32,2,536870912,-308,17480462
65536,true,80000,zstd,8,1,1,256,6,0,128,8,524288,-13500,18481519
32,true,320000,zstd,32,256,64,8,5,0,1,1,65536,-230,19831774
32,false,0,snappy,256,0,1,256,4,0,64,2,1024,-10544,20840467
256,true,40000,zstd,4,128,1024,32,2,10,16,1,16384,-518,21924822
64,false,80000,lz4,4,1024,256,128,2,8,32,32,4096,-29157,22929118
131072,false,400000,snappy,4,1,32,128,3,10,2,16,1048576,-19385,23929911
2048,true,320000,lz4,2,0,16,2,0,0,32,2,4,-2682,24950771
524288,false,360000,lz4,8,32,1024,128,1,10,16,8,8388608,-15708,25950754
16384,false,200000,zstd,32,512,64,2,7,8,16,1,8192,-19600,26955385
16,true,120000,snappy,16,0,1024,2,1,4,128,4,16777216,-591,28006940
1024,false,0,snappy,2,16,2,128,0,5,8,1,4,-33808,29009749
262144,false,400000,snappy,64,16,1,4,7,3,4,1,536870912,-57180,30007336
262144,false,160000,zstd,1,1024,128,8,9,6,32,8,131072,-2565,31022695
16384,true,360000,snappy,64,1024,128,8,7,5,8,32,4,-10641,32029628
16,false,80000,lz4,1,1,1,1,2,8,32,16,4,-8449,33045342
1024,false,80000,zstd,8,4,256,16,7,7,32,2,268435456,-103499,34043207
512,true,0,lz4,8,4,32,128,6,10,128,16,65536,-2396,35064801
4,true,280000,zstd,64,16,4,1,1,4,2,16,1073741824,-308,36106845
4,true,280000,snappy,4,256,8,8,2,2,4,1,32768,-479,37217014
16384,true,200000,snappy,16,128,512,16,2,6,32,32,64,-24470,38220044
131072,true,0,zstd,4,8,1,128,4,8,64,32,16384,-5206,39230563
1,true,320000,lz4,1,256,4,128,3,2,128,1,64,-652,40332301
32,false,280000,zstd,16,2,2,1,5,5,16,4,8388608,-60181,41333594
65536,false,40000,snappy,8,0,1,64,6,2,128,1,67108864,-46540,42331830
262144,true,0,lz4,1,4,64,2,2,3,4,1,33554432,-34583,43329974
131072,false,360000,snappy,8,256,2,8,0,8,32,32,16777216,-55762,44326286
16384,false,40000,zstd,4,1,512,1,8,2,64,1,1048576,-16813,45328372
512,false,320000,zstd,1,2,1024,16,4,9,128,8,2097152,-35115,46330362
32768,false,120000,snappy,4,8,1024,32,8,5,8,4,4194304,-50880,47325424
8,false,400000,snappy,1,2,32,2,1,4,4,8,65536,-3778,48350194
2048,true,400000,zstd,128,4,4,1,8,2,16,8,32,-2454,49373753
262144,true,240000,zstd,16,2,4,4,6,0,16,1,16384,-3468,50386209
