block_size,compaction_readahead_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,0,4,0,32,1,1,10,2,1,67108864,-11145,90133
512,280000,128,4,256,4,0,10,4,2,16384,-2236,184515
4,0,16,1024,512,32,3,6,16,8,1048576,-2158,276779
32,240000,8,0,1024,4,1,11,32,8,64,-1682,372532
524288,320000,1,512,128,2,4,1,8,32,262144,-3461,463323
2048,80000,2,256,128,128,8,4,8,4,4,-2724,556187
1,360000,8,2,512,1,1,6,1,16,33554432,-710,648911
1,40000,256,2,16,64,2,13,1,8,536870912,-958,741656
4096,0,2,0,1,256,1,13,4,1,16384,-1413,836400
1,120000,128,64,4,256,1,15,4,1,1073741824,-964,928863
262144,0,4,0,4,1,1,5,2,1,16,-2925,1025496
4096,0,4,16,64,2,1,13,4,32,16,-3354,1120714
262144,0,2,16,64,1,2,12,2,4,536870912,-7021,1211795
8192,0,1,128,4,1,5,13,2,32,268435456,-16280,1303451
262144,200000,16,1024,512,4,0,5,128,2,33554432,-1629,1393435
32768,0,1,0,64,1,2,13,128,32,67108864,-13310,1485087
1,0,64,1,4,16,2,4,8,16,1,-1826,1579154
1,240000,1,4,1,1,1,13,64,32,134217728,-1943,1671893
8192,0,1,0,64,1,2,13,128,32,67108864,-14686,1764179
8192,0,1,0,64,1,1,13,128,32,67108864,-15213,1856441
131072,0,1,256,512,32,4,12,64,2,67108864,-10709,1947868
2048,0,1,64,256,4,2,1,128,32,67108864,-5098,2039282
32768,0,1,16,64,1,2,14,1,8,2097152,-11506,2130391
8192,40000,1,64,16,1,1,13,32,32,1073741824,-12248,2222635
8192,40000,1,128,128,1,5,12,1,32,8,-3361,2318073
4096,0,1,4,4,1,8,5,64,32,268435456,-14508,2409509
4096,0,1,2,64,256,5,6,8,32,4194304,-12557,2500252
4096,0,1,512,1,1,2,6,128,32,134217728,-12759,2591625
8192,0,1,128,1,1,5,13,2,16,268435456,-15487,2683195
524288,120000,64,256,2,2,1,2,8,2,524288,-3590,2773244
65536,400000,1,0,8,1,4,13,2,16,1073741824,-12047,2864521
8192,280000,1,256,1,1,5,7,1,16,33554432,-16491,2956579
