block_size,compaction_readahead_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,0,4,0,32,1,1,10,2,1,67108864,-12742,91265
128,0,1,512,1024,1,7,3,32,32,1073741824,-2179,182167
16,0,4,4,32,128,10,9,8,32,524288,-2058,274296
1,0,1,512,2,2,8,15,2,32,64,-1792,369316
1,0,8,128,16,64,10,8,64,16,256,-1677,464955
4096,0,1,256,32,4,3,6,64,1,256,-2855,560018
4096,0,16,0,256,32,1,13,8,4,16384,-5401,657481
2048,0,256,1,8,64,1,10,64,1,128,-3092,752070
16384,80000,8,0,32,1,1,15,8,2,4194304,-11080,843971
32768,0,16,0,8,4,1,14,1,1,262144,-8334,935679
16384,80000,8,0,32,1,1,15,8,16,4194304,-11704,1027021
4096,0,8,0,64,1,7,6,4,16,4194304,-13347,1118239
1,0,1,0,128,1,6,7,32,16,33554432,-2345,1210275
4096,0,1,0,32,1,1,10,16,1,67108864,-12309,1301558
4096,0,1,4,256,1,6,10,2,32,8388608,-10067,1393540
4096,280000,1,2,512,128,0,4,2,8,4194304,-6206,1483538
4096,0,4,0,4,1,2,9,4,16,8388608,-11246,1575059
256,200000,4,0,1,64,1,3,2,1,524288,-1948,1665826
8192,40000,4,0,64,1,7,0,2,16,65536,-2515,1760622
256,200000,8,4,128,128,5,10,8,32,16,-2129,1853788
32768,0,128,256,8,128,8,8,4,8,64,-8381,1946360
4096,0,1,1,64,1,7,5,16,1,1048576,-3375,2037613
4096,0,2,0,64,1,7,6,4,16,4194304,-13538,2128450
4096,0,256,16,64,1,10,6,128,16,16777216,-1421,2220079
4096,0,4,0,64,1,7,6,16,16,33554432,-13074,2312124
16384,0,16,0,64,2,9,6,2,4,134217728,-1474,2403969
4096,0,16,0,64,1,7,6,4,16,4194304,-12124,2494916
4096,0,4,0,64,2,7,6,32,16,33554432,-10958,2587742
524288,280000,16,1024,16,32,5,9,128,16,268435456,-1531,2677669
32768,120000,2,0,32,2,7,7,16,4,4194304,-10572,2769383
4096,0,2,0,64,1,8,6,4,16,4194304,-12864,2861880
4096,0,4,0,64,1,7,6,32,16,33554432,-11607,2953331
