block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_slowdown_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,Throughput,Timestamp
4096,false,0,snappy,0,1,1,10,-53267,999325
32768,true,0,lz4,1024,1,6,1,-50617,1997535
512,true,360000,zstd,1024,8,9,4,-7464,3010240
8,true,280000,zstd,4,1,2,1,-1706,4045813
8192,false,40000,zstd,512,64,2,10,-50698,5044394
128,true,400000,lz4,1,256,1,1,-5943,6055588
8,true,280000,lz4,4,64,5,8,-4433,7066564
32,false,360000,zstd,512,4,0,7,-93258,8074629
524288,false,200000,zstd,4,4,2,7,-21033,9076889
512,true,0,snappy,64,32,7,6,-10839,10080441
262144,true,160000,snappy,256,64,7,7,-43171,11081185
65536,true,0,snappy,1,8,6,1,-46168,12079977
64,false,280000,lz4,64,2,0,3,-56552,13081054
65536,true,40000,lz4,4,4,6,8,-46691,14080197
1,false,360000,zstd,8,1,0,0,-92266,15090446
1,true,280000,snappy,8,64,0,8,-3266,16107135
1,false,360000,zstd,4,4,1,11,-46697,17112334
16,false,0,zstd,64,4,8,4,-89881,18117331
1,false,320000,snappy,8,64,0,5,-55761,19118540
4,false,360000,zstd,256,1,4,7,-91256,20128391
1,false,360000,zstd,64,2,2,5,-94677,21134281
4,false,360000,zstd,8,4,2,11,-82236,22144212
1,false,360000,zstd,32,32,0,8,-90334,23155376
1,false,120000,zstd,512,1,2,3,-90725,24163244
32,false,280000,zstd,128,1,1,5,-96944,25170623
32,false,200000,zstd,32,1,2,5,-93463,26179217
16,false,200000,zstd,64,2,4,10,-89574,27190270
65536,false,200000,zstd,64,1,2,7,-44258,28193682
32,false,280000,zstd,8,32,1,5,-91990,29209414
32,false,160000,zstd,128,1,1,7,-91398,30221086
32,false,360000,lz4,64,1,1,5,-54996,31223798
32,false,280000,zstd,0,2,2,5,-46137,32230043
32,false,200000,zstd,128,2,2,5,-91564,33238881
32,false,280000,zstd,64,1,2,7,-90213,34249681
32,false,40000,zstd,16,4,0,11,-91711,35258111
32,false,320000,zstd,1024,1,9,4,-89168,36263772
32,false,280000,zstd,256,64,1,5,-91370,37272230
8,false,360000,zstd,16,4,1,6,-91365,38280169
32,false,120000,zstd,512,4,2,6,-88533,39291780
64,false,160000,zstd,128,4,1,4,-90030,40302760
128,false,360000,zstd,32,1,1,5,-98751,41317711
512,false,360000,zstd,64,1,1,5,-57829,42321924
256,false,0,zstd,32,1,8,6,-69447,43330366
128,false,200000,zstd,32,1,1,8,-98904,44345130
128,false,0,zstd,512,2,1,14,-93901,45360224
128,false,200000,zstd,512,256,1,7,-96270,46376565
128,false,200000,zstd,16,1,0,8,-98633,47391112
128,false,80000,zstd,8,1,2,5,-89001,48405856
128,false,360000,zstd,32,1,1,10,-98898,49417456
128,false,360000,zstd,32,16,2,10,-96699,50428693
