block_size,compaction_readahead_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,0,4,0,32,1,1,10,2,1,67108864,-89261,90485
4096,320000,4,0,128,32,4,8,1,8,8,-3469,187330
1,120000,2,1,1024,64,3,8,8,1,524288,-15508,280776
4,360000,1,512,4,2,8,10,4,8,524288,-10933,374780
4,280000,1,32,16,4,10,15,2,1,2048,-37282,469705
2048,200000,1,1024,1,1,2,7,128,4,67108864,-96301,562065
4,80000,1,1024,512,1,4,5,64,2,33554432,-117286,654783
512,0,1,64,4,1,5,6,64,16,8388608,-89087,746265
1,280000,1,1,128,1,8,5,64,2,1048576,-23152,839330
128,80000,4,0,1024,1,3,10,128,1,65536,-1808,943629
16384,40000,4,4,1024,128,7,7,4,4,134217728,-92648,1033721
4,120000,4,4,32,128,1,5,16,32,2097152,-68241,1125835
512,40000,256,8,512,256,0,8,32,8,33554432,-84329,1215528
1,400000,1,512,1024,128,2,12,64,1,33554432,-118440,1307432
4,240000,2,1024,32,256,3,5,64,2,16777216,-107358,1399223
8,200000,1,512,512,64,9,9,64,1,33554432,-118161,1491481
1,280000,1,512,512,32,4,10,64,1,33554432,-114482,1583326
8,320000,1,512,512,2,10,15,2,2,33554432,-115456,1675361
8,280000,1,1024,1024,128,3,7,1,1,268435456,-100722,1767498
524288,360000,64,16,2,1,6,7,8,2,1024,-3790,1862887
8,280000,2,1024,64,64,3,10,1,2,33554432,-109799,1954689
8,0,1,512,1024,32,8,14,2,1,2097152,-32083,2047003
32,120000,1,128,1024,128,4,10,2,8,16777216,-103133,2138824
16,120000,256,32,32,8,9,7,128,2,4194304,-42053,2228975
4,80000,1,128,512,1,4,5,16,2,8388608,-83695,2320593
1,360000,1,512,1024,32,2,10,64,1,33554432,-114683,2413498
1,400000,1,512,1024,64,2,6,16,1,33554432,-114433,2505374
8,200000,4,512,512,64,9,9,64,1,33554432,-94127,2597221
1,320000,1,512,512,128,9,11,128,1,33554432,-116170,2689340
4,160000,1,1024,4,256,2,8,64,1,33554432,-119597,2782180
8,40000,1,1024,512,1,8,11,32,8,16777216,-89812,2874122
2048,320000,8,1024,1,8,10,14,2,2,16777216,-81927,2965582
1,160000,1,1024,4,128,8,13,2,2,33554432,-118202,3058951
8,360000,1,512,512,2,10,15,2,2,33554432,-117844,3150963
4,160000,2,1024,4,16,2,8,64,2,33554432,-100318,3242821
1,400000,1,4,1024,16,2,12,64,1,33554432,-109916,3334840
4,80000,1,1024,256,256,6,8,4,8,33554432,-106363,3427139
4,160000,1,1024,4,64,8,13,2,2,33554432,-118155,3520080
4,160000,1,1024,128,2,10,15,2,1,33554432,-107397,3613449
8,320000,1,512,512,16,10,15,2,8,33554432,-116974,3705969
1,240000,1,512,4,2,8,2,8,2,33554432,-118233,3798797
1,200000,1,1,2,16,7,6,64,8,33554432,-82526,3892414
1,360000,1,1024,4,64,7,9,4,4,33554432,-104795,3984271
8,400000,1,512,4,16,10,15,2,8,33554432,-112420,4077449
4,240000,1,512,16,256,1,2,16,1,8388608,-78211,4169248
32,360000,1,256,1024,2,4,13,2,2,33554432,-114466,4261621
4,400000,1,512,1024,128,2,12,64,1,33554432,-108611,4354363
1,360000,1,8,1024,16,3,9,32,2,67108864,-116854,4447397
1,240000,1,512,16,128,1,9,64,1,33554432,-109897,4539920
1,400000,2,16,64,256,3,9,64,1,16777216,-101303,4632492
4,160000,1,64,64,2,9,4,32,8,33554432,-97253,4724524
32,360000,1,32,1024,1,7,13,2,2,67108864,-117392,4817209
