block_size,compaction_readahead_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,0,4,0,32,1,1,10,2,1,67108864,-90484,89688
64,40000,256,1024,16,2,2,7,64,4,4194304,-49236,179734
32,0,2,64,2,1,8,10,8,1,134217728,-104592,272166
1,280000,32,16,1,32,9,9,4,1,1,-19736,366366
65536,240000,8,128,256,2,0,2,1,32,4194304,-20240,456632
4,320000,1,4,2,1,5,11,2,4,16384,-5824,554008
8,0,4,1024,1,8,1,13,2,1,16777216,-89629,645420
8,320000,1,32,1,1,4,12,64,1,16777216,-89491,737365
4,0,2,4,1,32,8,6,8,2,16777216,-98903,828946
1,0,16,32,2,2,8,7,128,32,134217728,-82370,920585
2048,0,1,8,4,128,8,5,4,1,16777216,-115602,1012442
8192,0,2,2,8,128,10,5,4,8,67108864,-92002,1104920
8192,40000,1,1024,1,256,8,9,8,2,67108864,-96711,1197661
1024,120000,1,16,8,8,5,15,1,1,16777216,-116540,1289083
4,240000,2,0,2,128,6,15,1,1,67108864,-80921,1381309
512,80000,1,8,128,128,2,9,1,2,134217728,-109760,1472311
2048,160000,1,16,4,2,5,12,1,4,134217728,-105427,1563707
32,80000,1,32,128,16,8,6,4,2,8388608,-93271,1655613
1024,200000,1,8,4,4,3,4,1,1,67108864,-109375,1747081
256,360000,1,16,8,16,10,12,1,4,8388608,-95775,1838144
1024,120000,1,8,4,4,3,0,1,1,16777216,-121801,1931989
512,240000,1,16,8,16,10,3,1,1,16777216,-114243,2024652
2048,120000,1,16,32,32,0,1,1,8,16777216,-118307,2115865
1024,120000,8,8,4,4,3,1,1,1,16777216,-78319,2207075
1024,120000,1,8,4,1,3,0,1,1,16777216,-119402,2298530
4,320000,1,512,8,1,8,0,1,8,8388608,-64114,2389726
1024,0,1,1,256,2,5,0,1,4,8388608,-55653,2481575
1024,360000,1,4,4,4,6,0,32,2,16777216,-121578,2572952
65536,400000,128,32,128,32,4,6,16,1,16,-5232,2667754
524288,0,1,4,4,2,2,0,64,1,16777216,-16309,2760006
2048,360000,1,8,8,4,5,0,2,16,16777216,-117095,2851056
16384,360000,1,2,4,1,5,0,4,2,16777216,-85283,2943278
