block_size,compaction_readahead_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,0,4,0,32,1,1,10,2,1,67108864,-213483,91465
65536,0,128,512,8,16,4,4,64,2,8388608,-14551,182204
1,80000,1,16,128,2,9,5,4,16,64,-98406,276581
8,200000,256,64,256,32,5,5,64,32,262144,-3096,371725
1,40000,1,2,32,16,8,5,32,2,134217728,-189375,464175
16,400000,128,1,1024,1,7,8,64,32,268435456,-81127,557082
1,280000,8,2,512,256,1,10,4,16,536870912,-80870,649605
128,40000,4,16,512,16,3,5,64,2,268435456,-244101,741801
1,120000,1,1024,512,256,9,7,128,1,536870912,-171908,834659
8192,0,1,4,8,8,1,1,128,4,67108864,-231160,926231
16384,0,4,8,64,1,4,8,1,4,16777216,-101574,1018328
16,0,2,128,2,4,3,5,32,4,33554432,-108336,1110013
128,0,4,64,64,128,3,9,64,16,67108864,-201327,1203887
256,280000,2,512,128,8,6,8,64,16,262144,-3554,1296924
32,40000,256,1024,64,128,3,6,1,2,268435456,-80336,1389031
128,160000,4,16,1024,64,2,6,2,1,134217728,-223360,1481341
128,160000,2,4,16,64,4,6,8,2,268435456,-228270,1572936
8192,200000,1,4,128,16,3,5,128,1,67108864,-202749,1664411
512,240000,4,16,128,16,3,5,2,2,268435456,-251682,1756372
64,240000,1,32,16,32,2,5,2,2,1073741824,-169188,1848277
256,240000,4,64,256,32,2,6,1,32,268435456,-234721,1939590
65536,200000,4,256,128,16,4,5,1,2,268435456,-87324,2031517
2048,240000,4,16,256,2,4,5,4,8,268435456,-262537,2123139
8192,240000,2,2,512,16,8,5,64,16,268435456,-230396,2214722
256,360000,4,4,512,1,3,5,2,2,268435456,-235973,2307272
8,80000,16,0,512,1,1,8,2,32,524288,-5434,2402100
256,280000,4,32,128,16,4,4,1,2,268435456,-213902,2494528
512,360000,2,16,512,4,2,10,64,2,268435456,-256347,2585811
16384,160000,2,16,256,2,2,5,32,4,268435456,-186213,2676994
512,400000,2,16,256,4,5,8,2,2,268435456,-255430,2768822
512,240000,4,16,64,2,2,6,2,32,268435456,-259846,2860059
2048,240000,4,16,64,1,2,6,1,32,268435456,-259590,2952003
