block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,0,32,1,1,10,67108864,-78605,1621423085337
2048,true,0,zstd,2,64,16,64,4,10,16384,-10682,1621423085337
32768,true,120000,zstd,32,256,32,4,8,10,67108864,-31507,1621423085337
65536,true,280000,lz4,64,128,256,8,5,4,16777216,-29322,1621423085337
1,true,120000,lz4,2,256,4,64,5,7,65536,-2719,1621423085337
1,false,400000,zstd,128,4,4,128,1,4,1,-2619,1621423085337
256,true,0,zstd,64,128,32,128,7,3,8192,-1825,1621423085337
1,true,0,zstd,256,4,128,16,3,1,1073741824,-1666,1621423085337
1,false,280000,snappy,128,64,8,64,9,1,65536,-7823,1621423085337
4,true,280000,zstd,16,1,128,16,1,0,4096,-294,1621423085337
32,false,360000,lz4,256,4,1,4,5,2,2097152,-26939,1621423085337
16384,true,360000,zstd,128,128,64,128,9,1,16384,-8342,1621423085337
1,false,360000,snappy,256,0,32,1,3,6,16384,-11429,1621424155465
64,false,40000,zstd,1,1024,8,2,1,0,2048,-12035,1621425224275
16384,false,0,zstd,8,0,512,1,2,11,536870912,-71615,1621426282455
32,true,0,lz4,16,0,256,1,10,10,1048576,-2616,1621427364995
2048,false,80000,snappy,32,2,1024,256,0,1,64,-4989,1621428421723
32768,false,240000,snappy,16,0,4,16,1,15,268435456,-74492,1621429467992
262144,false,120000,snappy,2,0,32,16,3,11,16777216,-35950,1621430509776
16384,false,80000,zstd,16,0,64,256,1,5,536870912,-71537,1621431565088
8192,false,40000,zstd,32,1,128,8,1,6,67108864,-52987,1621432608301
16384,false,80000,zstd,16,0,64,256,1,1,536870912,-71785,1621433647351
4096,true,120000,snappy,2,0,32,16,2,11,67108864,-31022,1621434686115
4096,false,80000,lz4,4,0,4,32,1,13,33554432,-65323,1621435724215
4096,false,120000,snappy,4,4,256,16,2,5,134217728,-81869,1621436763475
32,false,360000,snappy,1,32,4,1,1,6,134217728,-72066,1621437805048
1024,false,120000,snappy,4,64,1024,1,1,10,134217728,-83121,1621438844443
1,false,40000,snappy,4,1024,32,16,2,5,134217728,-76776,1621439886224
4096,false,280000,snappy,4,8,256,256,0,0,67108864,-79535,1621440923658
1024,false,160000,snappy,128,64,256,1,1,8,67108864,-76521,1621441969173
64,false,320000,snappy,1,2,64,2,5,10,262144,-509,1621443109520
256,false,80000,lz4,4,8,512,64,2,12,268435456,-81197,1621444149273
1,true,360000,snappy,2,256,128,32,6,1,16,-1946,1621445221350
4096,false,80000,snappy,1,2,32,1,0,10,134217728,-81463,1621446259994
1024,false,160000,snappy,1,32,32,8,5,12,134217728,-82308,1621447298841
524288,true,280000,snappy,32,512,512,256,0,9,8388608,-6918,1621448344648
128,false,200000,lz4,8,128,1024,16,3,15,1073741824,-81960,1621449386113
64,false,320000,snappy,16,32,64,32,2,12,536870912,-78757,1621450427690
8,false,120000,lz4,4,16,1024,4,1,12,67108864,-71057,1621451468842
128,false,200000,lz4,4,256,128,4,3,11,1073741824,-82368,1621452510495
2048,false,120000,snappy,4,256,64,1,7,0,134217728,-82353,1621453549570
64,false,120000,snappy,1,64,32,4,4,10,1073741824,-84803,1621454610636
64,false,120000,snappy,8,32,256,2,6,4,134217728,-76486,1621455652818
64,false,320000,snappy,2,128,32,64,4,6,1073741824,-84002,1621456711600
64,false,320000,lz4,2,64,64,4,7,11,1073741824,-83792,1621457762091
64,false,40000,snappy,32,1024,64,32,4,1,1073741824,-81201,1621458811794
1,false,160000,snappy,2,128,64,8,8,8,1073741824,-84246,1621459881037
64,false,400000,snappy,1,64,64,1,6,11,1073741824,-84249,1621460949241
128,false,120000,zstd,1,128,64,128,5,1,1073741824,-75967,1621462006662
128,false,320000,snappy,1,2,64,64,5,6,1073741824,-84134,1621463073615
1,false,80000,snappy,32,128,16,32,3,10,1073741824,-83599,1621464137682
8,false,120000,snappy,1,128,64,8,4,0,1073741824,-85165,1621465197431
8192,true,40000,zstd,2,256,4,64,1,8,4,-20849,1621466251689
256,false,40000,lz4,256,64,32,2,9,10,1073741824,-83837,1621467321216
128,false,120000,lz4,1,1024,16,16,3,7,1073741824,-84758,1621468382502
512,false,120000,lz4,256,4,16,256,3,9,1073741824,-84894,1621469436093
128,false,0,snappy,2,2,32,16,0,6,1073741824,-83178,1621470484861
8,false,0,snappy,1,2,64,2,3,6,1073741824,-83657,1621471541531
512,false,120000,snappy,256,4,16,256,3,6,1073741824,-85528,1621472593129
131072,true,40000,snappy,64,1024,256,128,1,10,128,-9089,1621473647892
4096,false,400000,snappy,32,64,16,8,5,6,1073741824,-85412,1621474695022
1,false,240000,lz4,1,128,64,16,8,6,1073741824,-84967,1621475766431
1024,false,0,lz4,32,4,32,1,4,15,1073741824,-86238,1621476811908
4096,false,320000,lz4,2,2,64,128,6,3,1073741824,-88584,1621477855047
2048,false,0,lz4,64,8,64,128,10,3,1073741824,-84610,1621478903074
1,false,120000,lz4,256,128,32,16,6,3,1073741824,-83865,1621479968512
512,false,120000,lz4,2,2,4,256,3,3,1073741824,-88219,1621481014395
512,false,320000,snappy,16,2,1024,4,3,1,1073741824,-85697,1621482063640
4096,false,360000,lz4,256,2,16,4,3,4,1073741824,-86403,1621483122689
131072,false,400000,snappy,2,2,64,128,3,3,1073741824,-72175,1621484167259
4096,false,40000,lz4,32,2,32,64,0,0,1073741824,-86706,1621485215673
1,false,240000,snappy,2,4,4,64,3,2,1073741824,-85429,1621486272029
64,false,240000,zstd,2,2,512,1,6,2,268435456,-58161,1621487349458
512,false,400000,snappy,256,2,512,16,6,6,1073741824,-86571,1621488398055
512,false,120000,lz4,2,0,4,256,3,3,1073741824,-87993,1621489454012
4,false,360000,lz4,2,4,8,2,4,0,1073741824,-85229,1621490517303
8,false,320000,lz4,128,1,2,128,3,2,1073741824,-83789,1621491586686
8192,false,320000,lz4,2,2,16,128,6,3,1073741824,-88162,1621492641030
512,false,200000,lz4,1,2,8,1,2,4,1073741824,-86941,1621493689486
512,false,400000,lz4,2,2,1024,16,0,1,1073741824,-88169,1621494734932
1,false,120000,snappy,256,1,32,128,9,5,1073741824,-84350,1621495798696
1,false,200000,lz4,2,0,4,256,5,4,1073741824,-85066,1621496862998
512,false,120000,lz4,2,0,1,256,3,3,1073741824,-87339,1621497910326
512,false,120000,snappy,256,2,1,16,4,1,1073741824,-86148,1621498958659
32,true,200000,snappy,64,64,1024,4,6,1,2048,-1520,1621500024853
32,false,400000,lz4,1,2,16,4,2,2,1073741824,-84790,1621501098391
4096,false,320000,lz4,2,2,1,8,6,3,1073741824,-87951,1621502137862
4096,false,320000,lz4,32,2,1,2,0,0,1073741824,-86201,1621503182550
8192,true,400000,lz4,1,1024,64,8,7,0,512,-32321,1621504233891
512,false,40000,lz4,2,256,2,128,1,1,1073741824,-87623,1621505279863
2048,false,0,zstd,2,4,8,32,5,10,1073741824,-82812,1621506342519
1024,false,40000,zstd,64,2,8,64,0,0,1073741824,-83452,1621507412451
524288,false,240000,snappy,2,2,1,16,4,3,256,-415,1621508552175
524288,false,80000,lz4,4,2,8,8,1,0,1073741824,-52326,1621509589615
8,false,360000,zstd,8,64,1,4,3,5,1073741824,-76218,1621510638148
16,false,240000,snappy,256,512,512,16,2,6,1073741824,-84497,1621511695910
262144,false,280000,lz4,1,1,64,16,6,1,1073741824,-66362,1621512733219
8192,false,200000,lz4,256,2,8,16,5,2,1073741824,-85390,1621513789153
2048,false,120000,snappy,2,2,1024,32,7,2,1073741824,-88142,1621514839116
