block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,0,32,1,1,10,67108864,-68349,1012751
16384,true,280000,snappy,16,1024,64,2,5,1,524288,-20510,2021023
512,true,80000,snappy,1,128,2,1,7,10,268435456,-2352,3045861
4,false,280000,snappy,2,256,128,256,8,1,64,-29557,4066565
64,true,280000,lz4,256,64,32,2,1,2,256,-590,5182098
1,true,0,zstd,32,128,128,1,5,1,4096,-214,6459852
131072,true,80000,zstd,8,128,16,16,8,5,512,-2739,7499386
262144,true,240000,snappy,1,4,1024,256,4,8,1,-2121,8539551
524288,false,240000,snappy,16,512,8,2,6,1,262144,-2709,9573253
32768,false,0,snappy,128,32,64,4,5,7,16777216,-29493,10581462
1,false,280000,zstd,8,64,1,128,1,1,8,-13650,11615914
16,false,240000,zstd,256,2,1,4,5,7,4194304,-19898,12628272
1,false,0,zstd,4,0,64,1,1,15,33554432,-56002,13644169
1,false,160000,zstd,128,0,256,32,6,7,33554432,-59958,14660403
1,true,360000,zstd,16,0,8,16,4,9,268435456,-291,15764034
4,false,0,lz4,64,0,16,8,2,12,33554432,-70339,16773384
16,false,120000,zstd,256,0,512,32,3,8,134217728,-84145,17786893
16,false,200000,zstd,256,0,512,32,3,3,134217728,-90014,18804519
4,false,0,zstd,256,0,1024,1,7,5,268435456,-80803,19814245
262144,false,400000,zstd,256,0,8,256,4,5,134217728,-14019,20826282
128,true,80000,zstd,256,0,1024,2,6,3,134217728,-624,21874819
32,false,120000,lz4,256,8,512,256,8,7,134217728,-74709,22886847
2048,false,160000,zstd,256,2,1024,2,3,7,134217728,-66763,23897230
8,false,200000,lz4,256,32,512,256,8,3,134217728,-74191,24908335
8,false,160000,zstd,256,0,1024,2,3,0,134217728,-79472,25924717
524288,true,280000,zstd,256,1024,1,8,5,10,268435456,-3631,26943405
8,false,200000,zstd,256,0,1024,16,7,2,16,-6739,27986291
4,false,80000,zstd,256,0,8,256,3,6,134217728,-76184,29003815
16,false,200000,zstd,256,64,8,32,2,2,536870912,-69205,30018889
16,false,240000,zstd,256,0,512,8,7,9,134217728,-80685,31034556
16,false,280000,zstd,256,0,512,32,3,0,134217728,-78080,32050017
16,false,320000,zstd,256,0,256,16,3,7,134217728,-86410,33066959
64,false,200000,snappy,256,0,256,32,3,2,134217728,-71889,34081161
65536,false,320000,zstd,32,2,64,32,9,3,16777216,-8950,35093510
16,false,40000,zstd,256,0,256,16,6,2,536870912,-75015,36116822
16,false,360000,zstd,256,0,256,16,3,7,134217728,-76801,37135499
16,false,400000,zstd,256,0,512,32,3,3,134217728,-84630,38148999
16,false,360000,zstd,256,0,32,32,4,3,134217728,-88828,39169137
16,false,320000,zstd,256,0,4,1,5,5,134217728,-79081,40186993
16,false,400000,zstd,256,0,32,32,4,3,134217728,-82568,41213217
16,false,120000,zstd,256,0,512,256,4,3,268435456,-78529,42236915
32,true,360000,snappy,32,1024,1024,16,9,8,16,-559,43382997
16,false,400000,zstd,16,0,512,32,3,3,134217728,-76609,44400203
128,false,320000,zstd,256,0,32,1,4,5,134217728,-79466,45430116
4,false,160000,zstd,256,0,1024,32,6,10,268435456,-76081,46449385
32,false,200000,zstd,256,0,1,64,3,3,268435456,-74889,47472591
16,false,400000,zstd,256,0,8,128,4,3,134217728,-72983,48497310
16,false,240000,zstd,256,1,512,32,3,3,134217728,-78191,49512103
256,false,320000,zstd,64,0,1024,2,8,3,268435456,-72047,50533198
8,false,200000,zstd,256,0,512,32,3,3,134217728,-80821,51551007
16384,false,0,zstd,256,0,64,32,4,5,134217728,-57061,52561162
16,false,160000,zstd,32,0,32,8,4,3,134217728,-84622,53577902
16,false,400000,zstd,256,0,16,32,4,3,134217728,-74600,54594420
4,false,400000,zstd,256,0,64,32,4,7,134217728,-79738,55613324
1,false,200000,zstd,32,0,32,8,4,3,134217728,-81633,56636901
16,false,160000,zstd,32,0,32,8,5,3,134217728,-80249,57659030
8,false,400000,zstd,128,256,32,16,4,0,134217728,-80235,58677664
32,false,400000,zstd,128,2,1,1,6,0,536870912,-74626,59690426
16,false,240000,zstd,128,0,1024,256,3,3,134217728,-83487,60706643
16,false,400000,zstd,256,0,32,64,2,9,134217728,-78828,61719599
16,false,400000,zstd,32,2,256,16,4,3,134217728,-76408,62743941
4,false,200000,zstd,32,0,512,4,7,5,134217728,-79458,63762963
16,false,120000,zstd,16,0,1,32,6,11,134217728,-78922,64776406
16,false,200000,zstd,256,0,512,32,1,3,134217728,-76243,65798635
16,false,280000,zstd,256,128,32,8,4,15,134217728,-81996,66820582
8,false,320000,zstd,16,2,32,32,5,3,134217728,-81144,67839992
16,false,280000,zstd,128,0,64,32,10,3,134217728,-79361,68853034
16,false,360000,zstd,16,4,2,256,5,0,134217728,-80994,69867302
128,false,160000,zstd,256,0,1024,256,3,3,134217728,-79363,70886657
4,false,280000,zstd,16,128,32,8,4,15,134217728,-81744,71911097
16,false,120000,zstd,256,512,32,32,3,3,134217728,-80236,72926667
128,false,280000,zstd,64,1,32,256,4,5,134217728,-80162,73954556
8,false,120000,zstd,16,64,32,8,5,2,134217728,-77330,74973047
16,false,400000,zstd,16,0,2,256,5,3,134217728,-73589,75988344
4,false,280000,zstd,2,128,32,8,4,15,134217728,-93446,77005824
256,false,280000,zstd,1,1,8,256,9,14,134217728,-83713,78019714
4,false,360000,zstd,1,4,256,8,9,15,134217728,-91774,79039422
64,false,360000,zstd,1,1024,8,2,6,14,134217728,-95678,80059106
1024,false,360000,lz4,1,1,64,256,3,15,1073741824,-74670,81073723
65536,false,400000,zstd,1,256,1,16,6,13,1073741824,-62712,82084361
4,false,280000,zstd,2,1024,32,4,4,15,134217728,-87108,83105428
64,false,400000,zstd,1,1024,8,2,6,14,134217728,-93226,84123444
64,false,400000,snappy,1,1024,8,2,6,14,134217728,-74090,85138013
4,false,320000,zstd,2,4,1,16,7,14,134217728,-74015,86154957
512,false,40000,zstd,2,0,32,8,4,15,134217728,-68926,87181898
4,false,360000,snappy,1,4,256,8,9,15,134217728,-77144,88191685
1,false,360000,zstd,2,1024,32,1,4,15,134217728,-81018,89210773
8,false,80000,zstd,1,4,4,8,5,9,134217728,-89426,90236533
128,false,80000,zstd,1,128,2,1,7,4,134217728,-71240,91265825
