block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,0,32,1,1,10,2,1,67108864,-61732,1003459
4096,true,120000,lz4,256,4,32,4,3,5,4,32,16,-4727,2027018
2048,true,40000,zstd,1,256,64,32,9,2,16,4,4096,-2494,3061643
4096,false,0,zstd,128,4,1024,4,6,6,2,2,524288,-4676,4075997
16,false,40000,zstd,8,512,4,32,2,4,1,1,131072,-10128,5101195
1,true,0,snappy,16,64,32,4,5,5,32,8,16,-499,6177917
65536,true,80000,lz4,8,1024,256,1,3,5,32,4,256,-4734,7198957
32768,true,120000,snappy,16,16,2,64,6,0,16,4,65536,-14490,8210952
131072,true,320000,snappy,32,0,2,8,6,9,64,8,256,-5040,9231605
32,true,400000,snappy,16,1024,256,8,0,8,64,4,8,-473,10356078
4,true,200000,zstd,4,8,256,8,5,0,8,4,131072,-273,11524131
1024,false,80000,snappy,128,64,4,64,5,3,64,2,524288,-15604,12523462
4096,true,320000,snappy,128,2,256,128,1,0,4,32,512,-7403,13538844
256,true,0,zstd,128,64,1024,8,9,0,32,8,268435456,-607,14591214
1,true,280000,snappy,2,0,2,1,2,12,4,1,16777216,-518,15627104
8,false,40000,zstd,16,1024,64,64,2,13,2,16,67108864,-51493,16639421
4,true,200000,snappy,64,2,256,64,1,13,2,8,134217728,-665,17752725
1,false,120000,zstd,256,1,16,2,1,10,4,4,67108864,-59616,18766428
524288,true,200000,zstd,8,16,512,8,4,5,2,8,16777216,-2004,19773744
8,false,40000,zstd,16,1024,64,64,2,13,2,16,16777216,-29389,20783927
16,false,240000,lz4,256,1024,256,64,1,10,4,4,268435456,-58686,21788291
512,false,200000,lz4,256,0,1024,32,1,12,64,2,67108864,-63959,22788301
2048,false,400000,snappy,32,0,16,8,1,7,1,2,268435456,-59154,23788732
4096,false,200000,zstd,64,512,1024,16,0,8,32,4,536870912,-52886,24790336
4,false,240000,lz4,64,0,32,64,1,6,64,2,268435456,-62026,25791601
1024,false,40000,lz4,128,16,32,128,1,5,128,2,67108864,-62775,26793375
131072,false,0,snappy,128,2,32,128,4,9,2,1,268435456,-39740,27793916
32,false,160000,lz4,32,0,1024,4,0,4,64,1,67108864,-56282,28797654
256,false,360000,lz4,256,1,8,32,1,7,16,1,67108864,-56865,29800558
1024,false,320000,snappy,2,0,32,8,1,11,64,16,1073741824,-61665,30801311
512,false,200000,snappy,8,16,2,128,1,7,64,8,67108864,-58929,31802072
4096,false,120000,lz4,128,16,1024,8,1,0,8,32,268435456,-56607,32802511
2048,false,240000,zstd,16,16,2,8,3,9,1,32,67108864,-45590,33802193
4,false,240000,lz4,8,2,16,16,1,11,128,4,33554432,-61273,34803776
512,false,200000,zstd,256,0,1024,32,1,12,64,2,67108864,-57643,35812196
64,false,120000,lz4,128,16,32,4,1,5,64,4,4096,-11826,36833403
16,false,120000,lz4,64,4,64,128,1,5,128,2,268435456,-60106,37836754
1024,false,40000,lz4,128,16,32,16,1,5,128,2,33554432,-56912,38836134
16384,false,240000,lz4,16,0,512,4,1,13,64,4,268435456,-54818,39837518
128,false,120000,lz4,128,0,1,64,1,5,128,2,1073741824,-54450,40839010
32,false,120000,lz4,16,0,256,256,1,4,128,8,67108864,-58134,41841523
16,false,360000,lz4,128,16,16,128,2,5,64,1,67108864,-57942,42844187
4,false,200000,lz4,2,0,64,16,2,9,4,8,268435456,-61877,43848012
1024,false,40000,lz4,128,16,32,128,1,1,128,2,67108864,-62173,44849038
32,false,240000,lz4,2,0,1024,16,2,9,1,2,1073741824,-64260,45850987
2048,false,200000,zstd,4,0,512,4,2,5,1,1,1073741824,-54548,46851188
1024,false,40000,lz4,128,16,32,128,1,0,128,2,67108864,-65148,47849489
4,false,240000,snappy,1,4,16,2,1,14,16,2,1073741824,-62872,48853272
4,false,0,snappy,1,4,512,8,1,9,1,16,33554432,-46351,49859599
1,false,40000,lz4,256,256,16,16,2,0,32,8,268435456,-55375,50867605
4096,false,0,zstd,8,16,16,8,5,1,2,8,67108864,-41013,51872331
2048,false,40000,lz4,2,8,1024,2,2,0,32,2,268435456,-61748,52875277
8,true,360000,snappy,4,128,16,2,5,1,8,2,16,-435,54051562
1024,false,120000,lz4,8,16,128,128,8,10,16,4,134217728,-63125,55050837
1024,false,40000,lz4,128,16,32,128,1,0,128,4,67108864,-62351,56051176
512,false,240000,lz4,8,16,256,4,1,14,8,2,536870912,-56500,57053672
512,false,120000,lz4,256,32,64,128,9,0,64,2,67108864,-63542,58053384
32,false,320000,snappy,1,0,64,16,5,10,1,2,134217728,-74764,59059751
512,false,360000,snappy,1,128,8,1,6,11,1,2,536870912,-65349,60061323
1024,false,80000,zstd,1,4,1024,32,7,5,1,2,33554432,-54511,61061553
512,false,320000,snappy,1,2,4,8,5,10,1,8,268435456,-68102,62065203
1,false,120000,snappy,64,64,512,16,7,10,128,4,67108864,-62325,63069359
131072,false,360000,snappy,1,4,4,1,5,10,4,4,67108864,-47588,64070731
64,false,0,snappy,1,256,64,128,3,14,1,1,134217728,-77753,65071430
2048,true,120000,zstd,32,32,512,32,4,3,128,1,16777216,-2973,66088896
16,false,40000,snappy,1,512,2,2,3,13,1,2,33554432,-62744,67094235
64,false,0,zstd,1,256,64,128,3,14,1,1,134217728,-64163,68112472
1024,false,0,snappy,32,2,64,32,9,14,1,1,134217728,-62335,69112203
512,false,200000,snappy,4,0,512,128,4,12,1,8,536870912,-59310,70113717
64,false,0,snappy,1,256,64,128,3,9,1,8,134217728,-72531,71117318
524288,false,200000,lz4,1,128,256,16,5,12,16,8,134217728,-31655,72121083
128,false,0,zstd,256,32,64,128,9,0,64,8,67108864,-54423,73155179
128,false,280000,lz4,1,256,32,4,4,5,1,16,134217728,-76671,74156905
128,false,200000,lz4,1,128,32,4,4,5,1,16,134217728,-77411,75159477
128,false,240000,snappy,1,128,16,64,5,6,1,16,134217728,-75563,76161130
32,false,160000,lz4,1,64,4,8,3,2,1,1,134217728,-75032,77163611
256,false,0,lz4,1,256,8,4,1,6,1,1,134217728,-70473,78166315
128,false,280000,snappy,1,64,64,4,4,12,1,16,16777216,-53829,79167889
4,false,280000,lz4,1,128,4,4,7,6,4,2,134217728,-70635,80172199
512,false,400000,zstd,128,128,4,8,5,0,8,8,33554432,-55388,81179448
16384,false,240000,snappy,16,8,32,256,8,0,1,1,512,-5048,82204053
128,false,200000,lz4,1,128,128,4,4,5,1,16,134217728,-74559,83206569
128,false,200000,lz4,1,128,32,4,4,5,1,32,134217728,-72619,84210185
32768,false,0,snappy,2,1024,8,256,2,10,1,16,134217728,-53337,85212972
64,true,40000,snappy,1,256,16,16,3,14,1,16,134217728,-561,86319482
16,false,160000,snappy,2,256,16,32,6,3,1,8,4194304,-41425,87321368
128,false,280000,snappy,1,256,16,64,5,1,1,2,134217728,-75104,88325589
32,false,240000,snappy,1,1024,32,4,4,3,2,16,134217728,-81262,89328203
64,false,240000,snappy,1,1024,16,4,3,5,32,1,134217728,-76604,90332339
32,false,80000,lz4,1,512,256,4,4,5,32,16,134217728,-57585,91339395
8192,false,320000,snappy,1,1024,16,4,7,5,8,16,134217728,-59598,92343854
64,false,200000,snappy,1,1024,64,4,9,1,2,16,134217728,-73724,93348165
32,false,240000,snappy,1,1024,16,256,3,6,2,1,134217728,-74926,94352555
32,false,80000,lz4,1,512,32,8,2,1,32,16,134217728,-59179,95357471
32,false,240000,zstd,1,1024,32,4,4,3,8,16,134217728,-60565,96371687
128,false,240000,snappy,1,1024,16,2,0,10,1,2,2097152,-33400,97372532
16384,false,240000,lz4,1,32,16,4,4,3,2,16,134217728,-63810,98373759
4,false,320000,lz4,2,8,128,8,8,9,2,2,268435456,-65562,99378473
256,false,120000,lz4,1,64,16,64,3,15,128,1,134217728,-73823,100382011
1,false,200000,snappy,1,256,32,4,3,1,2,1,134217728,-75382,101384528
