block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,Throughput,Timestamp
4096,false,0,snappy,1,1,10,-79524,984889
512,false,280000,lz4,4,2,4,-79931,1969234
1024,false,240000,lz4,1,9,1,-81700,2950670
65536,true,280000,snappy,32,1,0,-58196,3933422
4,false,40000,zstd,64,6,5,-66005,4931860
65536,true,120000,zstd,64,1,6,-40976,5915315
64,true,360000,snappy,1,3,9,-2843,6922728
2048,true,120000,zstd,1,6,6,-9737,7908815
1,false,360000,zstd,2,3,13,-66755,8908209
16,false,280000,lz4,1,2,6,-72163,9894019
256,false,120000,snappy,8,1,9,-78383,10879630
2048,false,240000,snappy,128,3,1,-81969,11863320
64,false,400000,lz4,32,3,15,-72071,12849870
512,false,80000,snappy,128,3,6,-80909,13833204
1024,false,120000,zstd,128,5,6,-72592,14821659
2048,false,0,lz4,1,3,0,-81910,15804989
512,false,400000,snappy,8,3,0,-81336,16789951
131072,false,240000,lz4,256,3,0,-54290,17773200
8192,false,160000,lz4,1,3,0,-80499,18756452
16384,false,160000,lz4,32,3,1,-76721,19740138
1024,false,400000,snappy,8,3,0,-82746,20724246
1024,false,0,snappy,1,3,5,-82240,21707295
262144,true,200000,lz4,1,9,9,-42413,22689963
1024,false,240000,snappy,256,5,0,-82796,23672922
1024,false,400000,snappy,256,4,1,-82835,24657102
1024,false,240000,snappy,256,6,7,-83090,25640222
32768,false,40000,snappy,256,9,7,-68432,26622964
256,false,320000,lz4,256,3,4,-77465,27607234
8192,false,0,zstd,4,5,5,-63893,28592440
2048,false,280000,snappy,1,4,7,-82164,29574742
1024,false,240000,lz4,256,4,9,-80570,30559812
32768,true,400000,zstd,2,1,10,-46392,31544505
256,false,240000,lz4,256,5,0,-76125,32530717
1024,false,280000,snappy,256,9,9,-80734,33515583
32768,false,240000,lz4,1,1,4,-69349,34500534
8,false,120000,zstd,1,1,1,-65274,35502344
8192,false,240000,snappy,256,5,5,-77739,36487935
1024,false,240000,lz4,1,3,0,-81458,37472945
1024,false,360000,snappy,256,3,2,-81934,38456114
1024,false,240000,snappy,256,8,7,-81700,39439691
2048,false,120000,snappy,256,9,0,-80940,40424167
1024,false,400000,snappy,256,9,0,-81801,41408404
2048,false,40000,lz4,32,4,0,-80571,42392885
1024,false,40000,snappy,2,5,7,-81105,43377787
1024,false,400000,lz4,128,3,6,-81094,44362727
128,false,240000,snappy,1,5,7,-72270,45349336
2048,false,0,lz4,256,4,6,-80329,46334647
512,false,400000,snappy,256,6,8,-78943,47319379
4,false,240000,zstd,1,1,13,-65687,48322209
8192,false,400000,snappy,256,4,0,-77382,49307735
8192,false,0,lz4,4,4,9,-78358,50292697
8192,false,320000,zstd,128,7,14,-62828,51278697
1024,false,360000,lz4,256,3,3,-80784,52262125
32768,false,360000,lz4,1,4,0,-68977,53246447
2048,false,240000,lz4,1,3,0,-80877,54231181
4096,false,400000,lz4,256,3,6,-80713,55215677
2048,false,280000,lz4,2,3,0,-80746,56200411
1,false,80000,snappy,32,6,3,-72488,57187104
1024,false,240000,snappy,1,6,2,-81081,58173246
2048,false,320000,zstd,128,5,10,-67151,59159575
4,true,240000,lz4,2,8,10,-3719,60167511
1024,false,0,lz4,1,1,3,-79874,61152270
1024,false,80000,snappy,64,6,7,-80793,62137877
1024,false,240000,snappy,256,5,3,-81179,63122394
2048,false,120000,zstd,1,1,9,-67792,64108272
8192,false,280000,lz4,1,8,0,-79246,65092842
2048,true,200000,snappy,1,4,0,-20377,66079290
2048,false,400000,snappy,256,5,1,-80723,67065005
1,false,120000,snappy,256,1,10,-72166,68051543
4096,false,360000,lz4,256,3,0,-79819,69037043
16,false,40000,snappy,64,7,9,-72324,70024663
64,false,400000,snappy,1,2,3,-72465,71010637
1,false,240000,snappy,32,8,0,-72962,71998251
1024,false,240000,snappy,256,9,7,-81353,72981975
1024,false,80000,zstd,256,6,6,-71149,73970308
16384,false,40000,snappy,2,3,9,-74390,74953706
16384,false,320000,lz4,4,5,8,-74933,75938603
1024,false,400000,snappy,1,3,1,-81508,76923447
1024,false,200000,snappy,256,7,7,-81123,77907754
1024,false,240000,lz4,1,4,9,-81836,78891660
65536,false,280000,zstd,64,8,0,-41140,79875395
1024,false,400000,lz4,8,3,0,-80561,80860229
1024,false,160000,lz4,1,3,12,-81303,81844695
16,false,320000,lz4,8,6,0,-72322,82830199
1024,false,240000,lz4,1,4,13,-80969,83815775
2048,false,160000,snappy,1,7,13,-81826,84799871
4096,false,160000,snappy,1,9,12,-80999,85783488
1024,false,0,snappy,256,9,7,-80546,86768680
1024,false,160000,snappy,256,3,14,-81301,87753768
1,false,0,zstd,4,6,0,-66063,88754041
2048,true,40000,zstd,8,5,10,-9925,89744044
8,false,0,lz4,1,3,0,-68377,90730887
1024,false,240000,lz4,128,6,1,-80720,91716825
16384,false,120000,snappy,256,3,11,-74525,92700279
65536,false,0,snappy,16,0,3,-58029,93683748
1024,false,400000,snappy,32,0,0,-80788,94668815
512,false,400000,snappy,64,0,1,-79778,95653879
32768,false,160000,snappy,1,3,1,-68666,96636898
512,false,0,lz4,32,3,0,-78427,97621799
1024,false,320000,snappy,16,2,0,-82060,98606271
