block_size,compaction_readahead_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,0,4,0,32,1,1,10,2,1,67108864,-216803,89842
8192,320000,64,16,64,16,8,8,32,8,32,-129816,181999
8,0,1,2,128,32,6,13,2,8,16,-820,293324
16,160000,1,1,1,128,4,7,1,16,16,-803,404517
32,0,2,32,64,2,2,6,128,32,8,-807,518317
256,40000,4,16,8,8,6,11,64,16,262144,-3466,614198
512,280000,4,512,4,1,1,8,128,1,64,-19634,706967
4096,80000,2,0,512,1,5,6,8,32,33554432,-219934,798051
4096,40000,2,0,8,256,3,6,4,32,268435456,-223903,889300
2048,0,2,0,256,8,9,5,128,2,1073741824,-223994,980178
1024,80000,4,0,256,2,4,15,2,2,67108864,-232563,1071084
1024,0,1,0,4,16,6,13,8,2,2097152,-154153,1161721
1024,40000,2,1024,256,2,4,5,128,2,536870912,-243726,1252926
1024,40000,4,128,8,4,4,8,1,2,536870912,-248288,1343873
1024,80000,8,256,16,2,3,7,1,16,1073741824,-77207,1435703
1024,0,2,128,1024,256,3,15,8,2,32,-115861,1529549
1024,120000,2,128,512,8,5,8,16,32,536870912,-232339,1620958
1024,40000,2,64,256,4,8,6,1,4,536870912,-236712,1712498
1024,200000,2,512,1024,1,4,5,8,16,536870912,-228101,1803723
16,0,2,0,512,4,8,6,64,1,536870912,-75104,1895604
1024,0,4,2,32,8,7,11,64,2,536870912,-217375,1986617
1024,40000,2,1024,256,2,10,10,8,2,4,-127762,2080436
1024,40000,2,1024,256,2,4,5,128,2,1073741824,-232099,2172683
1024,0,1,128,64,2,2,5,1,2,1073741824,-222776,2264618
1024,40000,4,128,8,4,4,8,1,8,536870912,-236903,2356705
1024,40000,8,128,8,4,4,8,1,2,536870912,-76345,2448572
1024,40000,1,32,128,16,9,7,128,16,67108864,-239518,2539693
1024,40000,4,128,2,4,4,8,1,1,536870912,-245178,2631418
1024,200000,1,0,1024,8,6,0,16,8,8,-105715,2723514
1024,40000,4,128,1,8,5,6,8,16,268435456,-236391,2815208
1024,40000,1,1024,4,64,10,6,1,1,536870912,-236620,2906800
512,40000,4,128,16,2,4,4,64,2,536870912,-199690,2999368
1024,40000,4,64,4,4,4,10,1,2,134217728,-241500,3090781
1024,160000,4,128,2,4,4,8,1,2,67108864,-223923,3182311
1024,0,4,512,1,2,4,6,8,16,268435456,-229342,3274399
512,40000,4,32,2,4,4,8,1,4,536870912,-181621,3366044
1024,80000,4,128,2,4,3,8,1,1,536870912,-235097,3457775
1024,40000,1,1024,256,4,4,9,128,2,16777216,-217490,3549475
1024,40000,2,64,8,32,1,15,1,2,536870912,-228456,3641859
1024,400000,4,64,64,1,3,10,128,8,536870912,-231576,3733967
512,0,1,256,512,4,0,9,4,8,8388608,-115688,3825250
512,400000,1,32,256,32,6,5,8,8,134217728,-184508,3919182
1024,40000,4,256,256,4,10,10,2,1,268435456,-243832,4011967
1024,240000,2,1024,1024,64,1,5,1,32,536870912,-207170,4103839
16384,0,4,128,1,256,5,9,1,1,536870912,-153503,4196070
1024,320000,4,256,4,32,8,9,1,16,134217728,-213712,4287691
256,0,4,64,1,16,6,9,1,2,268435456,-79711,4379735
1024,40000,1,0,64,8,8,8,8,4,67108864,-235390,4471392
1024,0,4,32,512,32,10,4,128,16,268435456,-224493,4562743
131072,160000,32,32,2,8,8,1,32,2,1024,-14585,4654795
131072,360000,4,32,1,32,6,5,32,32,8192,-15838,4746443
1024,280000,1,32,256,16,8,8,1,1,1073741824,-219491,4838732
