block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,0,32,1,1,10,67108864,-59466,999077
32,true,80000,lz4,256,64,16,8,8,0,131072,-3050,2015224
32,false,280000,zstd,1,512,64,16,9,5,4194304,-66460,3016688
65536,true,200000,snappy,16,64,1,256,8,1,33554432,-44583,4015757
262144,false,320000,zstd,4,1024,128,1,3,2,16,-1978,5037731
4096,true,120000,snappy,8,128,64,64,0,0,1073741824,-46111,6035198
64,false,120000,zstd,128,1024,32,8,1,3,67108864,-79518,7039408
512,false,40000,zstd,64,0,4,4,3,10,1024,-6090,8059221
8,true,320000,lz4,128,64,256,256,6,8,2048,-2768,9085405
64,false,160000,zstd,32,16,4,1,2,5,262144,-8418,10102773
256,true,120000,zstd,1,128,256,128,7,10,2097152,-3634,11123679
8192,true,280000,lz4,256,256,8,4,5,8,512,-19875,12130699
4,false,120000,lz4,256,2,128,8,1,8,16777216,-58613,13130093
1,false,280000,zstd,4,512,256,1,7,9,536870912,-58921,14134746
16,false,400000,zstd,2,1024,32,4,1,6,134217728,-71209,15139558
32768,false,40000,zstd,4,1024,4,16,0,1,67108864,-51087,16141776
8,false,160000,snappy,16,0,1,64,6,7,536870912,-57745,17144404
16,false,40000,zstd,256,1024,512,8,6,3,33554432,-79996,18150908
16,false,120000,snappy,64,1024,16,8,5,4,134217728,-57057,19151416
32,false,0,zstd,128,512,1024,2,10,3,4194304,-46990,20154332
8,true,400000,zstd,256,1024,64,4,6,9,4194304,-1242,21190233
16,false,400000,zstd,256,8,512,64,6,5,4194304,-43715,22203932
262144,false,40000,zstd,128,1024,256,128,6,9,67108864,-27680,23217884
8,false,400000,lz4,16,1024,32,1,2,2,2097152,-40014,24229249
32,false,40000,zstd,128,1024,64,16,2,2,67108864,-70502,25249555
1,false,40000,zstd,16,256,512,32,5,0,1048576,-38826,26264916
32,false,280000,zstd,1,1024,64,4,9,2,1048576,-35283,27280793
64,false,400000,zstd,128,1024,64,4,4,1,33554432,-74560,28296531
524288,false,200000,lz4,64,1,64,8,0,7,64,-12931,29319823
1,false,160000,zstd,256,1024,256,4,9,14,33554432,-76317,30340485
128,false,400000,zstd,256,4,64,4,6,10,33554432,-75770,31361548
256,false,0,zstd,256,0,512,8,6,3,67108864,-63334,32380892
64,false,160000,zstd,128,1,2,4,5,8,16777216,-74266,33394843
32,true,200000,snappy,64,8,2,64,5,9,512,-1792,34440625
16,false,40000,zstd,128,16,512,8,7,11,33554432,-75504,35458198
8192,false,80000,zstd,128,4,32,8,9,5,16777216,-46101,36469685
16,false,40000,zstd,256,1024,512,1,6,3,33554432,-74482,37484800
1,false,160000,zstd,256,1024,256,8,9,14,8388608,-59518,38497860
64,false,40000,zstd,64,1024,512,8,6,3,33554432,-76650,39516560
64,true,120000,zstd,256,64,256,8,5,5,33554432,-1467,40565132
64,false,120000,zstd,32,1024,32,8,1,3,33554432,-78420,41582045
64,false,80000,zstd,256,1024,1024,8,6,3,33554432,-76790,42599456
64,false,120000,zstd,32,1024,32,2,1,3,33554432,-77746,43615652
16,false,320000,zstd,256,512,128,8,4,0,67108864,-72721,44633763
64,false,120000,zstd,128,1024,8,8,1,3,33554432,-78189,45651353
16,false,160000,zstd,128,16,512,256,0,3,16777216,-74207,46666874
16,false,120000,zstd,128,1024,2,8,1,3,8388608,-60274,47680755
128,false,120000,zstd,256,128,8,256,6,5,134217728,-63086,48709776
512,false,120000,zstd,64,1024,512,8,5,3,33554432,-55769,49723301
256,false,320000,zstd,32,1024,1,4,0,5,16777216,-60026,50738854
64,false,120000,zstd,32,1024,32,1,1,3,33554432,-75795,51757887
64,false,0,zstd,8,16,4,1,9,0,67108864,-78894,52775828
64,false,120000,lz4,128,16,8,8,9,3,134217728,-54700,53790526
32,false,0,zstd,32,2,8,2,5,3,67108864,-79620,54810619
16,false,160000,zstd,32,64,32,2,1,3,67108864,-74733,55830777
32,false,200000,zstd,4,0,4,1,7,9,4194304,-12534,56857832
32,false,0,zstd,8,2,8,2,5,3,67108864,-46134,57873456
32,false,40000,zstd,32,0,8,2,3,3,67108864,-73081,58895594
64,false,120000,zstd,128,1024,4,8,1,3,67108864,-72050,59914948
1,false,80000,zstd,256,1024,256,8,9,10,33554432,-75642,60931045
64,false,120000,zstd,64,4,2,4,10,10,67108864,-73960,61952027
64,false,0,zstd,256,2,8,128,2,11,33554432,-80123,62968969
16,false,0,zstd,256,1024,8,8,5,3,33554432,-83139,63986542
16,false,0,zstd,16,1024,8,16,5,3,33554432,-81430,65005896
8,false,0,zstd,128,4,8,2,7,10,33554432,-84112,66023209
