block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,0,32,1,1,10,67108864,-70070,994327
512,false,40000,zstd,32,64,8,8,4,0,64,-11823,2013905
32768,true,160000,lz4,128,0,1024,1,0,6,128,-10031,3024877
4096,false,0,snappy,2,8,64,32,6,7,4,-4971,4039886
1024,false,200000,zstd,4,128,2,2,9,10,2097152,-37125,5036278
32768,true,280000,lz4,64,1024,32,16,7,1,16777216,-8478,6031958
2048,true,0,zstd,8,2,128,32,9,8,128,-733,7095647
64,false,280000,lz4,1,8,1,4,1,2,33554432,-69375,8090924
1024,true,160000,lz4,4,1,512,2,2,10,524288,-3395,9095333
32768,false,120000,snappy,256,2,32,4,5,0,256,-4317,10119275
4,true,360000,lz4,32,1024,4,2,0,1,4,-615,11174551
4,true,80000,zstd,1,32,8,1,1,1,4194304,-913,12239009
8,false,240000,lz4,2,0,4,32,1,9,536870912,-74798,13244968
1,false,320000,zstd,1,0,2,8,10,9,134217728,-39635,14255888
512,false,280000,snappy,8,1024,2,256,1,9,268435456,-68106,15251837
128,false,280000,lz4,1,512,16,32,1,6,536870912,-80124,16258415
256,false,160000,lz4,2,0,4,8,1,15,536870912,-73258,17254605
1,false,120000,lz4,2,1024,128,16,1,10,1073741824,-75496,18253357
8192,false,0,lz4,8,0,512,16,3,2,1073741824,-62030,19246717
16,true,0,lz4,1,1,16,128,2,7,536870912,-854,20314557
8,false,160000,lz4,1,256,64,16,2,11,536870912,-75164,21317725
32,false,240000,zstd,1,0,128,32,1,6,8388608,-7305,22337482
4,false,280000,zstd,1,16,128,16,0,6,536870912,-83647,23372142
4,false,120000,zstd,1,1,1024,256,0,12,536870912,-80777,24416432
32,false,280000,zstd,1,2,256,128,0,1,1073741824,-76329,25421476
4,false,0,zstd,1,1,16,32,1,5,134217728,-44613,26429697
1,false,0,zstd,1,64,128,256,2,5,536870912,-81813,27480981
8,false,160000,zstd,1,2,4,256,4,10,536870912,-81430,28542157
4,false,120000,zstd,1,32,4,256,5,7,536870912,-84696,29576841
1,false,200000,zstd,1,2,512,16,9,7,536870912,-79949,30632787
1,false,400000,zstd,1,128,64,1,8,8,536870912,-80768,31664853
4,false,400000,zstd,1,32,32,2,10,5,536870912,-78188,32715079
4,false,40000,zstd,32,32,256,16,5,7,536870912,-72794,33720420
1,false,80000,snappy,1,2,64,256,2,0,536870912,-73570,34716434
1,false,360000,zstd,1,32,4,64,2,12,268435456,-81410,35725689
