block_size,compaction_readahead_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,0,4,0,32,1,1,10,2,1,67108864,-95080,91471
8192,280000,2,1,512,64,5,7,8,16,64,-11272,185390
65536,360000,8,4,512,256,6,7,8,4,1024,-12238,279018
1,360000,128,256,1024,64,8,5,2,1,2097152,-21217,371971
64,40000,4,0,2,1,5,8,64,4,262144,-30290,465873
4,40000,128,0,1,256,1,10,1,8,67108864,-73989,559577
128,120000,2,64,2,64,2,10,2,4,33554432,-89260,653410
1,320000,32,1,1,16,2,7,32,4,536870912,-85261,746449
8192,320000,4,0,1024,256,3,4,2,4,67108864,-88975,837919
32,240000,32,4,1,128,1,13,16,4,8388608,-52297,932096
64,400000,4,512,2,16,2,6,128,1,67108864,-95067,1026265
262144,160000,32,0,64,64,3,9,32,1,67108864,-30564,1120178
64,120000,2,8,128,128,4,6,4,2,67108864,-102166,1214000
1024,120000,1,32,256,64,4,6,16,1,33554432,-99529,1306237
64,120000,2,8,512,128,4,6,4,2,67108864,-102311,1399881
8192,80000,2,2,16,4,4,11,32,2,268435456,-119100,1493527
65536,120000,4,128,128,1,4,12,128,2,536870912,-91156,1585792
131072,0,1,2,16,8,4,5,4,1,16777216,-39205,1678839
65536,80000,2,2,4,32,7,14,8,1,33554432,-51658,1771553
65536,40000,1,4,4,4,4,13,4,8,134217728,-82966,1865028
65536,400000,2,4,16,256,4,10,128,2,268435456,-88078,1958112
8192,80000,8,2,16,4,4,11,32,2,268435456,-81194,2051333
32,80000,2,2,16,128,4,9,32,1,33554432,-88021,2144954
8192,80000,2,0,16,4,4,11,32,2,268435456,-118852,2238758
64,80000,1,1,16,4,3,11,32,1,1073741824,-119886,2332621
8192,240000,1,1,128,4,1,11,8,2,1073741824,-121661,2425661
32768,240000,8,1,128,4,1,11,8,1,1073741824,-74798,2518578
16384,200000,1,4,512,4,4,11,8,1,1073741824,-117149,2611708
16384,240000,1,1,512,4,5,11,8,1,1073741824,-116632,2705014
128,320000,1,0,8,1,7,13,32,8,268435456,-119118,2798491
4096,200000,2,0,4,1,9,10,8,16,268435456,-117976,2891943
4,240000,1,1024,2,2,2,11,8,2,1073741824,-119200,2986657
