block_size,compaction_readahead_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,0,4,0,32,1,1,10,2,1,67108864,-113743,93051
524288,0,16,0,8,4,2,6,2,4,32,-4805,186035
16,0,128,8,64,1,8,5,32,2,512,-10690,282094
2048,0,16,256,512,32,10,14,16,1,2097152,-48085,375574
256,0,4,128,256,128,1,14,128,2,268435456,-167636,468606
1,0,4,0,32,2,1,5,128,1,134217728,-134449,563436
1,120000,2,64,32,32,1,10,64,8,8388608,-92746,657039
64,0,1,2,128,16,9,4,128,8,2048,-10097,750938
32768,40000,32,256,32,16,1,8,8,1,4194304,-8295,843803
64,0,1,32,32,256,8,6,128,1,1073741824,-161780,938186
1,0,2,64,32,256,9,10,128,4,1073741824,-158903,1032201
128,0,2,8,32,128,9,6,128,32,268435456,-165426,1125901
1,160000,8,8,2,128,7,2,128,1,67108864,-63219,1219172
1024,0,4,64,16,256,0,3,16,1,536870912,-166624,1311856
256,0,1,64,4,256,3,9,64,1,536870912,-164252,1405187
128,0,32,64,64,128,1,9,2,8,268435456,-81786,1498560
131072,0,4,2,64,64,2,8,128,2,268435456,-55351,1591520
32768,0,1,16,256,256,8,15,4,1,67108864,-83425,1685007
2048,0,2,4,1,128,0,9,16,1,268435456,-152842,1778758
1024,40000,4,128,64,256,2,14,16,8,536870912,-170860,1871837
32768,160000,4,128,512,256,2,14,32,2,536870912,-136412,1964743
1024,40000,4,16,64,256,6,6,4,2,536870912,-169490,2057605
