block_size,compaction_readahead_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,0,4,0,32,1,1,10,2,1,67108864,-112934,91758
256,400000,256,256,2,8,5,9,2,32,4194304,-17285,183301
4,160000,1,0,16,8,2,11,4,4,524288,-22177,277446
8,80000,1,0,16,8,4,15,128,32,16384,-22605,373258
1,280000,2,1,64,256,7,14,2,8,33554432,-109177,466280
1,360000,4,0,1024,8,1,12,2,32,33554432,-101620,560334
32,40000,2,1,512,32,7,7,128,16,268435456,-161290,654072
1,0,4,1,128,64,8,7,16,8,8388608,-87608,748072
32,360000,256,4,512,16,8,6,128,4,268435456,-86537,841375
262144,200000,16,4,1024,1,2,1,32,2,32,-8025,933918
8,0,1,1,128,1,7,5,8,16,8388608,-82541,1027299
2048,160000,2,1,64,128,4,10,64,16,134217728,-154974,1120544
16384,280000,4,0,128,128,1,9,128,1,8388608,-63284,1214353
16384,160000,1,1,1024,32,6,9,128,32,134217728,-143768,1307435
65536,360000,4,64,16,256,6,1,8,32,1024,-22657,1401091
65536,120000,1,0,32,256,3,10,128,32,134217728,-99202,1494637
8,360000,8,16,64,8,4,4,4,32,4096,-38634,1588716
128,80000,1,2,32,2,4,6,128,16,536870912,-167983,1682982
4096,40000,1,512,16,4,2,3,2,4,33554432,-129522,1775107
32768,0,16,0,128,64,8,4,128,4,128,-27362,1868717
1024,0,1,4,128,64,5,0,32,16,536870912,-170536,1962092
128,40000,1,1,4,8,6,7,64,32,268435456,-159990,2055455
