block_size,compaction_readahead_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,0,4,0,32,1,1,10,2,1,67108864,-112634,202632
32768,0,256,128,32,8,6,7,32,32,1024,-11528,409283
32,160000,64,1,2,2,8,10,64,1,536870912,-146576,613621
1,40000,4,2,4,8,1,6,8,4,16,-6577,823432
32,0,128,2,1,2,4,5,8,32,131072,-13871,1030042
8192,240000,32,0,1,16,2,9,8,1,1048576,-27024,1233531
2048,280000,2,1024,512,64,1,4,4,2,262144,-69432,1435608
1,240000,256,64,8,32,9,10,128,8,134217728,-141529,1640403
4,40000,128,32,2,4,10,14,8,2,8388608,-42145,1844322
4,240000,16,1024,1,2,10,6,64,2,134217728,-139169,2048173
524288,360000,8,8,128,2,9,2,32,4,128,-3619,2254712
8,120000,1,8,1,8,4,8,64,2,1073741824,-173168,2459546
32,400000,1,4,64,4,5,7,64,16,1073741824,-170688,2664301
8192,240000,1,32,1,128,3,9,64,8,1073741824,-174865,2867448
32,160000,1,2,1024,2,1,2,2,32,2048,-944,3076927
8192,80000,1,32,8,4,6,6,64,32,1073741824,-171037,3280232
2048,0,1,512,4,128,2,5,2,4,1073741824,-178090,3483543
1024,320000,1,512,1,256,0,2,64,2,1073741824,-176277,3686761
1,280000,1,1024,128,64,2,5,64,32,1073741824,-175009,3891198
2048,200000,1,256,2,256,2,6,8,8,1073741824,-175159,4095090
256,400000,1,512,128,1,3,1,64,8,1073741824,-176040,4299046
524288,160000,1,512,2,64,3,5,64,1,1073741824,-11281,4501842
