compaction_throughput_mb_per_sec,concurrent_compactors,concurrent_reads,concurrent_writes,file_cache_size_in_mb,memtable_heap_space_in_mb,memtable_offheap_space_in_mb,memtable_allocation_type,row_cache_size_in_mb,sstable_preemptive_open_interval_in_mb,Throughput,Timestamp
16,4,32,32,512,2048,2048,heap_buffers,0,50,-919.0,3222720.0
64,6,41,60,256,3413,3754,heap_buffers,1,50,-2465.0,6138431.0
16,7,44,14,256,4096,3413,offheap_buffers,9,60,-5864.0,8626828.0
32,2,47,34,2048,1024,4096,offheap_objects,10,50,-1983.0,11645165.0
16,11,40,54,512,2048,2048,offheap_buffers,14,90,-983.0,14773846.0
64,14,28,21,2048,2730,3072,heap_buffers,11,40,-1117.0,17842435.0
64,9,19,50,256,3072,2048,offheap_buffers,1,90,-1151.0,21038132.0
64,6,62,53,1024,1024,3413,heap_buffers,8,50,-1026.0,24209902.0
64,13,16,33,256,3754,1706,offheap_objects,12,0,-1091.0,27341674.0
64,11,36,64,256,3072,3413,offheap_objects,9,80,-1152.0,30529478.0
64,11,9,23,2048,2048,4096,heap_buffers,14,70,-1023.0,33715169.0
16,2,64,12,1024,4096,3754,offheap_objects,8,70,-3758.0,36589536.0
64,15,64,64,1024,3413,1365,offheap_buffers,0,30,-1140.0,39776214.0
16,5,32,11,512,4096,3072,offheap_objects,0,0,-1320.0,42879949.0
16,8,54,11,256,4096,2730,offheap_objects,2,20,-1070.0,46069439.0
16,3,47,8,2048,4096,2389,offheap_objects,9,100,-1666.0,49241799.0
64,8,41,61,1024,3754,2389,offheap_objects,11,90,-1055.0,52422335.0
16,8,31,15,1024,4096,3413,heap_buffers,13,0,-1366.0,55607597.0
16,3,25,14,256,1365,3413,offheap_buffers,0,30,-1109.0,58765557.0
32,7,44,14,256,4096,3413,offheap_buffers,9,60,-1214.0,61894326.0
16,2,52,12,256,4096,3754,offheap_objects,2,100,-1203.0,65085987.0
16,7,44,10,256,4096,4096,heap_buffers,9,60,-1128.0,68256257.0
