compaction_throughput_mb_per_sec,concurrent_compactors,concurrent_reads,concurrent_writes,file_cache_size_in_mb,memtable_heap_space_in_mb,memtable_offheap_space_in_mb,memtable_allocation_type,row_cache_size_in_mb,sstable_preemptive_open_interval_in_mb,Throughput,Timestamp
16,4,32,32,512,2048,2048,heap_buffers,0,50,-796.0,1213730.0
32,3,58,31,512,2730,1024,heap_buffers,1,0,-647.0,2456225.0
16,10,43,46,512,2730,2048,offheap_buffers,9,80,-836.0,3671137.0
32,4,21,43,2048,1706,3754,offheap_buffers,5,30,-996.0,4850216.0
64,3,10,14,2048,3413,3754,heap_buffers,14,20,-733.0,6080936.0
64,4,42,46,512,3413,1706,heap_buffers,1,60,-18671.0,6741395.0
16,13,44,26,1024,3413,3413,offheap_buffers,8,90,-788.0,8016933.0
32,14,23,51,1024,2048,1024,offheap_buffers,15,0,-803.0,9232621.0
32,13,21,22,256,3754,3754,heap_buffers,1,40,-821.0,10480135.0
64,12,16,48,512,3754,2389,heap_buffers,8,30,-626.0,11723470.0
64,8,34,58,256,3072,2389,offheap_buffers,12,20,-659.0,12977111.0
16,15,43,16,256,3413,1024,heap_buffers,15,60,-549.0,14245789.0
64,12,44,50,256,2389,1365,offheap_buffers,1,60,-705.0,15495153.0
64,5,25,50,256,3413,1024,offheap_objects,0,60,-614.0,16759816.0
64,3,41,60,1024,3754,3413,heap_buffers,0,60,-9526.0,17744130.0
64,4,41,59,512,3754,2730,offheap_buffers,1,80,-666.0,19053755.0
64,4,42,45,256,4096,4096,heap_buffers,1,90,-556.0,20332656.0
16,4,51,50,2048,4096,1706,heap_buffers,2,60,-500.0,21599982.0
64,4,42,52,512,3413,1706,heap_buffers,1,60,-3142.0,22670863.0
64,4,49,46,512,3413,1706,heap_buffers,1,60,-520.0,23935177.0
64,4,44,46,512,3413,1706,heap_buffers,1,60,-658.0,25178336.0
64,4,42,46,1024,3413,1706,heap_buffers,1,60,-1878.0,26314963.0
64,13,32,21,256,3413,2389,heap_buffers,7,70,-617.0,27559944.0
64,2,42,48,512,3072,1706,heap_buffers,1,70,-301.0,28408510.0
32,14,37,42,1024,1024,1706,offheap_buffers,15,10,-1383.0,29519974.0
16,15,10,63,1024,2730,2389,offheap_buffers,8,50,-1995.0,30588800.0
64,4,42,47,256,3413,1706,offheap_buffers,0,60,-665.0,31783140.0
64,4,42,46,2048,3413,1706,heap_buffers,1,60,-860.0,32976988.0
64,4,36,46,512,4096,1024,heap_buffers,0,60,-1881.0,34150120.0
64,4,42,46,512,3413,1365,heap_buffers,1,60,-1641.0,35339736.0
16,4,42,46,512,3413,1706,heap_buffers,1,60,-605.0,36512940.0
64,4,42,46,256,3413,1706,heap_buffers,1,60,-1133.0,37719111.0
64,3,12,9,512,3754,1706,heap_buffers,1,40,-862.0,38991574.0
64,4,42,46,512,3413,1706,offheap_buffers,1,60,-410.0,40336844.0
64,4,42,46,512,3413,1706,heap_buffers,1,40,-1049.0,41569903.0
64,4,42,46,512,3754,1706,heap_buffers,1,60,-722.0,42804121.0
64,4,42,50,512,3413,1706,heap_buffers,1,60,-934.0,44086831.0
32,14,33,31,256,2389,3072,heap_buffers,9,20,-2148.0,45218101.0
64,4,42,46,512,3413,1706,heap_buffers,2,60,-1636.0,46387849.0
64,4,42,46,512,3413,2048,heap_buffers,1,60,-3718.0,47431350.0
64,3,42,46,512,3413,2048,heap_buffers,1,60,-1614.0,48535970.0
64,4,42,46,512,3413,1024,heap_buffers,1,60,-915.0,49738289.0
64,4,42,46,512,2730,1706,heap_buffers,1,60,-1023.0,50881781.0
64,6,42,46,512,3413,1706,heap_buffers,1,60,-1561.0,51990240.0
64,4,36,46,512,3413,1706,heap_buffers,1,60,-850.0,53197087.0
64,4,42,47,512,3413,1706,heap_buffers,1,60,-651.0,54457673.0
64,4,42,46,512,3413,1706,heap_buffers,3,60,-2541.0,55518789.0
64,4,42,46,512,3413,1706,heap_buffers,1,50,-1642.0,56662553.0
64,5,42,46,512,3413,1706,heap_buffers,1,60,-1350.0,57816870.0
64,4,42,46,512,3413,1706,heap_buffers,1,70,-1199.0,58960589.0
64,4,42,46,512,3072,1706,heap_buffers,1,60,-1037.0,60213260.0
32,4,42,46,512,3413,1706,heap_buffers,1,60,-756.0,61425870.0
16,15,48,64,256,3072,1706,offheap_objects,0,100,-838.0,62590640.0
64,4,42,46,512,3413,1706,heap_buffers,1,80,-1968.0,63687948.0
64,4,42,46,512,3413,2389,heap_buffers,1,60,-1169.0,64861371.0
64,4,42,46,512,3413,1706,heap_buffers,6,60,-1353.0,66011046.0
64,4,42,46,512,3413,1706,offheap_objects,1,60,-1600.0,67153774.0
16,12,41,62,256,3072,1365,heap_buffers,13,60,-1003.0,68366852.0
64,2,41,62,1024,2389,3072,offheap_objects,1,0,-1424.0,69547343.0
64,4,42,46,1024,3413,1706,offheap_objects,1,60,-1101.0,70735583.0
64,16,42,64,256,3754,3413,heap_buffers,4,80,-574.0,71991412.0
64,4,43,46,512,3413,1706,heap_buffers,1,60,-958.0,73177598.0
64,4,41,46,512,3413,1706,heap_buffers,1,60,-2228.0,74333864.0
64,4,41,46,1024,3413,1706,heap_buffers,1,60,-1486.0,75448827.0
16,3,41,60,1024,3754,3413,heap_buffers,0,60,-1680.0,76606773.0
64,4,42,46,512,3413,1706,heap_buffers,0,60,-2410.0,77673929.0
32,3,41,60,1024,3754,3413,heap_buffers,0,60,-1557.0,78807279.0
64,4,42,46,512,3413,2730,heap_buffers,1,60,-1108.0,79935675.0
64,4,42,46,512,3413,2048,heap_buffers,0,60,-1880.0,81043626.0
64,3,42,60,512,3413,3413,heap_buffers,0,60,-1317.0,82151366.0
64,4,42,46,512,4096,1706,heap_buffers,1,60,-1264.0,83317682.0
64,4,42,46,512,3413,1706,offheap_objects,0,60,-972.0,84473592.0
64,3,41,64,1024,3754,3413,heap_buffers,0,60,-834.0,85762522.0
64,4,41,60,1024,3754,3413,heap_buffers,0,60,-1176.0,86953745.0
64,4,42,46,512,3413,1706,heap_buffers,1,90,-844.0,88191460.0
64,3,41,60,2048,3754,3413,heap_buffers,0,60,-1632.0,89307424.0
64,3,41,60,1024,3413,3413,heap_buffers,0,60,-1243.0,90438349.0
64,4,42,46,1024,3413,1706,heap_buffers,0,60,-1926.0,91527214.0
64,3,41,55,1024,3754,2048,heap_buffers,0,60,-1114.0,92707158.0
64,3,42,60,1024,3754,3413,heap_buffers,0,60,-1121.0,94017933.0
64,4,41,46,256,3413,1706,heap_buffers,1,60,-835.0,95320011.0
64,3,41,60,1024,3754,3754,heap_buffers,0,60,-1520.0,96625095.0
64,6,62,12,2048,2389,3754,offheap_objects,2,100,-1497.0,97879472.0
64,4,42,46,512,3413,1706,heap_buffers,0,50,-1854.0,99095617.0
64,3,41,60,512,3754,3413,heap_buffers,0,60,-709.0,100466518.0
64,4,42,46,1024,3413,2048,heap_buffers,1,60,-803.0,101791416.0
64,3,41,60,1024,4096,3413,heap_buffers,0,60,-1779.0,103085033.0
64,3,41,60,1024,3754,3413,heap_buffers,1,60,-1674.0,104300633.0
64,3,41,60,1024,3754,3413,heap_buffers,0,50,-1339.0,105510110.0
64,3,41,60,1024,3754,3072,heap_buffers,0,60,-1294.0,106816762.0
64,3,41,60,1024,3754,3413,heap_buffers,2,60,-779.0,108125747.0
16,13,16,46,256,3072,2048,offheap_objects,10,30,-1189.0,109426242.0
64,3,41,60,1024,3754,4096,heap_buffers,0,60,-481.0,110798891.0
64,3,41,61,1024,3754,3413,heap_buffers,0,60,-1233.0,112120965.0
64,4,42,46,256,3413,1706,heap_buffers,0,60,-2095.0,113379551.0
64,4,42,46,512,3413,2048,heap_buffers,1,50,-1401.0,114676641.0
64,3,40,60,1024,4096,3413,heap_buffers,0,60,-677.0,116050460.0
64,4,42,46,512,3413,1024,heap_buffers,0,60,-1247.0,117166529.0
64,6,42,46,512,3413,1706,heap_buffers,0,60,-914.0,118311970.0
64,4,42,46,512,3413,1365,heap_buffers,0,60,-843.0,119472060.0
64,4,42,46,512,3754,1706,heap_buffers,0,60,-1124.0,120666129.0
64,4,41,46,512,3413,2048,heap_buffers,1,60,-384.0,121962609.0
64,3,41,60,1024,3754,3413,heap_buffers,0,70,-1024.0,123134710.0
64,4,42,54,512,3413,1706,heap_buffers,1,60,-524.0,124388876.0
64,4,41,46,512,3413,1706,offheap_objects,1,60,-698.0,125744099.0
64,4,41,46,512,3413,1706,heap_buffers,1,50,-1162.0,126919917.0
32,7,39,63,512,2730,4096,offheap_buffers,10,50,-1939.0,128077886.0
64,4,42,46,512,2730,1706,heap_buffers,0,60,-1565.0,129261449.0
64,4,42,46,512,3413,1706,heap_buffers,4,60,-1870.0,130433239.0
32,4,8,59,2048,2389,3413,offheap_objects,13,30,-1177.0,131633670.0
64,5,41,60,1024,3754,3413,heap_buffers,0,60,-3130.0,132696881.0
64,5,42,46,512,3413,1706,heap_buffers,0,60,-1900.0,133930456.0
64,5,41,46,512,3413,1706,heap_buffers,1,60,-1102.0,135236300.0
64,7,41,60,1024,3754,3413,heap_buffers,0,60,-13883.0,136075609.0
16,7,41,60,1024,3754,3413,heap_buffers,0,60,-1743.0,137310626.0
64,8,41,60,1024,3754,3413,heap_buffers,0,60,-1224.0,138600096.0
16,3,23,42,512,4096,1024,offheap_objects,2,80,-1022.0,139846388.0
32,7,32,60,1024,3754,1024,heap_buffers,12,60,-2276.0,141013415.0
64,7,41,60,2048,3754,3413,heap_buffers,0,60,-1217.0,142231678.0
64,7,41,60,1024,2730,3413,heap_buffers,0,60,-2089.0,143456845.0
64,7,41,60,1024,3413,3413,heap_buffers,0,60,-1838.0,144700310.0
64,14,26,15,512,2048,2389,heap_buffers,6,100,-1700.0,145875946.0
64,7,41,60,1024,3754,2730,heap_buffers,0,60,-3505.0,146976976.0
64,6,41,60,1024,3754,3413,heap_buffers,0,60,-1309.0,148243232.0
64,7,41,60,1024,4096,3413,heap_buffers,0,60,-13213.0,149254529.0
64,7,11,63,1024,4096,1024,offheap_objects,0,60,-2163.0,150447426.0
16,7,41,60,1024,4096,3413,heap_buffers,0,60,-1504.0,151693488.0
64,7,45,60,1024,4096,3413,heap_buffers,0,60,-1644.0,152994979.0
64,7,41,61,1024,3754,3413,heap_buffers,0,60,-761.0,154353719.0
64,7,41,60,1024,4096,3754,heap_buffers,0,60,-880.0,155708656.0
64,7,41,60,1024,4096,3413,heap_buffers,0,40,-2052.0,156929948.0
64,5,8,8,2048,3072,1365,offheap_objects,5,70,-1280.0,158190610.0
64,7,41,60,1024,3754,3413,offheap_buffers,0,60,-1877.0,159462076.0
64,7,41,60,1024,3754,3072,heap_buffers,0,60,-1223.0,160796675.0
16,7,23,18,2048,1706,4096,heap_buffers,16,70,-6646.0,161855203.0
64,7,41,60,1024,3754,3413,offheap_objects,0,60,-1982.0,163105855.0
64,7,41,60,1024,4096,3413,heap_buffers,0,70,-1645.0,164344554.0
