block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,time,status,seed
4096,False,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-116159,0.1,SUCCESS,1
512,False,200000,snappy,128,16,256,-1,6,4,64,16,4096,-23365,0.1,SUCCESS,1
131072,False,400000,snappy,128,512,1024,4,3,2,128,16,512,-3743,0.1,SUCCESS,1
1024,False,120000,snappy,2,4,2,2,11,9,4,16,1073741824,-142478,0.1,SUCCESS,1
8192,False,240000,snappy,8,128,1024,-1,6,8,64,2,65536,-13815,0.1,SUCCESS,1
8192,False,160000,snappy,1,0,8,4,11,0,16,2,2097152,-21823,0.1,SUCCESS,1
8,False,320000,snappy,128,2,1,4,5,5,64,2,4,-15633,0.1,SUCCESS,1
4096,False,360000,snappy,128,512,512,1,6,10,128,1,268435456,-121384,0.1,SUCCESS,1
131072,False,160000,snappy,256,256,36,4,11,3,2,16,134217728,-47889,0.1,SUCCESS,1
131072,False,400000,snappy,4,1024,32,1,4,9,4,32,2097152,-31176,0.1,SUCCESS,1
512,False,320000,snappy,256,1,16,8,5,3,8,32,1024,-14750,0.1,SUCCESS,1
512,False,360000,snappy,16,20,32,-1,9,3,2,32,33554432,-95315,0.1,SUCCESS,1
4096,False,0,snappy,1,32,1,128,2,5,8,2,4096,-58566,0.1,SUCCESS,1
4096,False,80000,snappy,16,128,4,32,9,6,8,16,16,-47957,0.1,SUCCESS,1
262144,False,320000,snappy,64,20,16,32,9,7,1,16,131072,-9074,0.1,SUCCESS,1
64,False,320000,snappy,64,8,512,8,10,10,1,8,8,-7658,0.1,SUCCESS,1
16,False,40000,snappy,1,2,512,256,0,4,128,1,65536,-300,0.1,SUCCESS,1
16384,False,280000,snappy,64,512,256,1,4,3,4,4,256,-11353,0.1,SUCCESS,1
65536,False,160000,snappy,1,128,4,2,6,9,4,1,1073741824,-136633,0.1,SUCCESS,1
16384,False,0,snappy,32,64,64,64,1,7,4,1,4194304,-33364,0.1,SUCCESS,1
32768,False,40000,snappy,4,1,64,64,3,0,16,8,67108864,-116458,0.1,SUCCESS,1
32,False,0,snappy,8,64,64,2,3,2,64,2,536870912,-166887,0.1,SUCCESS,1
524288,False,320000,lz4,64,128,1,64,8,10,64,4,8388608,-7324,0.1,SUCCESS,1
131072,False,120000,lz4,4,256,256,1,10,2,8,2,32768,-7126,0.1,SUCCESS,1
1024,False,320000,lz4,16,512,4,2,2,10,8,8,65536,-48352,0.1,SUCCESS,1
16,False,160000,lz4,32,256,8,-1,0,5,16,4,1024,-11837,0.1,SUCCESS,1
128,False,400000,lz4,1,2,64,256,7,2,64,2,1048576,-4825,0.1,SUCCESS,1
4096,False,280000,lz4,64,512,256,256,7,4,16,1,2097152,-28560,0.1,SUCCESS,1
512,False,40000,lz4,64,256,1,64,11,3,1,1,536870912,-174388,0.1,SUCCESS,1
1,False,320000,lz4,4,0,1024,16,1,4,2,32,16384,-495,0.1,SUCCESS,1
262144,False,120000,lz4,1,0,8,128,10,2,1,1,4194304,-20873,0.1,SUCCESS,1
256,False,0,lz4,16,512,128,2,5,9,2,1,1048576,-45757,0.1,SUCCESS,1
8192,False,240000,lz4,32,256,4,8,8,1,8,2,2048,-34216,0.1,SUCCESS,1
4,False,400000,lz4,256,32,256,16,1,8,1,32,1,-11539,0.1,SUCCESS,1
256,False,0,lz4,2,0,1,-1,5,6,64,4,4,-1127,0.1,SUCCESS,1
256,False,160000,lz4,32,16,64,128,6,1,1,8,1024,-4965,0.1,SUCCESS,1
524288,False,120000,lz4,4,512,64,256,2,3,128,32,67108864,-51288,0.1,SUCCESS,1
32768,False,0,lz4,128,4,36,2,2,8,8,8,32,-10680,0.1,SUCCESS,1
2048,False,320000,lz4,4,8,2,128,2,5,16,1,32768,-4407,0.1,SUCCESS,1
16384,False,240000,lz4,128,0,1,32,3,6,64,2,33554432,-91025,0.1,SUCCESS,1
