block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,time,status,seed
4096,False,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-13893,0.1,SUCCESS,1
8192,True,80000,snappy,1,2,4,16,1,10,8,32,64,-1558,0.1,SUCCESS,1
4,False,40000,zstd,8,2,1,2,11,10,4,2,524288,-852,0.1,SUCCESS,1
32768,True,200000,snappy,32,512,36,128,3,4,1,16,16384,-4300,0.1,SUCCESS,1
262144,True,240000,zstd,1,1024,4,32,0,4,16,8,33554432,-2758,0.1,SUCCESS,1
65536,True,40000,lz4,128,256,2,8,3,0,32,2,2097152,-635,0.1,SUCCESS,1
131072,True,40000,snappy,4,4,8,4,1,6,128,1,64,-2510,0.1,SUCCESS,1
2048,True,200000,snappy,16,512,128,32,10,7,4,32,128,-2255,0.1,SUCCESS,1
8192,False,160000,zstd,32,2,1,-1,0,2,64,1,128,-3157,0.1,SUCCESS,1
131072,False,360000,zstd,128,20,36,8,2,5,2,32,1048576,-979,0.1,SUCCESS,1
262144,True,240000,snappy,16,64,1024,64,4,4,16,8,131072,-3185,0.1,SUCCESS,1
128,False,120000,lz4,128,8,2,128,7,8,2,16,128,-1217,0.1,SUCCESS,1
64,True,280000,lz4,2,8,8,64,0,4,64,1,64,-49,0.1,SUCCESS,1
64,True,280000,snappy,2,8,2,8,5,2,2,16,2097152,-54,0.1,SUCCESS,1
65536,False,120000,lz4,2,64,64,256,7,10,16,8,134217728,-6560,0.1,SUCCESS,1
128,True,0,zstd,8,512,512,8,7,3,64,2,32768,-61,0.1,SUCCESS,1
32768,True,400000,zstd,32,20,256,1,5,3,4,1,1024,-3978,0.1,SUCCESS,1
128,False,40000,lz4,8,256,2,2,7,9,16,1,512,-1023,0.1,SUCCESS,1
2048,False,0,zstd,64,2,2,16,5,8,2,4,536870912,-1013,0.1,SUCCESS,1
2048,True,400000,zstd,128,2,256,64,8,0,4,2,1,-3691,0.1,SUCCESS,1
16384,False,40000,lz4,16,0,36,16,1,2,8,2,268435456,-912,0.1,SUCCESS,1
32768,False,360000,zstd,4,20,32,-1,3,5,2,2,4,-2044,0.1,SUCCESS,1
4096,True,40000,snappy,16,1,36,-1,3,1,2,2,67108864,-1018,0.1,SUCCESS,1
32768,True,360000,lz4,32,16,36,16,7,6,4,8,512,-6005,0.1,SUCCESS,1
65536,False,240000,zstd,4,32,256,1,7,9,16,2,4194304,-5280,0.1,SUCCESS,1
128,True,40000,lz4,1,4,36,256,8,7,4,32,1073741824,-98,0.1,SUCCESS,1
1024,True,240000,snappy,256,256,1024,32,3,10,128,16,16,-2729,0.1,SUCCESS,1
4096,False,200000,lz4,1,1,256,2,4,6,128,4,33554432,-10650,0.1,SUCCESS,1
2048,False,0,lz4,4,16,256,8,6,9,32,32,2097152,-6467,0.1,SUCCESS,1
16384,False,280000,lz4,256,4,128,256,0,5,16,1,4,-3552,0.1,SUCCESS,1
16,True,400000,snappy,32,20,1,64,5,0,1,8,1048576,-53,0.1,SUCCESS,1
8192,True,360000,zstd,4,256,1,256,4,5,32,16,65536,-5545,0.1,SUCCESS,1
16384,False,160000,snappy,16,1024,2,4,7,4,64,16,4,-6182,0.1,SUCCESS,1
32,False,80000,snappy,128,4,1,8,5,1,4,8,2097152,-177,0.1,SUCCESS,1
2048,True,360000,snappy,16,0,8,256,10,7,32,8,2048,-3756,0.1,SUCCESS,1
16,False,240000,lz4,128,4,512,64,4,10,8,1,64,-886,0.1,SUCCESS,1
65536,True,360000,zstd,256,128,512,16,7,9,32,8,262144,-690,0.1,SUCCESS,1
4,False,80000,lz4,128,256,4,4,0,6,1,1,33554432,-566,0.1,SUCCESS,1
1024,False,0,zstd,2,1,36,2,5,2,16,1,16777216,-4850,0.1,SUCCESS,1
64,False,120000,zstd,32,16,4,64,8,1,16,2,4,-945,0.1,SUCCESS,1
64,False,200000,lz4,128,8,36,64,9,7,2,2,1048576,-96,0.1,SUCCESS,1
65536,True,40000,snappy,32,64,128,2,11,8,32,4,128,-5542,0.1,SUCCESS,1
2048,True,320000,zstd,256,512,36,64,1,2,8,4,4,-4285,0.1,SUCCESS,1
32,False,360000,zstd,1,16,256,-1,6,10,8,4,131072,-874,0.1,SUCCESS,1
1,False,280000,zstd,16,4,64,1,7,9,128,16,32768,-1035,0.1,SUCCESS,1
32768,False,0,snappy,64,20,64,32,5,10,4,4,268435456,-795,0.1,SUCCESS,1
32768,False,0,lz4,2,1024,2,32,7,6,32,16,4096,-4515,0.1,SUCCESS,1
128,False,320000,lz4,1,8,2,-1,5,9,16,8,16,-680,0.1,SUCCESS,1
256,True,280000,snappy,64,8,256,128,4,2,16,32,64,-81,0.1,SUCCESS,1
32768,False,240000,lz4,256,256,32,128,7,0,4,8,256,-4430,0.1,SUCCESS,1
131072,True,40000,snappy,8,64,2,2,4,1,1,16,64,-2822,0.1,SUCCESS,1
4,True,80000,lz4,128,1,2,32,4,2,128,2,33554432,-95,0.1,SUCCESS,1
128,False,200000,lz4,2,128,1024,64,6,0,128,32,134217728,-1899,0.1,SUCCESS,1
4,True,400000,lz4,256,128,4,16,10,5,128,4,8192,-58,0.1,SUCCESS,1
1,False,280000,lz4,32,2,2,32,6,1,128,32,65536,-1472,0.1,SUCCESS,1
512,False,240000,snappy,64,1,512,2,3,1,128,1,1048576,-383,0.1,SUCCESS,1
