block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,time,status,seed
4096,False,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-135335,0.1,SUCCESS,1
2048,True,40000,zstd,2,0,512,64,1,5,16,1,8,-1943,0.1,SUCCESS,1
4096,True,200000,lz4,32,8,128,32,2,6,32,4,131072,-18016,0.1,SUCCESS,1
1024,False,120000,snappy,1,16,4,64,0,4,16,32,524288,-106132,0.1,SUCCESS,1
1024,True,160000,lz4,8,8,64,4,2,10,128,1,262144,-4179,0.1,SUCCESS,1
8,False,280000,snappy,128,2,16,1,5,5,4,4,1,-16449,0.1,SUCCESS,1
16384,True,160000,snappy,8,0,1,-1,5,4,1,8,4,-12362,0.1,SUCCESS,1
1024,True,200000,snappy,2,64,4,256,0,2,8,4,536870912,-4957,0.1,SUCCESS,1
4,False,160000,snappy,16,256,1,256,11,6,64,2,32768,-28910,0.1,SUCCESS,1
64,True,160000,zstd,128,32,2,2,6,0,128,1,2048,-280,0.1,SUCCESS,1
64,False,40000,zstd,64,1,128,2,10,5,16,1,8388608,-32123,0.1,SUCCESS,1
4,False,360000,snappy,256,4,128,2,6,8,64,16,16,-19534,0.1,SUCCESS,1
8192,True,240000,snappy,256,1,256,-1,7,10,128,4,8388608,-9666,0.1,SUCCESS,1
512,True,0,snappy,32,64,128,128,4,3,32,8,32,-1965,0.1,SUCCESS,1
8,False,160000,snappy,128,20,512,128,5,5,4,32,256,-14779,0.1,SUCCESS,1
8192,False,40000,lz4,8,0,256,16,6,2,8,4,4096,-42286,0.1,SUCCESS,1
16,True,160000,zstd,32,1,8,128,0,1,1,4,2097152,-418,0.1,SUCCESS,1
8192,False,40000,zstd,8,512,36,4,6,6,1,16,16,-34137,0.1,SUCCESS,1
16,False,160000,zstd,32,64,8,-1,4,0,4,4,33554432,-83695,0.1,SUCCESS,1
131072,True,320000,lz4,8,256,36,256,10,10,4,4,32,-15999,0.1,SUCCESS,1
256,True,360000,lz4,4,512,32,64,0,3,1,16,4194304,-2430,0.1,SUCCESS,1
8,True,280000,snappy,2,256,1024,8,8,7,16,4,8,-617,0.1,SUCCESS,1
64,False,120000,snappy,256,2,128,128,1,10,4,8,4,-9229,0.1,SUCCESS,1
