block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-103190,958231
8192,false,280000,zstd,16,8,32,4,2,13,32,32,2048,-26048,1927349
128,true,0,zstd,1,20,4,32,9,12,1,32,16,-479,3007500
128,true,160000,lz4,32,1024,32,1,3,8,4,2,16384,-1201,4032123
4,true,0,snappy,64,128,512,16,9,10,64,16,4096,-1034,5027621
4,true,400000,lz4,1,4,1,1,1,6,16,1,1048576,-1040,6031941
1024,true,120000,zstd,256,8,32,-1,3,9,2,4,1048576,-5356,7004107
32768,false,80000,lz4,2,4,128,8,8,14,64,4,16777216,-84496,7960591
4,true,360000,snappy,16,256,256,2,9,13,8,8,134217728,-1664,8942223
1,false,280000,zstd,8,1024,64,4,-1,12,2,2,4194304,-30441,9912678
1024,false,240000,lz4,1,256,16,8,7,11,16,1,536870912,-135777,10871524
262144,true,200000,lz4,1,256,128,1,0,7,4,32,32,-5638,11845365
4096,false,200000,zstd,8,4,32,4,5,14,32,32,16,-22882,12817655
256,true,280000,snappy,256,64,64,128,-1,6,8,1,128,-1570,13801284
256,false,80000,snappy,16,128,512,32,3,10,8,1,16777216,-56962,14762520
4096,false,120000,zstd,2,0,2,4,3,13,128,2,134217728,-93994,15722339
32,false,40000,snappy,1,256,2,256,8,12,2,1,67108864,-93460,16683369
1,false,400000,snappy,4,256,1,64,3,5,32,8,1073741824,-116638,17643544
1,false,280000,lz4,4,16,512,16,6,14,128,8,536870912,-113213,18603894
4,true,280000,zstd,2,20,16,8,6,11,1,8,536870912,-714,19617942
1,false,240000,zstd,4,256,16,4,5,7,8,2,536870912,-118521,20634950
128,false,280000,lz4,4,8,64,1,2,6,1,32,536870912,-118077,21595783
1024,false,240000,zstd,1,256,16,8,7,11,16,1,536870912,-121809,22556273
1024,false,360000,snappy,1,512,36,256,8,8,1,1,536870912,-133878,23516624
262144,false,320000,zstd,1,256,4,16,9,5,16,1,33554432,-15178,24479408
1024,false,280000,snappy,1,4,8,32,9,8,8,1,1073741824,-137022,25437877
512,false,280000,snappy,256,256,4,256,7,14,2,1,536870912,-119551,26396954
524288,false,200000,snappy,1,0,1,16,5,6,128,2,1073741824,-40649,27356316
65536,true,80000,zstd,256,2,512,-1,7,14,128,16,512,-3097,28364709
1024,false,280000,snappy,32,4,512,128,3,8,16,2,536870912,-122167,29323050
1024,false,400000,snappy,1,4,64,256,9,6,4,8,536870912,-131594,30283020
8192,false,360000,snappy,1,16,8,2,10,5,128,2,536870912,-131209,31240723
8192,false,280000,snappy,1,256,8,16,6,10,8,2,536870912,-126827,32199346
2048,false,240000,snappy,1,1,4,4,8,7,8,32,1073741824,-132723,33158597
16384,false,240000,snappy,1,128,128,32,9,8,2,1,1073741824,-128568,34117914
128,true,40000,zstd,64,20,4,16,6,5,2,4,16777216,-698,35148067
65536,false,240000,snappy,1,128,36,32,9,8,2,1,1073741824,-102130,36107518
4,false,240000,snappy,1,0,4,256,8,8,4,16,536870912,-131367,37069283
2048,false,360000,lz4,8,256,4,16,8,11,8,2,536870912,-118883,38028637
2048,false,240000,zstd,1,4,8,2,10,5,128,1,1073741824,-124181,38987164
512,false,400000,zstd,2,1,4,-1,8,6,4,32,536870912,-128620,39949298
1024,false,280000,zstd,2,8,8,128,9,7,8,8,67108864,-99592,40910856
4096,false,360000,snappy,1,0,4,-1,3,12,8,1,1073741824,-139259,41870661
4096,false,400000,snappy,1,4,1,-1,7,13,8,8,1073741824,-138659,42829654
16,false,40000,snappy,1,1,512,-1,0,12,4,8,1073741824,-131222,43791523
131072,false,400000,snappy,2,2,8,16,2,12,8,2,1073741824,-95203,44750493
1,false,200000,snappy,1,0,4,-1,0,14,8,2,1073741824,-128624,45711567
128,true,360000,snappy,64,1,256,128,3,14,4,1,512,-843,46722264
32,false,360000,snappy,1,2,36,-1,7,14,8,1,134217728,-111940,47682721
4096,false,360000,snappy,1,0,1,-1,3,12,16,1,1073741824,-133694,48641006
8192,true,400000,snappy,16,512,512,16,7,13,2,32,512,-20950,49609165
65536,false,120000,lz4,2,8,64,128,5,5,32,4,262144,-29643,50574361
512,false,120000,snappy,2,1,1024,8,8,7,2,2,1,-524,51654912
4096,false,160000,lz4,1,64,1,-1,-1,12,8,32,1073741824,-131748,52614470
4,false,360000,snappy,1,8,2,64,10,10,4,1,1073741824,-135911,53573093
128,false,360000,snappy,1,2,1024,4,3,11,4,1,1073741824,-135632,54535493
