block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-135794,957694
4096,true,240000,lz4,4,128,4,16,0,4,2,2,2048,-22498,1924914
131072,true,120000,lz4,2,20,36,256,8,5,1,4,262144,-20671,2890791
64,true,360000,lz4,1,256,36,-1,2,4,8,32,536870912,-1741,3902877
32768,true,80000,lz4,128,32,64,256,8,0,4,1,512,-11644,4875211
1024,true,280000,lz4,2,64,128,2,1,9,16,2,16777216,-5782,5842748
262144,true,0,lz4,2,512,256,8,1,1,128,32,524288,-30477,6803703
1,true,80000,lz4,64,0,2,2,3,9,32,8,524288,-687,7821398
65536,true,320000,lz4,128,20,4,256,0,3,128,4,32,-5412,8806246
4096,true,360000,lz4,16,4,512,-1,6,5,4,2,1024,-17050,9775354
32,true,200000,lz4,64,8,1,2,7,8,1,8,33554432,-1148,10776069
512,true,0,lz4,256,20,32,8,8,10,1,2,262144,-2198,11768085
128,true,240000,lz4,2,8,8,-1,1,4,1,8,4096,-529,12852488
16,true,80000,lz4,128,128,32,1,3,10,1,32,1,-685,13889529
131072,true,320000,lz4,128,1024,1024,2,1,4,1,1,67108864,-9785,14854283
512,true,120000,lz4,32,128,16,4,10,7,128,1,1024,-2028,15842060
256,true,200000,lz4,16,32,36,8,3,2,128,1,33554432,-2095,16823631
1,true,280000,lz4,128,8,4,4,8,0,2,4,131072,-693,17848062
65536,true,40000,lz4,256,32,16,8,7,0,8,2,8192,-4155,18841049
16,true,40000,lz4,256,1,1024,128,1,8,64,2,536870912,-1162,19824572
4096,true,360000,lz4,64,64,1,32,7,6,8,1,32,-14523,20794057
2048,true,40000,lz4,256,8,512,4,7,4,8,4,16777216,-10192,21755574
524288,true,120000,zstd,256,1,1,-1,9,7,64,16,8,-2260,22755335
8192,true,200000,zstd,4,2,1,4,9,3,128,8,32,-8017,23732415
128,true,200000,zstd,32,2,8,32,1,10,1,2,16384,-284,24822973
128,true,400000,zstd,1,20,256,256,2,10,8,16,1073741824,-390,25874354
128,true,80000,zstd,64,64,128,32,9,1,64,4,32,-285,26961190
8,true,40000,zstd,32,0,1024,2,5,5,2,4,8388608,-383,28029764
64,true,200000,zstd,256,16,128,32,10,5,16,1,67108864,-412,29027536
262144,true,280000,zstd,2,4,2,64,9,5,16,32,1,-5203,30004479
524288,true,360000,zstd,256,1,36,4,10,0,16,4,4,-1599,31013208
32,true,80000,zstd,4,4,16,64,0,9,128,2,8,-279,32122656
524288,true,80000,zstd,8,4,256,8,5,1,32,8,134217728,-4340,33093820
524288,true,280000,zstd,128,64,1,16,4,9,8,32,512,-1686,34113622
16384,true,320000,zstd,2,256,8,2,5,9,2,32,4096,-17066,35082264
8192,true,0,zstd,1,32,8,4,6,3,128,16,256,-10679,36053284
256,true,400000,zstd,256,1024,32,4,1,7,2,4,8,-604,37083474
524288,true,400000,zstd,2,512,256,4,3,3,2,32,131072,-3169,38059765
131072,true,200000,zstd,32,20,128,8,2,10,2,16,8388608,-2677,39029872
65536,true,80000,zstd,16,4,16,-1,9,0,128,2,131072,-12258,40002824
65536,true,320000,zstd,4,256,256,1,7,1,1,8,134217728,-9281,40967593
1,true,200000,zstd,128,128,1,128,11,8,4,8,1048576,-654,42059949
2048,true,40000,zstd,16,1024,256,256,10,7,64,8,16,-2547,43039452
4096,true,80000,snappy,1,0,64,32,2,2,4,8,4,-5022,44016095
1024,true,40000,snappy,256,128,128,8,9,1,128,4,512,-3178,44996048
16,true,80000,snappy,32,1,256,1,11,7,32,16,67108864,-922,45989871
8192,true,40000,snappy,256,20,4,4,7,4,1,4,128,-6095,46967011
4096,true,0,snappy,32,32,256,128,3,6,1,8,16384,-11008,47947267
524288,true,240000,snappy,4,2,8,128,1,1,128,16,8192,-9195,48917715
2048,true,360000,snappy,2,2,64,128,7,9,32,4,67108864,-8258,49881547
8192,true,400000,snappy,1,8,64,8,2,10,1,32,2097152,-32284,50839596
128,true,120000,snappy,32,16,36,2,10,1,64,4,4096,-588,51877136
16384,true,160000,snappy,64,512,16,2,11,10,128,8,128,-12736,52848808
65536,true,400000,snappy,4,4,512,16,6,5,128,16,65536,-44372,53816605
32,true,240000,snappy,8,16,36,2,11,0,16,4,2048,-575,54886620
