block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-13029,964434
1024,true,0,snappy,16,20,512,16,0,15,4,32,16384,-1559,1940319
32,false,400000,zstd,4,128,16,4,5,8,32,8,256,-553,2934074
1024,false,360000,lz4,64,8,256,128,5,6,32,16,8388608,-948,3898056
512,false,200000,lz4,4,64,16,8,10,10,32,32,1048576,-3033,4860067
262144,false,320000,snappy,64,0,128,2,8,11,64,32,128,-3729,5834868
512,true,200000,snappy,4,2,32,32,0,6,8,4,131072,-233,6810413
8,false,360000,zstd,8,0,2,2,9,6,4,32,16,-1239,7797636
64,false,0,lz4,32,1024,8,-1,5,11,128,2,134217728,-960,8761166
512,true,320000,zstd,256,32,36,256,1,7,128,8,2097152,-892,9726794
32768,false,0,zstd,16,4,1,64,10,7,2,8,65536,-3644,10703328
32768,true,120000,lz4,256,20,1024,32,9,15,16,8,524288,-900,11669632
128,false,320000,lz4,256,512,128,-1,10,14,128,1,32,-926,12651259
65536,true,400000,zstd,32,1024,1024,64,1,15,64,2,262144,-6372,13617827
4096,true,0,zstd,16,20,32,32,1,6,4,32,65536,-3631,14594362
1024,true,240000,zstd,4,1024,32,2,5,15,32,2,262144,-1818,15565777
16384,false,280000,zstd,8,32,36,2,6,9,128,4,8388608,-9802,16527562
32768,false,240000,lz4,256,1,64,128,0,9,2,1,67108864,-1487,17489654
256,false,240000,snappy,4,2,32,4,-1,9,64,4,8192,-950,18467629
1,true,80000,lz4,2,32,8,1,3,13,64,2,134217728,-64,19444842
65536,false,160000,zstd,128,20,64,-1,0,14,4,2,2048,-4823,20419037
128,false,40000,lz4,256,256,8,64,3,13,2,32,512,-1458,21430684
4096,true,320000,lz4,32,16,512,8,10,15,2,1,256,-2609,22410845
256,false,280000,snappy,16,128,32,2,7,9,4,2,4194304,-2062,23373762
262144,false,40000,zstd,128,512,2,16,9,5,2,1,1024,-3275,24349206
524288,false,360000,zstd,4,16,64,4,-1,8,128,1,256,-1726,25325645
262144,false,160000,zstd,2,256,64,32,9,10,4,16,131072,-3014,26295342
