block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-138707,961913
32,true,160000,snappy,32,1,1024,16,9,14,4,2,64,-652,2051289
32,false,320000,snappy,4,64,16,128,2,11,64,1,1073741824,-124721,3010607
1024,true,0,lz4,64,64,1024,4,0,13,2,2,268435456,-6619,3975670
8192,false,400000,lz4,128,256,8,-1,2,13,64,16,16,-15971,4954987
65536,true,120000,lz4,2,64,8,64,1,7,32,2,128,-35543,5922259
16,true,240000,zstd,2,0,8,8,3,10,8,16,128,-278,7030154
8192,true,360000,zstd,128,256,2,8,1,15,128,2,131072,-4937,8010338
16384,false,320000,snappy,256,20,2,8,-1,9,4,32,512,-6746,8994043
4,true,40000,lz4,256,64,2,32,4,8,4,32,65536,-709,10007208
64,false,0,snappy,8,20,2,128,0,14,4,1,524288,-48936,10968614
65536,true,80000,lz4,8,256,1024,256,0,14,4,32,1073741824,-10780,11930289
8192,false,240000,lz4,4,0,2,-1,9,15,1,1,128,-7536,12902622
4,true,80000,zstd,2,1024,36,64,2,11,1,16,16384,-611,14075445
32,false,240000,snappy,1,4,16,32,7,13,16,4,131072,-9926,15046571
4096,true,40000,zstd,2,2,8,256,4,10,8,4,8388608,-5981,16010758
32,true,240000,snappy,4,1,2,1,9,12,1,16,1024,-422,17065661
4,false,200000,snappy,32,8,64,256,1,5,32,32,1073741824,-125964,18027598
4096,false,0,zstd,1,1,8,16,1,6,1,8,64,-1488,19039828
8,true,400000,lz4,128,32,512,4,7,12,64,4,8388608,-1254,20037854
1024,false,120000,zstd,128,16,36,-1,9,6,2,16,2097152,-13782,21029388
512,false,0,snappy,32,64,2,8,10,8,64,8,33554432,-85422,21998768
512,false,80000,lz4,4,0,32,-1,6,7,4,16,524288,-59911,22958585
64,true,40000,lz4,128,2,256,16,2,10,16,4,1024,-686,23988291
256,true,240000,snappy,4,0,16,-1,4,9,8,1,2097152,-1071,25000230
256,true,40000,zstd,32,32,16,256,-1,6,16,2,64,-433,26174729
128,false,280000,snappy,128,1,512,-1,3,7,8,2,64,-15168,27147580
8192,true,40000,snappy,128,4,36,64,10,13,128,4,1024,-7208,28129613
16,false,200000,zstd,8,2,256,8,7,5,1,32,1048576,-11546,29116668
