block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-13893,961950
8192,true,80000,snappy,1,2,4,16,1,10,8,32,64,-1558,1936605
4,false,40000,zstd,8,2,1,2,11,10,4,2,524288,-852,2904136
32768,true,200000,snappy,32,512,36,128,3,4,1,16,16384,-4300,3880805
262144,true,240000,zstd,1,1024,4,32,0,4,16,8,33554432,-2758,4842263
65536,true,40000,lz4,128,256,2,8,3,0,32,2,2097152,-635,5804223
131072,true,40000,snappy,4,4,8,4,1,6,128,1,64,-2510,6781379
2048,true,200000,snappy,16,512,128,32,10,7,4,32,128,-2255,7756246
8192,false,160000,zstd,32,2,1,-1,0,2,64,1,128,-3157,8732661
131072,false,360000,zstd,128,20,36,8,2,5,2,32,1048576,-979,9695029
262144,true,240000,snappy,16,64,1024,64,4,4,16,8,131072,-3185,10663479
128,false,120000,lz4,128,8,2,128,7,8,2,16,128,-1217,11641201
64,true,280000,lz4,2,8,8,64,0,4,64,1,64,-49,12662964
64,true,280000,snappy,2,8,2,8,5,2,2,16,2097152,-54,13658877
65536,false,120000,lz4,2,64,64,256,7,10,16,8,134217728,-6560,14619722
128,true,0,zstd,8,512,512,8,7,3,64,2,32768,-61,15635089
32768,true,400000,zstd,32,20,256,1,5,3,4,1,1024,-3978,16612207
128,false,40000,lz4,8,256,2,2,7,9,16,1,512,-1023,17589992
2048,false,0,zstd,64,2,2,16,5,8,2,4,536870912,-1013,18552689
2048,true,400000,zstd,128,2,256,64,8,0,4,2,1,-3691,19531152
16384,false,40000,lz4,16,0,36,16,1,2,8,2,268435456,-912,20494574
32768,false,360000,zstd,4,20,32,-1,3,5,2,2,4,-2044,21471242
4096,true,40000,snappy,16,1,36,-1,3,1,2,2,67108864,-1018,22432425
32768,true,360000,lz4,32,16,36,16,7,6,4,8,512,-6005,23405615
65536,false,240000,zstd,4,32,256,1,7,9,16,2,4194304,-5280,24367002
128,true,40000,lz4,1,4,36,256,8,7,4,32,1073741824,-98,25341121
1024,true,240000,snappy,256,256,1024,32,3,10,128,16,16,-2729,26317150
4096,false,200000,lz4,1,1,256,2,4,6,128,4,33554432,-10650,27277686
2048,false,0,lz4,4,16,256,8,6,9,32,32,2097152,-6467,28241812
16384,false,280000,lz4,256,4,128,256,0,5,16,1,4,-3552,29216357
16,true,400000,snappy,32,20,1,64,5,0,1,8,1048576,-53,30187823
8192,true,360000,zstd,4,256,1,256,4,5,32,16,65536,-5545,31164332
16384,false,160000,snappy,16,1024,2,4,7,4,64,16,4,-6182,32138559
32,false,80000,snappy,128,4,1,8,5,1,4,8,2097152,-177,33107085
2048,true,360000,snappy,16,0,8,256,10,7,32,8,2048,-3756,34081469
16,false,240000,lz4,128,4,512,64,4,10,8,1,64,-886,35061962
65536,true,360000,zstd,256,128,512,16,7,9,32,8,262144,-690,36026812
4,false,80000,lz4,128,256,4,4,0,6,1,1,33554432,-566,36990772
1024,false,0,zstd,2,1,36,2,5,2,16,1,16777216,-4850,37953431
64,false,120000,zstd,32,16,4,64,8,1,16,2,4,-945,38935096
64,false,200000,lz4,128,8,36,64,9,7,2,2,1048576,-96,39906279
65536,true,40000,snappy,32,64,128,2,11,8,32,4,128,-5542,40879761
2048,true,320000,zstd,256,512,36,64,1,2,8,4,4,-4285,41857635
32,false,360000,zstd,1,16,256,-1,6,10,8,4,131072,-874,42843414
1,false,280000,zstd,16,4,64,1,7,9,128,16,32768,-1035,43825346
32768,false,0,snappy,64,20,64,32,5,10,4,4,268435456,-795,44788488
32768,false,0,lz4,2,1024,2,32,7,6,32,16,4096,-4515,45764095
128,false,320000,lz4,1,8,2,-1,5,9,16,8,16,-680,46747573
256,true,280000,snappy,64,8,256,128,4,2,16,32,64,-81,47744239
32768,false,240000,lz4,256,256,32,128,7,0,4,8,256,-4430,48718384
131072,true,40000,snappy,8,64,2,2,4,1,1,16,64,-2822,49694337
4,true,80000,lz4,128,1,2,32,4,2,128,2,33554432,-95,50666855
128,false,200000,lz4,2,128,1024,64,6,0,128,32,134217728,-1899,51629342
4,true,400000,lz4,256,128,4,16,10,5,128,4,8192,-58,52642147
1,false,280000,lz4,32,2,2,32,6,1,128,32,65536,-1472,53621560
512,false,240000,snappy,64,1,512,2,3,1,128,1,1048576,-383,54587995
32,true,360000,zstd,32,64,512,1,5,8,32,32,134217728,-56,55569512
16384,false,160000,lz4,256,4,256,-1,8,9,32,16,4,-5683,56545691
32,false,160000,zstd,128,8,8,4,9,8,16,32,134217728,-784,57511210
16,false,160000,lz4,2,0,64,32,11,1,64,16,256,-1222,58490534
65536,false,200000,snappy,1,16,128,2,4,8,1,8,8192,-899,59469252
512,true,360000,snappy,2,2,64,4,8,3,8,2,1024,-171,60455411
2048,false,240000,snappy,32,256,8,16,4,0,8,2,1,-2101,61434624
4096,false,0,lz4,8,20,64,1,2,8,8,2,128,-1986,62409304
64,true,200000,lz4,8,1024,1024,4,11,0,8,8,33554432,-111,63387824
1024,false,0,snappy,16,1024,4,-1,7,2,8,1,16777216,-700,64352593
8,true,320000,snappy,1,20,1024,32,0,5,128,16,8,-44,65347458
262144,false,160000,zstd,8,1024,256,-1,1,5,128,2,134217728,-1061,66309647
16,false,200000,snappy,2,1,4,128,11,7,4,2,16384,-873,67290823
16,false,40000,snappy,64,256,2,-1,3,0,128,4,268435456,-695,68256033
524288,true,160000,lz4,16,8,1024,256,10,10,128,2,67108864,-1135,69218108
8192,false,160000,zstd,64,20,2,128,1,9,2,16,8,-4645,70194305
512,false,160000,lz4,2,4,256,8,7,2,8,16,16777216,-2938,71155179
64,true,40000,lz4,2,1,36,-1,1,9,2,32,33554432,-64,72154078
32,false,80000,lz4,32,128,256,256,6,3,32,32,65536,-632,73136782
8192,true,360000,snappy,16,32,1024,-1,2,3,16,2,8192,-3088,74114016
16,false,0,snappy,128,32,36,4,1,0,32,8,512,-1481,75099598
16384,false,360000,zstd,8,512,1,32,8,8,2,8,33554432,-1083,76061925
32,false,160000,zstd,256,128,512,2,1,7,16,4,512,-1034,77044402
512,false,200000,lz4,64,0,4,16,4,9,8,4,4,-1581,78020700
65536,true,80000,snappy,2,8,36,4,6,0,8,8,1024,-4650,78995796
32768,true,0,lz4,32,8,36,-1,10,8,8,32,268435456,-1195,79957599
1,false,360000,snappy,256,16,16,-1,3,2,128,8,2097152,-128,80927646
1024,true,40000,snappy,16,256,2,64,11,2,128,1,268435456,-513,81890084
524288,false,80000,zstd,1,2,64,128,10,9,8,2,32,-1111,82869148
32768,true,0,lz4,16,16,512,1,5,7,16,8,4096,-6164,83843895
65536,true,240000,lz4,16,128,1024,8,5,5,2,8,64,-3867,84817720
64,false,280000,zstd,1,64,8,2,0,3,2,4,4,-376,85810647
8,false,360000,zstd,1,20,16,-1,1,0,1,32,64,-811,86791070
512,false,40000,lz4,32,32,4,32,9,10,128,2,2048,-1612,87767194
512,true,320000,zstd,64,128,512,32,9,5,2,2,4194304,-598,88734019
262144,false,360000,lz4,128,32,32,2,1,3,8,4,4096,-3361,89708077
1024,false,280000,zstd,1,20,128,256,4,1,64,1,2048,-955,90688096
4,true,280000,snappy,64,8,64,1,11,8,8,16,33554432,-85,91664010
4096,false,280000,lz4,16,256,256,128,2,3,64,32,2048,-6119,92640521
1024,true,0,lz4,128,4,36,64,9,0,8,4,8,-2884,93615808
1024,true,40000,zstd,1,1,64,2,0,6,8,16,1048576,-2398,94579987
32,true,120000,zstd,2,0,1,2,7,7,8,4,16384,-36,95580372
16384,false,0,lz4,1,1024,1024,16,4,4,32,2,4096,-1021,96556291
8192,true,120000,zstd,256,512,512,256,4,7,1,4,4,-3556,97536743
4096,false,160000,lz4,8,16,16,64,8,1,1,8,536870912,-1004,98500385
4096,false,280000,lz4,256,20,256,64,0,3,128,2,1073741824,-1082,99464387
16,true,320000,zstd,1,8,16,16,7,4,64,16,8388608,-41,100489788
