block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-136410,957014
512,true,0,snappy,32,20,36,256,-1,10,2,1,8192,-1764,1964487
65536,false,0,snappy,2,20,36,-1,-1,10,2,1,2097152,-35150,2925899
8,false,0,snappy,64,20,36,32,-1,10,2,1,256,-18956,3903761
131072,false,0,snappy,4,20,36,4,-1,10,2,1,32,-15529,4907657
4,true,0,snappy,128,20,36,4,-1,10,2,1,2048,-578,5984239
2048,true,0,snappy,256,20,36,2,-1,10,2,1,131072,-4357,6981047
1,true,0,snappy,4,20,36,-1,-1,10,2,1,16777216,-1685,8042233
4096,false,0,snappy,64,20,36,-1,-1,10,2,1,134217728,-106907,9003137
4096,false,0,snappy,64,20,36,1,-1,10,2,1,67108864,-92809,9964515
1,true,0,snappy,2,20,36,64,-1,10,2,1,67108864,-1556,11025604
4096,false,0,snappy,64,20,36,2,-1,10,2,1,67108864,-92396,11985100
4096,false,0,snappy,64,20,36,2,-1,10,2,1,16777216,-47379,12946429
4096,true,0,snappy,2,20,36,-1,-1,10,2,1,134217728,-16689,13910917
65536,false,0,snappy,256,20,36,-1,-1,10,2,1,67108864,-49587,14879249
1,false,0,snappy,1,20,36,-1,-1,10,2,1,67108864,-154012,15840835
4,false,0,snappy,2,20,36,2,-1,10,2,1,67108864,-147952,16803956
1,false,0,snappy,1,20,36,4,-1,10,2,1,67108864,-154967,17764538
1,false,0,snappy,2,20,36,4,-1,10,2,1,33554432,-124688,18724296
1,false,0,snappy,1,20,36,32,-1,10,2,1,67108864,-157042,19686689
1,false,0,snappy,1,20,36,64,-1,10,2,1,134217728,-179361,20650499
1,false,0,snappy,2,20,36,64,-1,10,2,1,67108864,-146979,21613380
1,false,0,snappy,1,20,36,128,-1,10,2,1,1073741824,-242465,22575473
8,false,0,snappy,1,20,36,256,-1,10,2,1,1073741824,-245620,23538466
8,true,0,snappy,1,20,36,256,-1,10,2,1,1073741824,-1532,24604622
8192,false,0,snappy,1,20,36,128,-1,10,2,1,536870912,-207932,25563913
128,false,0,snappy,256,20,36,256,-1,10,2,1,134217728,-132703,26523394
1,false,0,snappy,1,20,36,256,-1,10,2,1,536870912,-226099,27483554
65536,false,0,snappy,1,20,36,128,-1,10,2,1,536870912,-126790,28447281
4,false,0,snappy,4,20,36,1,-1,10,2,1,16384,-5352,29486779
8,false,0,snappy,1,20,36,128,-1,10,2,1,1073741824,-243991,30446756
4,false,0,snappy,1,20,36,4,-1,10,2,1,1073741824,-246563,31408808
16384,false,0,snappy,1,20,36,16,-1,10,2,1,1073741824,-194126,32368152
256,false,0,snappy,1,20,36,4,-1,10,2,1,1073741824,-254710,33328897
256,false,0,snappy,1,20,36,2,-1,10,2,1,1073741824,-250269,34290131
128,false,0,snappy,1,20,36,1,-1,10,2,1,1073741824,-248863,35260207
128,false,0,snappy,2,20,36,-1,-1,10,2,1,1073741824,-250203,36219738
256,false,0,snappy,8,20,36,-1,-1,10,2,1,1073741824,-129675,37191887
256,false,0,snappy,2,20,36,-1,-1,10,2,1,1073741824,-251694,38156233
32,true,0,snappy,32,20,36,2,-1,10,2,1,33554432,-839,39179789
4,false,0,snappy,4,20,36,4,-1,10,2,1,1073741824,-125929,40141903
32,false,0,snappy,2,20,36,256,-1,10,2,1,1073741824,-246894,41104542
512,false,0,snappy,2,20,36,128,-1,10,2,1,1073741824,-255640,42067401
1024,false,0,snappy,2,20,36,256,-1,10,2,1,1073741824,-266506,43033103
1,false,0,snappy,2,20,36,16,-1,10,2,1,1073741824,-247978,43994386
2048,false,0,snappy,1,20,36,1,-1,10,2,1,1073741824,-247714,44954933
512,false,0,snappy,2,20,36,-1,-1,10,2,1,1073741824,-259457,45922265
32768,false,0,snappy,2,20,36,256,-1,10,2,1,1073741824,-160838,46882489
16384,true,0,snappy,256,20,36,2,-1,10,2,1,4096,-5696,47862666
2048,false,0,snappy,2,20,36,256,-1,10,2,1,1073741824,-243576,48823729
512,false,0,snappy,2,20,36,-1,-1,10,2,1,536870912,-233725,49781924
4096,false,0,snappy,2,20,36,-1,-1,10,2,1,1073741824,-241380,50742506
4096,false,0,snappy,2,20,36,128,-1,10,2,1,1073741824,-247060,51703272
4096,false,0,snappy,1,20,36,4,-1,10,2,1,268435456,-216713,52661316
64,false,0,snappy,2,20,36,-1,-1,10,2,1,1073741824,-250203,53627627
512,false,0,snappy,1,20,36,256,-1,10,2,1,1073741824,-261967,54591328
512,false,0,snappy,2,20,36,256,-1,10,2,1,1073741824,-260972,55553126
512,false,0,snappy,2,20,36,4,-1,10,2,1,1073741824,-266205,56513438
4096,false,0,snappy,1,20,36,256,-1,10,2,1,1073741824,-244997,57474570
512,false,0,snappy,2,20,36,16,-1,10,2,1,1073741824,-259709,58433216
1024,false,0,snappy,2,20,36,4,-1,10,2,1,1073741824,-263796,59397694
8,false,0,snappy,2,20,36,4,-1,10,2,1,1073741824,-251227,60368545
4,false,0,snappy,2,20,36,-1,-1,10,2,1,1073741824,-256878,61335975
1024,false,0,snappy,2,20,36,16,-1,10,2,1,1073741824,-257367,62300001
4,false,0,snappy,2,20,36,2,-1,10,2,1,1073741824,-251718,63262576
1024,false,0,snappy,2,20,36,64,-1,10,2,1,1073741824,-262329,64232916
1024,false,0,snappy,2,20,36,-1,-1,10,2,1,1073741824,-263696,65195886
1,false,0,snappy,2,20,36,4,-1,10,2,1,1073741824,-250269,66165786
8192,false,0,snappy,2,20,36,256,-1,10,2,1,1073741824,-221759,67125967
512,false,0,snappy,1,20,36,16,-1,10,2,1,1073741824,-262608,68087085
1,false,0,snappy,2,20,36,64,-1,10,2,1,1073741824,-241160,69048057
4,false,0,snappy,2,20,36,-1,-1,10,2,1,536870912,-231906,70006869
32768,true,0,snappy,16,20,36,32,-1,10,2,1,1073741824,-10719,70969834
256,false,0,snappy,1,20,36,16,-1,10,2,1,1073741824,-258858,71933553
32768,false,0,snappy,2,20,36,4,-1,10,2,1,1073741824,-162902,72893795
8,false,0,snappy,2,20,36,256,-1,10,2,1,1073741824,-249318,73856587
128,false,0,snappy,128,20,36,256,-1,10,2,1,1073741824,-129620,74818981
4,false,0,snappy,2,20,36,256,-1,10,2,1,8,-38162,75814316
8192,false,0,snappy,1,20,36,4,-1,10,2,1,1073741824,-233387,76773727
128,false,0,snappy,2,20,36,256,-1,10,2,1,1073741824,-255549,77740976
8,true,0,snappy,8,20,36,8,-1,10,2,1,134217728,-880,78777899
512,false,0,snappy,1,20,36,32,-1,10,2,1,1073741824,-262053,79741588
65536,false,0,snappy,2,20,36,64,-1,10,2,1,1073741824,-128421,80701707
1024,false,0,snappy,2,20,36,8,-1,10,2,1,1073741824,-258879,81665897
256,false,0,snappy,2,20,36,256,-1,10,2,1,1073741824,-255410,82647671
512,false,0,snappy,1,20,36,32,-1,10,2,1,268435456,-223490,83616564
1024,false,0,snappy,1,20,36,64,-1,10,2,1,1073741824,-259191,84576980
512,false,0,snappy,8,20,36,256,-1,10,2,1,268435456,-120257,85537775
4,false,0,snappy,2,20,36,2,-1,10,2,1,268435456,-198889,86504159
128,true,0,snappy,2,20,36,8,-1,10,2,1,8192,-485,87568377
16384,false,0,snappy,1,20,36,1,-1,10,2,1,536870912,-173438,88527886
512,false,0,snappy,2,20,36,256,-1,10,2,1,536870912,-234013,89497232
512,false,0,snappy,2,20,36,64,-1,10,2,1,1073741824,-260350,90460077
1,false,0,snappy,2,20,36,1,-1,10,2,1,1073741824,-252280,91421011
2048,false,0,snappy,2,20,36,4,-1,10,2,1,1073741824,-256720,92396972
32,true,0,snappy,64,20,36,256,-1,10,2,1,1,-575,93477969
32,false,0,snappy,128,20,36,32,-1,10,2,1,16,-15854,94495671
128,false,0,snappy,1,20,36,256,-1,10,2,1,1073741824,-254384,95463608
1024,false,0,snappy,1,20,36,32,-1,10,2,1,1073741824,-259770,96430039
1024,false,0,snappy,2,20,36,2,-1,10,2,1,1073741824,-262021,97390492
512,false,0,snappy,2,20,36,2,-1,10,2,1,1073741824,-256196,98362112
1,false,0,snappy,2,20,36,-1,-1,10,2,1,1073741824,-247992,99322874
1024,false,0,snappy,1,20,36,-1,-1,10,2,1,536870912,-249172,100288678
512,false,0,snappy,2,20,36,32,-1,10,2,1,1073741824,-260083,101246884
1024,false,0,snappy,2,20,36,128,-1,10,2,1,1073741824,-257803,102208284
2048,false,0,snappy,2,20,36,64,-1,10,2,1,1073741824,-241978,103169213
1024,false,0,snappy,1,20,36,-1,-1,10,2,1,1073741824,-261539,104137364
16384,false,0,snappy,1,20,36,-1,-1,10,2,1,268435456,-166546,105099145
65536,true,0,snappy,128,20,36,1,-1,10,2,1,536870912,-10283,106062739
8,false,0,snappy,2,20,36,256,-1,10,2,1,268435456,-198420,107027195
256,false,0,snappy,1,20,36,-1,-1,10,2,1,1073741824,-250458,107988483
4096,false,0,snappy,2,20,36,4,-1,10,2,1,1073741824,-235888,108950154
4096,false,0,snappy,4,20,36,64,-1,10,2,1,536870912,-124992,109909138
4,false,0,snappy,2,20,36,256,-1,10,2,1,1073741824,-253141,110870264
2048,false,0,snappy,2,20,36,-1,-1,10,2,1,1073741824,-254207,111834812
128,false,0,snappy,2,20,36,16,-1,10,2,1,1073741824,-251248,112799094
4096,false,0,snappy,2,20,36,64,-1,10,2,1,1073741824,-247512,113758792
32,false,0,snappy,256,20,36,64,-1,10,2,1,16777216,-50873,114722800
64,false,0,snappy,2,20,36,128,-1,10,2,1,536870912,-222336,115683700
256,false,0,snappy,1,20,36,16,-1,10,2,1,536870912,-241279,116644907
512,true,0,snappy,2,20,36,4,-1,10,2,1,1073741824,-2906,117627643
1024,false,0,snappy,1,20,36,64,-1,10,2,1,536870912,-241460,118589024
262144,true,0,snappy,32,20,36,-1,-1,10,2,1,4,-16773,119563369
256,false,0,snappy,1,20,36,256,-1,10,2,1,1073741824,-260161,120543714
4,false,0,snappy,2,20,36,32,-1,10,2,1,1073741824,-249777,121506098
512,false,0,snappy,1,20,36,64,-1,10,2,1,1073741824,-255554,122466204
2048,false,0,snappy,1,20,36,32,-1,10,2,1,536870912,-236105,123427598
1024,false,0,snappy,4,20,36,64,-1,10,2,1,1073741824,-126015,124388683
512,false,0,snappy,1,20,36,-1,-1,10,2,1,1073741824,-258561,125355993
4096,false,0,snappy,1,20,36,-1,-1,10,2,1,536870912,-221337,126314141
16384,false,0,snappy,256,20,36,64,-1,10,2,1,4194304,-16597,127276731
16,false,0,snappy,1,20,36,256,-1,10,2,1,1073741824,-243717,128238600
1,false,0,snappy,1,20,36,4,-1,10,2,1,1073741824,-247752,129199564
128,true,0,snappy,1,20,36,-1,-1,10,2,1,536870912,-1461,130271488
64,false,0,snappy,1,20,36,256,-1,10,2,1,1073741824,-243710,131233661
8,false,0,snappy,1,20,36,32,-1,10,2,1,1073741824,-255468,132212219
1,false,0,snappy,2,20,36,256,-1,10,2,1,1073741824,-255703,133177848
1024,false,0,snappy,1,20,36,16,-1,10,2,1,1073741824,-269187,134136687
2048,false,0,snappy,1,20,36,16,-1,10,2,1,1073741824,-248068,135099607
4096,false,0,snappy,2,20,36,64,-1,10,2,1,536870912,-205669,136068035
1024,false,0,snappy,1,20,36,8,-1,10,2,1,1073741824,-264107,137031141
4,false,0,snappy,1,20,36,-1,-1,10,2,1,1073741824,-256114,137999366
256,false,0,snappy,2,20,36,1,-1,10,2,1,1073741824,-266050,138965447
8,false,0,snappy,2,20,36,2,-1,10,2,1,1073741824,-263731,139939877
2048,false,0,snappy,1,20,36,64,-1,10,2,1,1073741824,-247547,140900018
128,false,0,snappy,2,20,36,64,-1,10,2,1,1073741824,-254421,141869111
4,false,0,snappy,1,20,36,8,-1,10,2,1,268435456,-203811,142828962
2048,false,0,snappy,1,20,36,4,-1,10,2,1,16777216,-137367,143790690
