block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-136672,956534
65536,true,160000,snappy,64,2,512,8,0,15,16,4,128,-10922,1935194
128,false,320000,snappy,4,16,32,8,0,7,16,32,1024,-50814,2903719
262144,true,80000,zstd,8,256,2,64,7,8,2,1,8,-3422,3896934
524288,true,320000,lz4,256,256,32,-1,6,10,128,2,65536,-2698,4897735
64,false,80000,lz4,256,20,36,2,3,7,32,32,134217728,-117398,5857714
16,true,160000,zstd,256,16,4,16,6,9,1,16,32768,-505,6888912
256,true,0,lz4,256,128,128,2,3,10,1,32,2097152,-4501,7865952
512,false,200000,snappy,4,128,1,-1,5,7,4,1,16384,-10274,8847405
524288,true,40000,snappy,1,4,256,4,8,6,64,16,1073741824,-59509,9804369
128,false,0,zstd,16,1,4,1,6,10,4,16,524288,-9825,10844385
32,true,400000,zstd,256,256,512,8,9,13,8,1,1024,-505,11876825
128,true,160000,zstd,256,20,256,-1,0,8,2,1,67108864,-766,12942717
8,true,0,zstd,16,1,512,8,9,13,64,32,1073741824,-762,14014904
4,false,400000,snappy,32,1,2,32,-1,9,1,32,134217728,-144056,14974902
16,false,400000,lz4,128,2,2,64,-1,13,2,16,8388608,-36739,15935339
32,false,160000,snappy,8,2,2,16,-1,7,1,1,268435456,-159465,16897334
1,false,40000,lz4,1,1,36,256,-1,9,1,8,1073741824,-177048,17855954
1,true,400000,zstd,2,2,4,64,-1,5,1,16,67108864,-719,18877831
1,false,80000,lz4,1,20,16,256,0,15,1,2,268435456,-166615,19845322
4,false,40000,zstd,4,0,1,128,7,7,2,4,268435456,-119772,20841782
128,false,120000,snappy,2,16,1024,256,0,14,1,16,268435456,-168736,21802995
8,false,240000,snappy,2,1,2,256,10,9,1,2,268435456,-136344,22764071
32,false,120000,zstd,1,20,36,256,0,12,128,1,1073741824,-187054,23731567
1,false,80000,lz4,1,16,1024,2,1,10,1,32,1073741824,-188023,24689979
131072,false,120000,snappy,1,2,32,256,1,14,8,2,1073741824,-133080,25647152
256,false,160000,lz4,1,1,1024,1,-1,7,1,8,67108864,-95404,26605152
65536,false,120000,lz4,1,2,64,64,1,14,16,16,268435456,-147618,27562209
4,false,40000,zstd,1,16,128,256,0,10,128,2,536870912,-178454,28551360
1,false,0,lz4,2,16,36,256,-1,10,4,8,536870912,-182976,29510298
16,false,360000,lz4,16,2,1024,8,0,7,1,2,1073741824,-172674,30468792
8192,false,40000,snappy,1,16,8,32,1,6,1,1,4194304,-84939,31426877
1,false,120000,zstd,1,16,36,4,-1,12,64,16,1073741824,-179184,32397438
8,false,200000,zstd,8,16,512,2,1,10,1,32,1073741824,-171218,33426374
131072,true,240000,zstd,32,2,8,64,9,14,32,4,64,-4032,34412281
2048,false,280000,zstd,128,1024,64,8,2,10,64,32,16,-10910,35389635
2048,false,120000,lz4,1,32,256,1,1,7,1,32,536870912,-187203,36347036
4,false,80000,lz4,1,64,256,2,1,7,8,32,536870912,-180670,37323764
32,false,80000,zstd,1,256,36,-1,1,5,1,8,536870912,-173926,38295336
512,false,80000,zstd,4,64,1024,1,2,12,8,1,536870912,-169979,39256536
128,false,400000,lz4,1,1024,256,8,-1,12,64,8,536870912,-179731,40217041
1,false,160000,lz4,1,20,1024,8,4,6,1,1,1073741824,-187048,41186046
2048,false,80000,lz4,4,16,36,256,1,5,1,32,536870912,-171996,42148797
1,false,120000,lz4,2,16,1024,8,9,9,1,8,1073741824,-190644,43107380
1,false,120000,lz4,2,16,1024,8,9,9,1,16,1073741824,-188872,44066706
64,false,120000,lz4,16,20,512,1,7,9,2,1,536870912,-170305,45024948
1,false,40000,zstd,2,8,1024,8,4,5,1,8,1073741824,-185856,46002660
1,false,160000,lz4,2,512,1024,256,10,8,64,4,1073741824,-190251,46962284
1,false,160000,lz4,4,512,1024,256,10,8,64,4,1073741824,-168624,47923527
4,false,40000,zstd,128,0,512,32,10,11,64,8,536870912,-162906,48891139
262144,true,160000,snappy,1,1,4,16,9,14,64,4,536870912,-105510,49857474
32,false,320000,lz4,2,20,4,1,-1,10,1,1,536870912,-180736,50821541
1,false,0,lz4,1,32,1024,-1,9,11,4,1,1073741824,-186698,51788852
1,false,120000,lz4,2,4,1024,8,9,9,1,8,1073741824,-185135,52747931
16384,false,0,lz4,2,4,36,1,10,9,64,2,1073741824,-179082,53706504
1,false,0,lz4,16,32,1024,2,9,13,4,8,1073741824,-168866,54665726
32,false,40000,lz4,2,16,8,8,8,8,1,32,1073741824,-188245,55624290
256,false,120000,zstd,2,16,512,4,2,6,1,32,1073741824,-187383,56587382
1,false,120000,zstd,2,32,1024,-1,10,11,16,8,1073741824,-182848,57554385
256,false,120000,lz4,2,16,512,4,2,6,2,2,1073741824,-190467,58512606
8192,false,120000,lz4,2,32,512,4,1,7,1,32,1073741824,-184073,59468792
256,false,40000,zstd,16,4,256,4,5,7,64,2,268435456,-157619,60450014
1,false,160000,lz4,2,1024,1024,256,10,8,64,4,1073741824,-187357,61409636
8192,false,80000,zstd,2,4,4,-1,4,8,4,32,1073741824,-171683,62369289
512,false,280000,lz4,2,16,1024,4,2,6,8,2,1073741824,-192486,63330837
1,false,280000,lz4,8,4,64,2,5,5,1,16,1073741824,-171036,64290129
1024,false,0,lz4,1,16,4,4,6,7,32,32,1073741824,-190102,65248349
256,false,280000,lz4,2,32,4,4,3,6,32,32,1073741824,-190320,66208501
512,false,240000,snappy,2,8,1024,4,3,6,64,4,1073741824,-190773,67167842
1024,false,200000,snappy,2,8,64,4,5,5,128,2,1073741824,-193859,68128200
1024,false,200000,lz4,2,1024,256,32,5,6,4,2,1073741824,-193376,69086185
2048,false,240000,lz4,2,16,36,4,6,9,4,2,1073741824,-190500,70043629
512,false,200000,lz4,2,16,1024,1,2,6,2,2,1073741824,-190454,71001642
524288,false,80000,snappy,4,8,128,1,9,12,16,2,4096,-3293,71978274
4096,false,200000,snappy,2,8,64,4,5,5,128,2,1073741824,-187812,72935841
512,false,120000,zstd,128,8,1,1,2,14,1,4,4096,-6607,73923744
1024,false,200000,snappy,2,20,1,16,3,6,128,16,1073741824,-190030,74883534
4096,false,120000,lz4,4,512,16,2,0,9,16,2,1073741824,-169935,75840927
524288,false,400000,zstd,2,64,2,256,1,6,4,8,1073741824,-19757,76800929
2048,false,360000,snappy,2,128,256,32,2,5,128,1,1073741824,-191434,77762958
1024,false,200000,snappy,2,32,1,256,10,5,128,2,1073741824,-193000,78719940
1024,false,200000,lz4,2,32,1,256,10,5,128,2,1073741824,-190024,79677025
128,false,400000,snappy,2,64,2,16,5,5,64,2,1073741824,-190161,80635711
