block_size,cache_index_and_filter_blocks,level0_file_num_compaction_trigger,max_background_compactions,write_buffer_size,Throughput,Timestamp
4096,false,4,-1,67108864,-134188,958398
2048,true,32,16,131072,-6612,1934695
8192,true,4,32,16384,-16377,2905451
512,false,128,32,4096,-11428,3897425
262144,true,1,8,536870912,-64941,4854013
1024,true,128,128,256,-4462,5878542
32768,false,2,4,67108864,-109559,6835935
2048,false,2,128,16,-22721,7809041
8192,true,4,1,16777216,-41583,8766717
4096,false,2,-1,134217728,-157686,9731164
4096,false,8,-1,67108864,-110221,10686884
1,false,2,-1,134217728,-139640,11679167
16,false,32,-1,268435456,-152499,12643039
32,true,2,-1,536870912,-1845,13656884
1,false,2,-1,1073741824,-188221,14619481
1,false,1,1,2048,-1239,15638531
4,false,1,1,134217728,-121618,16601381
1,false,128,-1,1073741824,-174349,17557797
1,false,1,-1,1073741824,-188139,18514746
1,false,2,256,1073741824,-188627,19473528
1,false,1,16,1073741824,-189025,20440924
1,false,64,256,1073741824,-173419,21400654
1,false,1,32,1073741824,-188099,22358272
1,false,1,4,1073741824,-188285,23317982
128,false,64,1,1048576,-33326,24276142
32,false,1,8,1073741824,-188826,25233501
64,false,4,32,1073741824,-174114,26190957
1,false,2,1,1073741824,-182577,27149984
16,false,1,1,1073741824,-188407,28107497
128,false,1,128,1073741824,-188768,29064504
128,false,1,256,1073741824,-189202,30022766
256,false,1,256,1073741824,-187914,30981056
32,false,1,8,67108864,-122562,31938056
32,false,1,2,1073741824,-189372,32895660
512,false,1,2,1073741824,-194786,33852135
4,true,16,64,4,-660,34931490
256,false,64,4,1073741824,-174969,35890862
512,false,1,2,536870912,-186380,36851907
2048,false,1,2,1073741824,-186991,37807868
512,false,1,32,1073741824,-192802,38763808
1,false,256,-1,1073741824,-174558,39726843
1024,false,1,16,1073741824,-193612,40682713
512,false,1,16,8388608,-105574,41639112
512,false,2,32,1073741824,-192671,42599268
512,false,2,64,1073741824,-190066,43555573
2048,false,1,64,1073741824,-190389,44511080
512,false,1,-1,1073741824,-192748,45467721
1,false,1,1,1073741824,-188441,46424483
2048,false,2,16,1073741824,-185631,47391824
2048,false,1,128,1073741824,-187562,48349110
4096,false,2,64,1073741824,-188084,49305998
512,false,256,2,536870912,-171677,50263511
64,false,2,16,536870912,-179995,51228089
4,false,1,1,1073741824,-186286,52185395
512,false,128,16,1073741824,-176672,53143514
65536,true,8,8,131072,-17630,54126831
65536,true,8,256,8192,-15834,55110103
32768,false,1,16,1073741824,-159729,56066435
64,false,1,8,1073741824,-187942,57025880
512,false,1,1,1073741824,-190379,57982001
524288,false,128,256,1073741824,-44622,58938146
128,false,8,256,1073741824,-174652,59896627
512,false,128,256,536870912,-176697,60852462
4096,false,128,64,1073741824,-173573,61810397
4,false,64,128,4194304,-38234,62767163
64,true,64,16,32768,-823,63781701
4096,false,2,128,1073741824,-186333,64742198
65536,false,2,32,1073741824,-137197,65700799
1024,false,1,256,1073741824,-193376,66656431
4096,false,128,128,536870912,-170449,67612448
8192,false,4,128,65536,-19366,68617024
131072,false,1,-1,536870912,-100476,69573104
128,false,128,256,1073741824,-170688,70530131
4096,false,32,256,1073741824,-170782,71485765
8192,false,1,256,1073741824,-181996,72441392
8192,false,64,256,536870912,-164618,73398038
2048,false,2,32,1073741824,-189638,74355345
131072,false,2,-1,1073741824,-111727,75311914
8192,false,128,-1,1073741824,-156942,76274484
32,false,128,256,1073741824,-174193,77231135
512,false,4,128,1073741824,-169784,78187440
16384,false,2,256,536870912,-157677,79143794
4,true,256,4,268435456,-1488,80129781
2048,false,2,256,1073741824,-190253,81090945
512,false,2,-1,1073741824,-191164,82048570
8192,false,4,64,1073741824,-167215,83003867
1024,false,64,128,536870912,-173977,83961542
32,false,1,256,536870912,-180730,84919540
1024,false,1,-1,1073741824,-189860,85875712
8,false,1,1,1073741824,-186639,86832933
512,false,2,16,268435456,-175387,87789288
16384,false,128,256,536870912,-147917,88744711
1,false,128,16,268435456,-157113,89703163
4,false,2,-1,1073741824,-189042,90664572
8192,false,1,128,536870912,-174848,91621984
2048,false,1,-1,1073741824,-186126,92578262
256,false,64,64,536870912,-172673,93539195
32768,false,32,256,1073741824,-144398,94497085
1,false,1,4,268435456,-164751,95453930
4096,false,1,256,33554432,-137286,96409501
4096,false,1,1,1073741824,-185943,97364903
1024,false,2,256,1073741824,-190275,98320838
512,false,4,256,67108864,-141716,99276489
4,false,8,128,1073741824,-167487,100233378
1024,false,2,128,1073741824,-190619,101195193
512,false,2,128,536870912,-181182,102151658
32,false,2,8,1073741824,-188429,103108766
512,false,1,16,1073741824,-191065,104067094
32768,false,64,128,536870912,-132866,105026529
64,false,32,64,1073741824,-173115,105988548
8192,false,1,2,512,-30102,106969396
8192,false,2,8,1073741824,-166641,107925734
8192,false,1,2,1073741824,-163995,108885805
8192,false,4,128,536870912,-164540,109841436
