block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-150183,955755
4,true,0,snappy,64,20,36,256,-1,10,2,1,262144,-3310,1949716
2048,false,0,snappy,2,20,36,128,-1,10,2,1,16777216,-145177,2905454
2048,true,0,snappy,8,20,36,128,-1,10,2,1,32768,-8239,3882905
2048,false,0,snappy,16,20,36,16,-1,10,2,1,16777216,-116579,4847518
65536,true,0,snappy,32,20,36,32,-1,10,2,1,256,-4999,5839212
1,false,0,snappy,256,20,36,32,-1,10,2,1,1048576,-33958,6808248
1,false,0,snappy,1,20,36,32,-1,10,2,1,134217728,-140957,7777475
16,true,0,snappy,2,20,36,64,-1,10,2,1,1073741824,-7925,8742010
1,false,0,snappy,2,20,36,8,-1,10,2,1,8388608,-91923,9707649
32,false,0,snappy,64,20,36,32,-1,10,2,1,33554432,-112697,10673267
2048,false,0,snappy,2,20,36,1,-1,10,2,1,1073741824,-138161,11633554
512,false,0,snappy,128,20,36,-1,-1,10,2,1,67108864,-141500,12590999
64,false,0,snappy,8,20,36,-1,-1,10,2,1,1024,-721,13661151
1,false,0,snappy,2,20,36,4,-1,10,2,1,134217728,-140283,14621575
8192,false,0,snappy,8,20,36,8,-1,10,2,1,67108864,-137450,15578292
4096,false,0,snappy,4,20,36,64,-1,10,2,1,1073741824,-140097,16535131
512,false,0,snappy,8,20,36,-1,-1,10,2,1,1073741824,-139284,17492919
64,false,0,snappy,8,20,36,-1,-1,10,2,1,1073741824,-139030,18455278
524288,true,0,snappy,8,20,36,128,-1,10,2,1,64,-13590,19426213
256,false,0,snappy,1,20,36,-1,-1,10,2,1,67108864,-136817,20383043
64,false,0,snappy,1,20,36,-1,-1,10,2,1,67108864,-123894,21342045
8,true,0,snappy,32,20,36,64,-1,10,2,1,16,-1266,22362915
128,false,0,snappy,8,20,36,2,-1,10,2,1,67108864,-137218,23321344
4096,false,0,snappy,256,20,36,-1,-1,10,2,1,134217728,-146555,24284809
64,false,0,snappy,4,20,36,32,-1,10,2,1,268435456,-144075,25242363
4096,true,0,snappy,8,20,36,1,-1,10,2,1,16777216,-62838,26200824
1,false,0,snappy,2,20,36,128,-1,10,2,1,67108864,-133956,27158872
262144,true,0,snappy,64,20,36,-1,-1,10,2,1,2048,-8616,28134191
32768,false,0,snappy,4,20,36,-1,-1,10,2,1,1073741824,-132016,29094714
131072,false,0,snappy,4,20,36,128,-1,10,2,1,16777216,-77316,30052044
64,false,0,snappy,8,20,36,32,-1,10,2,1,134217728,-139683,31009209
4096,false,0,snappy,128,20,36,256,-1,10,2,1,1073741824,-133033,31967329
65536,false,0,snappy,256,20,36,-1,-1,10,2,1,134217728,-113340,32928447
4,false,0,snappy,128,20,36,1,-1,10,2,1,536870912,-140299,33887367
1,false,0,snappy,4,20,36,-1,-1,10,2,1,268435456,-143477,34849608
1,false,0,snappy,256,20,36,-1,-1,10,2,1,268435456,-139470,35808848
2048,false,0,snappy,128,20,36,-1,-1,10,2,1,16777216,-101926,36767037
64,false,0,snappy,256,20,36,64,-1,10,2,1,134217728,-140947,37725162
64,false,0,snappy,256,20,36,256,-1,10,2,1,4194304,-50519,38683216
128,false,0,snappy,2,20,36,128,-1,10,2,1,16777216,-108306,39640853
1,false,0,snappy,4,20,36,-1,-1,10,2,1,536870912,-137328,40599894
4096,false,0,snappy,256,20,36,32,-1,10,2,1,268435456,-143023,41561457
16384,false,0,snappy,8,20,36,128,-1,10,2,1,268435456,-137235,42517566
2048,false,0,snappy,4,20,36,256,-1,10,2,1,134217728,-147619,43475541
256,false,0,snappy,256,20,36,64,-1,10,2,1,268435456,-147767,44433769
1,false,0,snappy,2,20,36,64,-1,10,2,1,268435456,-145551,45393138
8192,true,0,snappy,1,20,36,2,-1,10,2,1,4,-12632,46377329
16,false,0,snappy,256,20,36,64,-1,10,2,1,268435456,-144439,47335371
4096,false,0,snappy,2,20,36,128,-1,10,2,1,16777216,-144981,48295433
512,false,0,snappy,256,20,36,256,-1,10,2,1,268435456,-147518,49254664
8,false,0,snappy,4,20,36,256,-1,10,2,1,268435456,-144394,50216673
256,true,0,snappy,256,20,36,4,-1,10,2,1,64,-4958,51197307
1,false,0,snappy,256,20,36,128,-1,10,2,1,268435456,-138293,52160546
1,false,0,snappy,4,20,36,256,-1,10,2,1,268435456,-139701,53118839
256,false,0,snappy,64,20,36,8,-1,10,2,1,8388608,-74849,54094602
256,false,0,snappy,256,20,36,256,-1,10,2,1,268435456,-148969,55055758
1,false,0,snappy,256,20,36,256,-1,10,2,1,16777216,-92702,56017098
8,false,0,snappy,256,20,36,4,-1,10,2,1,268435456,-143788,56975190
256,false,0,snappy,256,20,36,256,-1,10,2,1,67108864,-134417,57935681
512,false,0,snappy,2,20,36,32,-1,10,2,1,16777216,-138321,58892043
1024,false,0,snappy,8,20,36,-1,-1,10,2,1,16777216,-131023,59847546
1024,false,0,snappy,256,20,36,8,-1,10,2,1,268435456,-148719,60806229
16384,false,0,snappy,1,20,36,64,-1,10,2,1,33554432,-130506,61762190
8,false,0,snappy,256,20,36,256,-1,10,2,1,268435456,-144181,62720355
256,false,0,snappy,2,20,36,32,-1,10,2,1,16777216,-126532,63678144
4096,false,0,snappy,4,20,36,256,-1,10,2,1,16777216,-135800,64635145
256,false,0,snappy,256,20,36,8,-1,10,2,1,536870912,-143297,65597396
256,false,0,snappy,256,20,36,16,-1,10,2,1,268435456,-148224,66556284
256,false,0,snappy,8,20,36,-1,-1,10,2,1,67108864,-138686,67513897
32768,false,0,snappy,2,20,36,128,-1,10,2,1,16777216,-109813,68476853
32,false,0,snappy,4,20,36,256,-1,10,2,1,16,-9743,69459237
128,false,0,snappy,4,20,36,256,-1,10,2,1,134217728,-147459,70417771
1,false,0,snappy,4,20,36,256,-1,10,2,1,134217728,-143848,71377973
32,false,0,snappy,256,20,36,4,-1,10,2,1,536870912,-142093,72348633
1,false,0,snappy,256,20,36,64,-1,10,2,1,268435456,-144948,73320378
64,false,0,snappy,2,20,36,256,-1,10,2,1,268435456,-144238,74282922
32,false,0,snappy,4,20,36,256,-1,10,2,1,134217728,-141512,75244241
4096,false,0,snappy,2,20,36,256,-1,10,2,1,8388608,-125494,76200697
2048,false,0,snappy,8,20,36,128,-1,10,2,1,16777216,-131473,77156618
2048,true,0,snappy,16,20,36,-1,-1,10,2,1,128,-2159,78171754
256,false,0,snappy,64,20,36,16,-1,10,2,1,268435456,-135474,79132650
2048,false,0,snappy,4,20,36,128,-1,10,2,1,134217728,-145191,80094140
128,true,0,snappy,64,20,36,1,-1,10,2,1,16777216,-3869,81066352
8192,false,0,snappy,4,20,36,128,-1,10,2,1,16777216,-134267,82025064
8,false,0,snappy,32,20,36,2,-1,10,2,1,262144,-6760,82996013
8,false,0,snappy,256,20,36,1,-1,10,2,1,268435456,-146844,83955020
128,false,0,snappy,16,20,36,256,-1,10,2,1,134217728,-144468,84916797
1024,false,0,snappy,256,20,36,-1,-1,10,2,1,134217728,-149642,85874642
1,false,0,snappy,16,20,36,1,-1,10,2,1,134217728,-142794,86833523
4096,false,0,snappy,2,20,36,-1,-1,10,2,1,536870912,-146489,87791860
65536,false,0,snappy,4,20,36,256,-1,10,2,1,134217728,-114757,88748805
1024,false,0,snappy,256,20,36,32,-1,10,2,1,268435456,-146190,89706969
4,false,0,snappy,256,20,36,2,-1,10,2,1,268435456,-142797,90675311
1,false,0,snappy,8,20,36,256,-1,10,2,1,134217728,-140350,91633560
1,false,0,snappy,32,20,36,1,-1,10,2,1,134217728,-142642,92595288
8192,false,0,snappy,64,20,36,256,-1,10,2,1,131072,-14593,93559869
2048,false,0,snappy,32,20,36,256,-1,10,2,1,268435456,-149298,94517803
512,false,0,snappy,64,20,36,256,-1,10,2,1,268435456,-151066,95476162
128,false,0,snappy,256,20,36,256,-1,10,2,1,268435456,-145924,96435910
8192,false,0,snappy,256,20,36,-1,-1,10,2,1,134217728,-145386,97394802
128,false,0,snappy,64,20,36,256,-1,10,2,1,268435456,-148587,98353004
512,false,0,snappy,256,20,36,32,-1,10,2,1,268435456,-149313,99309301
65536,false,0,snappy,256,20,36,2,-1,10,2,1,1073741824,-131067,100267965
64,false,0,snappy,32,20,36,256,-1,10,2,1,268435456,-139078,101257394
8192,false,0,snappy,64,20,36,256,-1,10,2,1,268435456,-146414,102216057
262144,false,0,snappy,16,20,36,256,-1,10,2,1,1073741824,-106780,103172657
1,false,0,snappy,256,20,36,1,-1,10,2,1,268435456,-138521,104131894
16384,false,0,snappy,16,20,36,16,-1,10,2,1,4,-2708,105134361
16384,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-134713,106090869
131072,false,0,snappy,128,20,36,4,-1,10,2,1,536870912,-118736,107049600
8192,false,0,snappy,2,20,36,32,-1,10,2,1,8388608,-118581,108005870
512,true,0,snappy,128,20,36,256,-1,10,2,1,268435456,-13677,108971889
1024,false,0,snappy,256,20,36,-1,-1,10,2,1,67108864,-140663,109928842
8192,false,0,snappy,64,20,36,256,-1,10,2,1,134217728,-140347,110889205
1,false,0,snappy,256,20,36,64,-1,10,2,1,67108864,-116837,111850934
262144,false,0,snappy,256,20,36,4,-1,10,2,1,1073741824,-101744,112810304
4096,false,0,snappy,32,20,36,64,-1,10,2,1,16777216,-100355,113767358
512,false,0,snappy,128,20,36,256,-1,10,2,1,268435456,-141719,114726998
1,false,0,snappy,256,20,36,256,-1,10,2,1,134217728,-138911,115686353
512,false,0,snappy,256,20,36,1,-1,10,2,1,536870912,-140664,116643640
2048,false,0,snappy,4,20,36,8,-1,10,2,1,16777216,-136627,117602183
256,false,0,snappy,4,20,36,-1,-1,10,2,1,16777216,-83957,118565078
512,false,0,snappy,32,20,36,128,-1,10,2,1,268435456,-141236,119524183
8192,false,0,snappy,256,20,36,16,-1,10,2,1,268435456,-141687,120482215
8,false,0,snappy,2,20,36,-1,-1,10,2,1,268435456,-141481,121444159
4096,false,0,snappy,32,20,36,2,-1,10,2,1,268435456,-118736,122403199
16384,false,0,snappy,64,20,36,256,-1,10,2,1,268435456,-138071,123360007
