block_size,cache_index_and_filter_blocks,level0_file_num_compaction_trigger,max_background_compactions,write_buffer_size,Throughput,Timestamp
4096,false,4,-1,67108864,-139203,961848
256,true,8,8,2097152,-1554,1975657
1,false,64,-1,134217728,-131790,2935630
262144,true,64,4,8388608,-3799,3904947
4,true,16,4,8388608,-1042,4933844
8192,false,4,64,8192,-35996,5939464
2048,true,2,1,67108864,-8395,6906955
1,false,2,-1,268435456,-198706,7866721
32768,false,2,-1,134217728,-121181,8825137
32768,false,1,-1,8,-16032,9823215
512,true,1,2,8,-1947,10821793
16,false,2,-1,4194304,-40178,11785301
128,false,2,2,1073741824,-247123,12745961
512,false,2,32,1073741824,-256479,13705131
32,false,8,16,256,-34309,14712163
1,false,1,-1,268435456,-203778,15674353
1,false,1,4,268435456,-201405,16637683
128,true,2,16,1073741824,-1534,17701995
128,false,1,64,536870912,-221947,18663807
32,false,2,1,256,-5131,19666830
8192,false,2,2,1073741824,-214750,20630820
16384,false,2,32,1073741824,-190333,21589270
64,false,64,2,536870912,-126656,22550571
128,false,2,8,1073741824,-250098,23510523
64,false,2,8,1073741824,-245393,24472004
256,false,2,1,1073741824,-249152,25440448
512,false,4,8,1073741824,-125921,26401289
32,false,2,1,1073741824,-246309,27361009
512,false,2,64,1073741824,-252729,28322016
64,false,128,64,65536,-14023,29315345
1,false,2,128,1073741824,-245122,30285638
64,false,2,1,1073741824,-246396,31246301
512,false,2,-1,1073741824,-257467,32211353
512,false,1,-1,1073741824,-253591,33179186
512,false,2,8,1073741824,-257714,34140804
65536,false,1,1,1073741824,-128038,35103520
4096,false,1,64,1073741824,-240659,36069100
4096,true,4,256,128,-14152,37062621
1024,false,2,-1,1073741824,-259558,38034160
1024,false,1,-1,1073741824,-259469,39008875
32,false,2,-1,1073741824,-243867,39969788
4096,true,64,16,524288,-10002,40935031
8192,false,1,-1,1073741824,-215876,41895478
1024,false,1,1,1073741824,-254166,42865376
1024,false,64,2,268435456,-120802,43824182
16,false,1,8,134217728,-179544,44785549
512,false,1,1,1073741824,-249304,45746992
512,false,2,8,536870912,-230963,46706953
16,false,256,4,262144,-9545,47684582
32,false,2,16,1073741824,-245604,48646276
512,false,2,-1,536870912,-227328,49607172
512,false,1,4,1073741824,-253590,50575996
256,true,8,1,16,-1006,51606460
1024,false,2,32,1073741824,-257193,52574251
128,false,2,4,33554432,-122574,53536188
32768,false,2,4,8,-42505,54516091
32,false,2,4,1073741824,-249574,55478262
2048,false,2,-1,1073741824,-241984,56437707
1024,false,2,8,1073741824,-256436,57399584
1024,false,2,4,1073741824,-254459,58367102
512,false,1,8,1073741824,-253454,59328559
1024,false,1,8,1073741824,-254196,60290411
2048,false,1,1,1073741824,-235134,61252516
1024,false,2,64,1073741824,-255205,62221832
1024,false,2,2,1073741824,-250220,63181478
4096,false,2,-1,1073741824,-235936,64140545
131072,false,1,8,1073741824,-73098,65100375
1024,false,1,16,1073741824,-253134,66065804
256,false,1,8,1073741824,-256161,67033646
128,false,1,8,1073741824,-240619,67997741
256,false,1,1,1073741824,-248244,68963962
256,false,2,32,1073741824,-246445,69930353
16384,false,1,4,1073741824,-181968,70893332
1024,false,2,32,536870912,-224195,71854297
512,false,2,4,1073741824,-248070,72815491
64,false,2,4,134217728,-169294,73791485
1024,false,128,4,1073741824,-126286,74751497
1024,false,1,4,1073741824,-252005,75711202
1,false,2,128,67108864,-147377,76677002
32,false,2,32,1073741824,-242781,77639082
1024,false,2,128,1073741824,-250269,78623058
256,false,1,4,1073741824,-253322,79586328
512,false,2,256,1073741824,-253567,80548564
256,false,1,1,67108864,-173169,81512403
8,false,2,8,1073741824,-248443,82474017
4,false,2,4,1073741824,-244082,83434493
16384,false,64,32,1048576,-14169,84401556
1,true,2,128,8192,-505,85479831
2048,false,8,4,4096,-43830,86458301
