shared_buffers,work_mem,random_page_cost,max_wal_size,max_parallel_workers_per_gather,effective_cache_size,temp_buffers,wal_buffers,Throughput,Timestamp
4096,6990,1.1,8,2,2016383,1024,8192,-1119.284716326616,1698354.0
896,27648,6.0,20,2,2016383,7680,512,-1130.205277586766,3919854.0
1024,12288,7.5,16,1,3145728,10752,9728,-1048.6031589663571,6210257.0
896,14336,5.0,32,1,6291456,6656,14848,-1127.7488023739675,8367516.0
1024,10240,1.1,24,2,8388608,6656,11776,-1098.0126143931038,10556179.0
7168,12288,2.5,4,16,4194304,12800,6656,-1144.3868534414917,12777577.0
2560,30720,2.5,4,4,8388608,13824,4608,-1118.5216377976233,15015940.0
7680,6990,3.5,8,2,524288,6656,6656,-1178.2284650071913,17286939.0
1280,27648,3.0,8,1,6291456,14848,4608,-1125.8921986834912,19498999.0
7680,6990,6.5,64,1,524288,2560,512,-1131.8582017270644,21741794.0
7168,5120,7.0,8,16,1048576,6656,5632,-1091.8969659454945,23907101.0
7680,5120,2.5,4,8,524288,512,8704,-1111.9719819306285,25537946.0
7168,9216,6.0,64,1,524288,1536,6656,-1110.1074375396863,27712911.0
7680,6990,3.0,64,1,2016383,7680,6656,-1091.7060606228756,29457497.0
1280,6990,6.5,16,8,524288,11776,4608,-1092.8549185640943,31967973.0
6144,9216,7.0,24,1,6291456,8704,1536,-1069.5377378918527,34287638.0
640,14336,3.5,8,8,1572864,8704,9728,-1056.6316814022111,36533067.0
768,30720,3.5,4,1,524288,3584,6656,-1053.987659931834,38164442.0
1024,11264,4.5,4,1,524288,512,6656,-1088.8970430393376,40313294.0
5632,51200,3.5,8,2,524288,7680,6656,-1127.2577835068055,41846584.0
7680,6990,3.0,8,2,3145728,4608,6656,-1142.75513459818,43866610.0
7168,27648,3.5,4,2,2016383,5632,11776,-1156.8124819513087,45941535.0
768,25600,7.5,8,1,1572864,14848,512,-1123.9100544973328,48014601.0
3072,12288,0.1,8,16,6291456,1536,8192,-1114.6039650922912,49421977.0
7168,30720,3.5,16,2,524288,7680,10752,-1093.6899608514054,51338888.0
7680,35840,3.5,8,2,524288,12800,6656,-1125.6530122351833,53289358.0
7680,6990,4.0,8,2,1572864,12800,10752,-1180.0122438165392,55192562.0
7680,10240,4.0,8,4,1048576,9728,9728,-1115.0361648006992,57086585.0
7680,6990,4.5,8,2,524288,10752,10752,-1140.3538364247584,58908361.0
7680,7168,3.0,4,2,8388608,11776,1536,-1102.211064938417,60735420.0
7680,6990,4.0,4,1,1572864,12800,10752,-1181.3667652666356,62566845.0
7680,6144,7.0,64,2,8388608,13824,9728,-1052.306124087106,64399053.0
896,5120,4.5,8,16,6291456,12800,14848,-1147.0433304083729,66241118.0
7680,6990,4.0,4,1,1572864,12800,9728,-1076.3512568023164,68067002.0
640,6144,0.5,4,8,1572864,15872,14848,-1153.901895412463,69898053.0
640,6144,1.5,8,1,8388608,15872,12800,-1110.8610829739678,71719096.0
4608,14336,6.0,4,4,8388608,6656,8192,-1129.9079055751565,73545972.0
7168,29696,0.5,8,1,2016383,12800,10752,-1144.062158060399,75566764.0
768,8192,2.5,4,2,1572864,12800,10752,-1081.2776465778575,76973469.0
7680,6990,4.0,8,2,1572864,13824,10752,-1157.8037319675373,78363383.0
6656,6990,4.0,4,1,1572864,13824,10752,-1159.7428375023796,79773949.0
640,6990,4.0,8,4,1572864,11776,10752,-1163.809938822391,81664497.0
5120,5120,1.1,8,1,8388608,512,11776,-1142.7935092982068,83524875.0
7680,6990,4.0,16,1,1572864,11776,10752,-1111.8855140453736,85544326.0
7680,6990,3.5,8,2,1572864,12800,10752,-1115.349602290044,87425000.0
7680,6990,4.0,4,1,1572864,11776,10752,-1087.6615302612213,88850891.0
7168,19456,7.0,24,16,2016383,5632,8192,-1125.7816532285863,90320054.0
7680,6990,5.5,4,1,1572864,12800,10752,-1131.8824054329546,92267876.0
896,6990,4.0,4,1,2016383,12800,10752,-1153.7444854741864,94162505.0
7680,8192,4.0,4,2,1572864,12800,10752,-1156.5027142998354,96076890.0
7680,8192,4.0,8,8,1572864,12800,10752,-1082.0465449544645,98006114.0
7680,6990,4.0,4,8,1572864,12800,10752,-1168.6779838362866,99926022.0
3072,6990,2.5,16,8,1572864,512,6656,-1028.1033208323754,101829160.0
7680,6990,4.0,8,1,1572864,12800,10752,-1163.1206432585013,103757359.0
7680,6990,4.0,4,4,1572864,12800,10752,-1112.1971066559247,105204643.0
7680,7168,4.0,4,2,1572864,12800,10752,-1132.5326957055636,107239749.0
1536,6144,3.5,8,4,1572864,6656,6656,-1098.0073908660095,109173914.0
768,6990,7.5,4,8,3145728,14848,11776,-1145.1506425988377,111108004.0
7680,29696,3.5,64,8,6291456,15872,1536,-1118.3809320222479,113046252.0
1536,5120,4.0,64,1,3145728,12800,10752,-1161.6976453441312,114980725.0
4608,4096,0.1,8,2,1572864,512,6656,-1108.48596845722,116929279.0
640,6990,6.0,64,1,1572864,512,10752,-1107.5809976065216,118949020.0
7680,11264,0.5,16,4,524288,12800,10752,-1106.8284112352728,120408521.0
7168,4096,4.0,16,1,1572864,12800,15872,-1152.4604102751252,122350134.0
896,7168,4.0,8,2,1572864,12800,10752,-1121.130321746857,123814378.0
7680,6990,4.0,4,2,1572864,12800,10752,-1109.4712677211392,125930995.0
1536,6144,4.0,16,1,1572864,12800,10752,-1155.0575580760262,127423918.0
768,6990,6.0,8,2,1572864,12800,10752,-1139.8887426022818,129385334.0
896,12288,8.0,4,8,524288,5632,12800,-1145.8423964524857,131319488.0
7680,6990,5.5,16,2,1572864,10752,8192,-1087.3342241808039,133231696.0
3584,23552,0.1,20,8,1048576,10752,9728,-1182.365876059988,135200644.0
3584,17408,0.1,64,4,4194304,10752,9728,-1125.084651435649,137130024.0
3584,25600,0.1,64,1,1048576,4608,9728,-1139.2613284199783,139066962.0
768,25600,3.0,20,8,1048576,4608,9728,-1101.7512641142987,140978770.0
5120,11264,1.0,20,16,3145728,8704,12800,-1150.285417311485,142904500.0
3072,23552,0.1,16,8,524288,11776,8704,-1142.1719340546897,144838188.0
3584,6990,3.5,8,2,524288,6656,6656,-1161.7529542823881,147040447.0
3584,7168,0.5,24,8,524288,13824,1536,-1164.3379276826183,149355747.0
1024,21504,0.1,16,8,524288,4608,7680,-1137.0681945314188,151290901.0
1536,5120,0.1,24,8,1048576,13824,6656,-1162.146030709222,153226439.0
4608,6144,0.1,24,8,1048576,12800,8704,-1090.6360632255244,155161409.0
1280,4096,1.5,20,4,1048576,4608,10752,-1153.6875158149771,157085040.0
2560,17408,1.0,24,8,1048576,9728,8192,-1114.2210459395244,159012779.0
3072,6990,0.1,16,8,524288,3584,512,-1170.6633114224185,160942151.0
3072,29696,1.1,4,4,524288,4608,6656,-1151.5847349877242,162896684.0
3584,6990,1.5,8,2,1048576,512,1536,-1122.1779667551975,164831188.0
