block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-13890,961752
16384,false,400000,zstd,4,4,512,64,7,8,8,2,67108864,-9999,1930288
16,false,320000,zstd,2,1,8,256,7,0,16,16,16777216,-1681,2899884
1,false,40000,zstd,32,64,1,256,9,2,128,4,32768,-1209,3884218
16,false,160000,zstd,16,64,128,2,3,9,32,32,32,-1512,4867424
2048,false,360000,zstd,16,1024,2,32,3,4,32,2,8192,-1947,5847327
2048,false,40000,zstd,64,128,4,64,1,9,64,16,2048,-5929,6827082
128,false,320000,zstd,256,16,1,16,10,0,1,8,8,-1088,7810979
1024,false,0,zstd,2,128,128,4,9,10,2,8,2048,-1032,8792204
16,false,160000,zstd,1,20,8,32,7,1,32,32,33554432,-1674,9763340
8,false,200000,zstd,128,32,32,2,8,4,2,16,262144,-1185,10737925
64,false,40000,zstd,64,8,128,128,0,0,2,4,512,-1185,11718739
512,false,240000,zstd,32,0,1,256,2,0,128,16,64,-2386,12700253
2048,false,200000,zstd,1,32,8,8,0,2,2,2,524288,-1403,13668705
262144,false,200000,zstd,2,2,36,-1,0,1,128,4,8388608,-3151,14632418
32,false,40000,zstd,256,128,64,-1,1,3,64,32,32,-1403,15614634
32,false,0,zstd,1,8,4,2,1,3,128,2,262144,-1198,16589079
128,false,280000,zstd,128,4,2,256,5,3,16,1,1048576,-383,17561146
4,false,360000,zstd,8,20,4,4,2,10,128,4,256,-1296,18543942
64,false,320000,zstd,2,4,64,16,11,2,2,2,268435456,-1752,19511291
4096,false,360000,zstd,256,1024,1,8,10,0,8,1,1048576,-929,20478079
131072,false,360000,zstd,128,4,2,2,9,8,1,32,16777216,-914,21444168
524288,false,240000,lz4,4,0,2,128,7,10,2,8,16,-1772,22420254
512,false,280000,lz4,1,64,8,-1,5,8,8,8,134217728,-2651,23384503
4,false,160000,lz4,16,1,1,8,5,3,64,2,8388608,-335,24352974
32,false,400000,lz4,8,20,128,8,10,10,1,1,131072,-1259,25325795
4,false,400000,lz4,1,20,4,2,11,5,64,1,512,-955,26308347
2048,false,40000,lz4,128,1,36,4,5,3,8,8,1073741824,-704,27274853
64,false,80000,lz4,32,128,36,1,3,9,32,8,67108864,-765,28241282
256,false,280000,lz4,1,2,16,32,7,8,2,2,16,-976,29222307
8192,false,120000,lz4,1,256,2,-1,7,6,2,4,268435456,-11510,30185193
256,false,160000,lz4,1,8,1024,128,1,7,16,4,16384,-1193,31176987
16,false,0,lz4,256,0,2,4,9,5,8,4,268435456,-835,32145546
2048,false,320000,lz4,2,64,4,64,3,9,4,2,64,-1324,33123054
32768,false,280000,lz4,16,32,32,128,4,6,1,8,131072,-6095,34093714
4096,false,40000,lz4,1,512,256,32,4,9,2,1,1048576,-2215,35057743
512,false,0,lz4,128,2,4,128,5,6,8,1,512,-1820,36036495
8192,false,240000,lz4,64,16,1024,16,6,8,1,1,8388608,-1243,36999632
64,false,40000,lz4,256,64,64,1,6,10,4,1,4096,-1309,37982853
4096,false,80000,lz4,16,16,16,32,11,4,4,4,4096,-3452,38961083
4,false,40000,lz4,2,2,36,16,1,9,32,2,64,-1166,39943555
32768,false,80000,lz4,4,32,1024,16,1,7,64,4,64,-4807,40919960
256,false,80000,lz4,64,512,512,16,3,5,64,32,8,-2224,41900383
32,false,320000,snappy,64,8,256,256,2,6,32,4,16,-1547,42880363
16384,false,320000,snappy,64,4,128,-1,4,1,8,16,65536,-5899,43855839
524288,false,120000,snappy,16,16,32,64,6,9,32,32,256,-2188,44833857
512,false,200000,snappy,256,1,32,4,0,2,1,32,32768,-1633,45813316
32,false,400000,snappy,4,256,512,2,5,9,32,32,33554432,-1847,46778651
524288,false,0,snappy,4,1,4,256,5,5,64,32,65536,-2351,47757212
1024,false,160000,snappy,8,64,1,256,8,7,4,2,1024,-1536,48738310
1,false,120000,snappy,16,1024,1024,-1,11,1,32,32,8,-1553,49719046
4096,false,80000,snappy,16,1024,16,-1,7,9,4,32,2097152,-8461,50681443
2048,false,240000,snappy,32,64,128,8,6,2,4,32,1073741824,-1002,51646218
4,false,240000,snappy,4,20,512,64,5,8,64,2,134217728,-1666,52610516
32768,false,120000,snappy,8,8,2,8,8,7,64,8,512,-7025,53586916
16,false,80000,snappy,4,1,16,16,11,6,32,4,4096,-1221,54567957
16384,false,280000,snappy,64,64,1,8,10,1,64,8,16777216,-1236,55532174
262144,false,360000,snappy,2,1,32,-1,9,2,64,2,1024,-3042,56510448
16384,false,160000,snappy,8,2,16,8,7,3,4,32,1073741824,-1235,57473089
