block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-136224,957658
8,false,40000,snappy,256,256,1024,-1,11,10,64,1,131072,-6600,1936356
16,false,240000,snappy,4,1,36,1,0,7,2,2,16777216,-97582,2894871
16,false,160000,snappy,256,128,2,128,8,10,8,8,8388608,-51881,3853896
8192,false,240000,snappy,2,32,64,1,11,2,128,8,1048576,-108129,4814132
64,false,360000,snappy,32,20,32,8,7,0,32,8,8,-42983,5782438
262144,false,80000,snappy,32,2,128,32,11,6,8,32,16777216,-11220,6742611
4096,false,320000,snappy,2,0,128,2,0,8,4,1,262144,-14505,7708201
1024,false,280000,snappy,4,0,1,16,4,1,2,8,4096,-5555,8689400
32768,false,0,snappy,256,4,2,32,9,7,2,32,67108864,-67527,9645248
1024,false,160000,snappy,128,16,1,32,8,6,1,16,268435456,-119120,10602986
8192,false,0,snappy,1,4,32,256,2,4,8,32,1,-23716,11570517
65536,false,160000,snappy,1,16,64,256,7,9,16,8,8,-30925,12543492
16384,false,280000,snappy,4,2,32,64,8,3,4,8,4194304,-88236,13500094
64,false,320000,snappy,2,1024,256,16,6,5,16,2,4,-33226,14469507
16384,false,200000,snappy,64,32,512,16,2,3,4,16,1048576,-17128,15428899
128,false,320000,snappy,8,8,16,1,0,0,32,8,8192,-31224,16406473
16,false,160000,snappy,1,64,32,128,8,5,2,32,512,-38197,17379732
512,false,240000,snappy,32,512,8,4,3,5,32,2,33554432,-83916,18337329
2048,false,80000,snappy,256,2,512,32,2,8,128,16,16777216,-59230,19294883
131072,false,240000,snappy,16,1,512,128,10,7,4,1,1,-19034,20263227
16384,false,80000,snappy,256,8,36,2,4,4,8,32,1073741824,-108432,21220904
2048,false,320000,lz4,4,4,2,256,3,7,32,1,4194304,-113819,22178231
512,false,40000,lz4,64,256,2,64,4,3,64,2,256,-17720,23150987
8,false,160000,lz4,64,1,1,64,0,4,128,8,64,-27080,24120466
65536,false,320000,lz4,64,1,256,-1,2,3,4,8,4096,-10856,25093952
32768,false,160000,lz4,16,2,8,128,4,6,64,32,33554432,-66541,26051413
2048,false,280000,lz4,8,1024,256,8,3,1,32,4,536870912,-123165,27013492
524288,false,400000,lz4,16,1,256,8,3,4,64,4,268435456,-27750,27972837
256,false,200000,lz4,4,4,128,8,9,2,2,2,131072,-5802,28946934
128,false,0,lz4,64,0,32,4,10,2,1,16,134217728,-129996,29905103
524288,false,120000,lz4,64,32,2,-1,6,2,64,2,134217728,-27824,30865593
32,false,0,lz4,16,64,512,2,0,8,128,1,4194304,-33750,31825443
524288,false,280000,lz4,16,20,16,8,8,2,64,32,32768,-5477,32808064
128,false,160000,lz4,1,8,2,-1,3,4,64,8,64,-15684,33780976
4,false,120000,lz4,1,64,512,8,6,8,2,8,524288,-43012,34742342
16384,false,280000,lz4,128,128,1024,32,5,0,1,2,65536,-18924,35712705
4,false,40000,lz4,1,8,128,64,6,6,8,32,33554432,-134207,36671244
64,false,120000,lz4,8,1024,64,-1,4,5,16,16,134217728,-108881,37630529
16,false,80000,lz4,4,64,256,256,3,9,16,16,2097152,-72266,38590301
262144,false,0,lz4,8,1024,2,1,10,3,128,4,8388608,-26518,39549550
262144,false,80000,lz4,32,64,16,-1,7,0,128,8,32768,-6103,40524609
512,false,240000,lz4,8,0,1,4,7,6,8,32,512,-40792,41503519
512,false,280000,zstd,256,8,1024,16,1,10,8,32,1024,-11048,42477873
2048,false,360000,zstd,32,512,32,2,10,1,8,2,1,-22978,43446795
8,false,400000,zstd,256,2,8,256,4,8,16,4,4096,-9769,44439687
262144,false,400000,zstd,2,64,512,8,9,10,8,1,512,-3995,45419827
32,false,320000,zstd,8,512,36,8,6,3,8,16,256,-28248,46398957
1024,false,400000,zstd,64,20,32,1,5,6,1,16,16,-19018,47370111
1,false,40000,zstd,4,128,16,256,9,6,16,32,8192,-37623,48349079
16,false,280000,zstd,64,128,4,32,1,5,32,16,16384,-17755,49334628
524288,false,320000,zstd,32,1024,16,4,5,3,64,32,4194304,-540,50395771
8,false,400000,zstd,256,512,128,8,7,8,1,32,1,-5088,51394723
8,false,200000,zstd,256,128,64,4,7,9,1,8,128,-7237,52390335
1024,false,120000,zstd,128,16,128,32,0,9,4,16,128,-14645,53361332
32768,false,160000,zstd,128,1024,32,-1,8,5,8,32,8,-5484,54350175
32,false,320000,zstd,128,4,16,128,7,2,4,16,1024,-11054,55359304
64,false,40000,zstd,32,16,512,128,6,9,16,1,4,-4630,56376200
262144,false,320000,zstd,64,0,512,4,5,9,4,16,32,-1663,57391731
524288,false,120000,zstd,32,256,512,128,3,2,2,2,524288,-1708,58405872
8192,false,360000,zstd,256,32,128,256,1,8,64,32,4194304,-14666,59367989
256,false,120000,zstd,256,1024,1024,16,5,3,1,4,256,-4042,60353299
32768,false,280000,zstd,2,512,4,2,8,5,4,2,64,-24291,61323313
32768,false,80000,zstd,256,4,64,32,6,5,1,4,32,-2918,62337562
256,true,120000,snappy,16,0,16,8,2,8,32,1,268435456,-1692,63328741
1024,true,160000,snappy,1,0,128,16,2,9,16,4,1048576,-3990,64300833
1,true,280000,snappy,8,1,8,2,3,6,32,8,8388608,-591,65314419
1024,true,240000,snappy,1,128,4,-1,10,10,64,1,262144,-3497,66295469
65536,true,360000,snappy,2,2,8,16,8,1,8,4,67108864,-91154,67252720
64,true,400000,snappy,32,20,36,2,5,7,16,4,268435456,-925,68243252
1024,true,0,snappy,128,16,2,32,0,0,32,1,262144,-3391,69221466
64,true,40000,snappy,1,2,1024,64,9,0,32,4,524288,-1423,70272003
512,true,120000,snappy,4,8,1,16,2,5,128,4,32,-1897,71270494
262144,true,0,snappy,16,20,16,4,0,7,4,2,65536,-15115,72239245
32768,true,400000,snappy,4,2,64,1,9,7,16,32,1024,-52084,73207853
1,true,400000,snappy,16,512,128,8,5,9,1,8,131072,-742,74279084
32,true,200000,snappy,16,128,36,256,11,5,2,4,1073741824,-935,75259512
32,true,200000,snappy,8,20,8,1,7,6,1,8,67108864,-929,76246059
4,true,0,snappy,8,16,256,4,5,2,64,8,2097152,-1933,77292553
512,true,120000,snappy,4,512,32,1,3,10,2,16,4,-1926,78280902
256,true,0,snappy,32,64,4,256,10,4,1,2,512,-1026,79284672
8,true,320000,snappy,2,256,8,2,11,10,16,1,16384,-485,80340108
131072,true,360000,snappy,128,512,512,128,11,4,128,16,32768,-6394,81320968
65536,true,360000,snappy,2,32,1,1,6,2,2,4,16384,-18657,82292367
65536,true,360000,snappy,64,8,36,8,8,7,32,16,2048,-8626,83270347
128,true,320000,lz4,16,8,4,64,2,8,64,4,8,-702,84290124
4096,true,320000,lz4,1,16,64,-1,5,0,2,32,8192,-9948,85264163
256,true,200000,lz4,1,8,16,64,10,9,128,32,8388608,-3768,86259928
8192,true,200000,lz4,128,32,16,128,8,2,1,16,32,-13098,87237034
32768,true,360000,lz4,1,64,64,128,8,4,64,4,16777216,-116607,88196368
256,true,80000,lz4,2,32,64,2,9,9,128,1,131072,-1164,89203877
1,true,120000,lz4,16,1,2,64,2,9,128,2,1024,-639,90317894
4,true,240000,lz4,4,20,32,-1,10,1,2,8,2097152,-1306,91331376
2048,true,80000,lz4,16,16,1024,16,3,3,1,16,536870912,-9400,92293870
256,true,160000,lz4,8,32,4,4,0,1,8,32,64,-1170,93302297
512,true,0,lz4,2,1024,1,64,4,6,32,16,128,-2026,94293291
4096,true,240000,lz4,4,256,16,4,9,10,1,32,268435456,-11056,95259350
262144,true,240000,lz4,2,2,4,128,11,0,128,2,256,-6781,96231302
8192,true,0,lz4,4,64,512,16,9,10,8,4,1048576,-46926,97190361
16384,true,40000,lz4,128,1,32,64,11,1,64,2,16,-10253,98163882
16,true,200000,lz4,2,256,1,2,7,1,8,1,134217728,-1755,99178742
32,true,80000,lz4,32,0,1,1,9,1,128,4,67108864,-1162,100158056
16384,true,320000,lz4,128,0,36,32,7,8,64,2,32768,-10300,101132206
4,true,0,lz4,32,4,4,256,1,7,4,1,128,-631,102189111
65536,true,80000,lz4,2,1024,8,128,11,4,32,2,536870912,-132053,103146510
131072,true,80000,lz4,2,16,4,-1,5,1,2,2,262144,-14892,104110957
32,true,200000,zstd,64,1,36,4,1,7,16,1,262144,-285,105190715
8,true,80000,zstd,64,128,128,256,10,10,2,2,524288,-1615,106270590
64,true,360000,zstd,2,512,128,1,2,0,32,8,32,-281,107369882
524288,true,360000,zstd,64,256,64,8,11,1,4,32,65536,-1552,108392430
4096,true,240000,zstd,128,4,36,2,11,1,16,2,2048,-3647,109385653
8192,true,400000,zstd,16,20,1,256,4,3,4,16,16384,-8614,110365100
1,true,120000,zstd,128,256,256,32,10,5,64,1,2097152,-416,111358057
1,true,120000,zstd,256,20,1024,1,7,6,4,16,1073741824,-411,112355405
4096,true,360000,zstd,64,1,1024,64,5,3,128,1,4,-4170,113332194
1,true,400000,zstd,128,8,1024,16,6,6,64,4,16,-591,114545407
131072,true,400000,zstd,8,128,256,-1,3,6,128,1,65536,-6183,115519197
128,true,240000,zstd,16,2,8,128,1,8,2,8,512,-251,116742415
8192,true,280000,zstd,4,512,4,4,1,2,1,1,4096,-10148,117713242
2048,true,240000,zstd,256,512,4,-1,4,7,128,4,536870912,-5038,118682220
16384,true,40000,zstd,1,32,2,16,6,10,16,1,2048,-17073,119652745
2048,true,360000,zstd,1,4,256,16,2,4,8,4,131072,-2955,120636089
4,true,160000,zstd,128,128,64,32,4,10,4,4,16384,-283,121726704
131072,true,40000,zstd,32,20,8,2,1,4,8,1,33554432,-6012,122691668
524288,true,40000,zstd,8,256,1,2,10,4,2,32,8,-3339,123678407
131072,true,240000,zstd,32,64,256,1,4,3,1,8,4096,-6157,124653615
4096,true,200000,zstd,8,0,36,16,1,0,16,4,2048,-4843,125632031
8,false,200000,snappy,16,16,1024,256,1,0,32,16,1073741824,-124531,126590601
128,false,160000,lz4,64,256,8,64,1,8,32,2,33554432,-81900,127549373
65536,false,40000,zstd,8,8,512,32,0,1,2,1,16,-6558,128526658
1,false,0,lz4,1,20,1024,4,4,5,1,16,536870912,-218984,129486521
