block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-12743,961529
32768,true,240000,snappy,4,20,8,128,9,3,8,8,262144,-6292,1930253
65536,true,240000,snappy,1,2,32,-1,0,0,16,2,64,-1915,2904767
16,true,120000,zstd,64,16,512,32,5,8,32,4,33554432,-78,3885625
131072,true,120000,zstd,16,32,32,256,2,1,4,32,8388608,-1167,4848182
64,true,0,lz4,32,256,256,64,8,2,32,2,1024,-61,5851440
256,true,360000,lz4,4,512,36,-1,4,9,64,4,524288,-131,6824968
1024,false,40000,snappy,1,1024,2,16,8,4,2,4,1,-764,7803015
4096,false,320000,snappy,8,1,8,16,11,9,128,16,134217728,-495,8766656
1,false,280000,zstd,256,64,4,8,7,5,8,16,16384,-1411,9745957
524288,false,80000,zstd,4,128,1024,1,2,1,4,1,512,-1646,10727458
2048,false,200000,lz4,128,4,128,64,1,6,2,8,1073741824,-756,11692277
256,false,400000,lz4,32,0,128,4,5,10,128,32,65536,-2231,12668219
8,true,160000,snappy,128,8,1,2,10,7,1,1,8,-64,13663655
16384,false,0,lz4,4,1024,256,1,-1,12,1,32,524288,-4388,14629066
4096,true,0,lz4,1,2,2,32,-1,15,4,8,32768,-1060,15606569
1,false,120000,zstd,1,256,4,64,-1,11,8,1,524288,-1141,16576286
65536,false,320000,lz4,1,32,16,-1,-1,14,2,32,536870912,-9010,17538507
16384,false,320000,lz4,1,32,16,-1,-1,14,2,32,536870912,-10655,18503299
32,false,0,snappy,2,512,4,-1,-1,15,1,16,33554432,-1673,19467189
524288,false,320000,zstd,256,20,64,128,5,7,8,1,32,-1780,20444224
32,true,80000,zstd,1,0,8,-1,-1,14,4,8,134217728,-41,21453666
4096,false,400000,zstd,8,8,256,-1,4,15,2,8,1073741824,-738,22420595
4096,true,400000,zstd,8,16,512,-1,-1,10,2,1,1073741824,-745,23385810
65536,false,320000,zstd,1,32,16,-1,-1,14,2,2,536870912,-6569,24349151
32,false,200000,lz4,64,32,256,4,10,9,64,8,268435456,-504,25316960
65536,true,320000,zstd,1,32,16,-1,-1,14,2,2,536870912,-6521,26280137
4096,false,0,snappy,4,8,36,-1,-1,10,2,1,67108864,-9225,27243109
4096,false,0,snappy,8,20,36,-1,-1,10,2,1,67108864,-819,28207207
512,true,240000,lz4,2,16,16,8,-1,6,2,1,67108864,-236,29178328
16384,false,320000,snappy,1,16,16,-1,-1,14,2,2,67108864,-8636,30140572
32768,false,360000,lz4,4,1024,1,1,-1,8,2,1,134217728,-7777,31103417
4096,true,0,snappy,4,8,36,2,-1,10,2,1,67108864,-10598,32065984
8192,true,40000,snappy,2,2,36,4,-1,6,2,1,67108864,-11067,33028672
4096,false,0,snappy,4,8,36,-1,-1,10,2,1,16777216,-7305,33991866
16384,false,320000,snappy,2,20,4,-1,-1,14,2,2,67108864,-7407,34954772
4096,true,160000,lz4,1,32,64,8,-1,10,2,32,536870912,-10014,35918134
4096,false,40000,snappy,2,64,64,256,-1,13,1,4,1073741824,-8983,36880940
4096,false,400000,snappy,4,16,32,8,-1,5,2,1,67108864,-10402,37844012
4096,true,0,snappy,4,20,128,2,-1,10,2,1,67108864,-7856,38807107
4096,true,80000,lz4,1,32,32,256,6,7,2,1,268435456,-11501,39770362
4096,true,240000,lz4,1,32,64,4,7,5,2,1,268435456,-10823,40732662
4096,false,400000,snappy,4,16,32,8,4,5,2,1,33554432,-9448,41695303
4096,false,120000,lz4,1,64,64,64,6,10,128,1,67108864,-9953,42657922
8192,false,0,snappy,4,20,16,-1,-1,10,2,1,67108864,-9805,43620378
4096,false,0,snappy,4,64,36,-1,-1,6,4,1,67108864,-11456,44583214
262144,true,200000,zstd,64,20,36,8,9,3,1,1,524288,-2576,45549317
8192,true,0,snappy,1,32,32,4,10,8,32,4,268435456,-12652,46511682
8192,true,40000,snappy,1,64,36,4,10,6,32,8,268435456,-7705,47476235
4096,true,0,lz4,1,20,32,8,9,0,1,2,134217728,-9835,48468891
8192,true,0,snappy,1,32,32,4,12,8,32,4,268435456,-9952,49432194
2048,true,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-10210,50423323
8192,false,0,zstd,4,32,32,4,10,8,32,4,268435456,-11946,51386553
4096,true,0,zstd,1,0,36,4,1,7,64,1,536870912,-12265,52349988
1024,true,0,zstd,4,20,36,-1,-1,7,4,1,67108864,-5553,53314411
2048,true,400000,zstd,2,2,32,-1,10,6,16,2,33554432,-9337,54282485
4096,true,0,zstd,2,256,36,4,9,8,32,4,33554432,-13777,55245570
4096,true,0,zstd,2,256,36,4,9,8,32,4,8388608,-9581,56208370
4096,false,160000,zstd,2,512,128,-1,5,7,1,2,33554432,-10030,57171372
2048,false,0,zstd,1,1024,32,128,4,7,32,1,33554432,-7734,58135241
8192,false,0,zstd,2,128,256,32,7,4,32,16,1073741824,-13049,59098768
8192,false,40000,zstd,2,128,256,32,7,4,32,2,1073741824,-12059,60062416
16384,true,0,zstd,1,0,256,8,7,9,32,16,1073741824,-10237,61025444
256,false,160000,zstd,128,64,16,8,0,3,8,2,64,-1160,62007406
4096,true,0,lz4,1,256,8,1,2,8,8,4,33554432,-10753,62970473
8192,false,0,zstd,2,512,1024,4,3,3,4,4,33554432,-11075,63934047
8192,true,0,zstd,2,256,8,2,10,8,32,4,268435456,-10770,64897013
4096,false,40000,zstd,2,128,36,16,2,0,32,2,33554432,-11352,65860770
131072,true,240000,zstd,32,2,32,2,9,9,4,16,1,-4102,66840562
4096,false,200000,zstd,2,128,36,256,8,8,32,8,33554432,-13543,67803670
4096,false,120000,zstd,2,256,36,32,9,8,32,8,33554432,-12633,68768788
4096,true,200000,zstd,1,2,1,32,9,7,32,8,67108864,-11215,69732309
2048,false,80000,lz4,2,0,36,1,6,4,1,16,1073741824,-10550,70694121
64,true,0,lz4,2,2,128,256,5,4,64,1,128,-56,71710344
4096,true,240000,zstd,1,512,512,16,8,5,64,8,33554432,-9990,72673252
4096,false,200000,zstd,4,0,16,256,7,6,128,8,33554432,-10946,73636672
65536,true,80000,zstd,2,128,36,256,9,7,4,4,268435456,-6508,74599837
8192,false,40000,zstd,2,512,2,16,6,7,8,8,134217728,-12030,75562870
1024,false,160000,lz4,2,256,4,64,9,6,8,2,33554432,-4643,76525343
4096,false,160000,zstd,2,32,64,2,9,15,32,32,67108864,-11909,77489378
4096,true,0,zstd,2,1024,36,4,9,8,64,4,33554432,-10384,78452487
4096,false,0,zstd,2,256,64,256,4,7,8,8,8388608,-11968,79416218
4096,true,40000,zstd,2,64,32,4,1,15,32,4,67108864,-11781,80379485
4096,false,200000,zstd,2,256,128,256,8,7,8,8,8388608,-10764,81342964
128,true,240000,zstd,128,1024,1,8,7,4,8,1,134217728,-832,82310952
4096,false,200000,zstd,2,20,36,128,12,11,32,32,33554432,-12335,83274327
8192,false,160000,zstd,2,64,128,256,5,8,32,8,33554432,-11787,84237904
32,true,400000,zstd,2,64,2,2,0,4,1,2,4,-38,85240911
8192,false,360000,zstd,4,256,36,32,8,10,32,8,1073741824,-11405,86204129
