block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-107021,956024
64,false,0,lz4,128,16,128,1,1,9,2,4,512,-9115,1926134
4096,false,120000,lz4,64,1,8,64,5,8,4,2,2097152,-30001,2885624
128,false,360000,snappy,4,2,256,32,0,6,64,8,524288,-25065,3859715
1,false,240000,snappy,16,256,512,4,7,4,1,2,1073741824,-140945,4814975
2048,false,240000,zstd,32,0,32,128,3,2,16,1,1,-4188,5799742
16,false,120000,zstd,64,1024,4,-1,9,3,16,32,33554432,-71633,6817615
524288,true,160000,lz4,2,8,64,8,11,10,128,8,268435456,-51810,7773567
512,true,80000,lz4,1,64,1,16,3,0,32,32,32,-3647,8754897
4,true,200000,snappy,256,128,1024,256,5,3,8,16,8192,-1090,9789328
65536,true,320000,snappy,32,32,2,2,2,7,2,1,2048,-9796,10757655
16384,true,40000,zstd,8,512,8,2,10,5,4,8,2097152,-17443,11719077
131072,true,320000,zstd,1,4,64,8,8,0,64,16,128,-4841,12699408
8192,false,400000,lz4,4,20,36,128,7,7,32,1,65536,-41289,13666705
1,false,40000,zstd,8,8,1,4,7,1,1,4,4,-273,14802164
1,true,240000,zstd,2,1024,1,64,4,8,16,2,1073741824,-2201,15820796
1,false,120000,snappy,16,512,1024,32,9,8,1,2,33554432,-73697,16778756
1,false,240000,snappy,8,32,1024,16,2,15,1,4,1073741824,-126338,17737133
1024,false,400000,zstd,2,32,2,64,3,5,1,4,64,-22737,18715136
1,false,120000,snappy,4,1,512,256,3,6,1,8,67108864,-89801,19675334
128,false,360000,snappy,1,64,512,4,6,5,8,32,1073741824,-137094,20635458
128,false,400000,snappy,128,32,1024,16,1,2,1,4,1073741824,-121290,21596340
128,false,400000,snappy,256,1024,512,4,6,4,4,16,536870912,-118820,22556101
1,false,320000,snappy,2,0,512,16,7,1,4,2,1073741824,-134849,23515521
16,false,320000,snappy,8,0,8,2,6,4,4,2,1073741824,-118223,24475145
1,false,320000,snappy,8,64,512,4,10,8,64,8,536870912,-114890,25434809
256,false,200000,lz4,1,1024,512,64,7,10,2,2,1073741824,-144431,26394766
131072,true,160000,lz4,256,32,1024,8,10,7,128,16,1,-4330,27384543
16,false,80000,zstd,256,512,128,64,5,7,8,4,65536,-5642,28382801
1,false,320000,snappy,2,0,128,16,7,1,4,2,1073741824,-138655,29341063
512,true,200000,snappy,64,256,128,128,4,8,64,32,1048576,-5151,30313792
64,false,400000,lz4,2,128,1,64,7,3,8,2,1073741824,-134333,31275876
32,false,240000,zstd,1,256,512,128,7,11,1,1,1073741824,-128741,32245761
512,false,280000,zstd,2,512,32,64,7,5,128,16,16777216,-76213,33218148
1,false,240000,zstd,4,512,512,4,7,4,1,4,1073741824,-118360,34221835
524288,true,120000,snappy,32,32,1,128,0,9,128,4,65536,-4967,35203923
1,false,200000,lz4,2,512,512,16,5,8,1,2,1073741824,-134021,36163946
32768,true,280000,lz4,64,20,36,256,6,8,16,2,16777216,-16818,37123696
256,false,200000,lz4,1,1024,512,64,7,10,16,2,1073741824,-132004,38083573
1024,false,400000,snappy,1,16,32,16,9,10,1,2,536870912,-137325,39041017
512,false,160000,lz4,1,1024,128,256,7,9,2,2,536870912,-134476,39999706
256,false,200000,zstd,1,1024,64,64,7,10,2,2,536870912,-127531,40980255
2048,false,400000,lz4,1,16,32,32,9,10,1,2,536870912,-132257,41939090
1024,false,240000,snappy,1,0,8,4,3,5,16,2,1073741824,-143719,42896563
