block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-13905,961136
2048,true,400000,lz4,128,16,32,8,8,0,8,8,16384,-4814,1940381
524288,true,400000,lz4,64,1,8,2,9,7,32,8,524288,-2312,2905220
32,true,80000,zstd,64,256,512,32,0,6,4,16,32768,-33,3924486
64,true,320000,zstd,16,20,64,1,11,2,16,2,262144,-37,4948630
8192,true,320000,snappy,4,0,1024,64,10,9,2,16,1,-927,5923920
1,true,240000,snappy,1,64,1,16,6,9,1,1,4096,-45,6921848
16384,false,160000,lz4,256,2,256,128,4,7,32,2,134217728,-1278,7884332
65536,false,80000,lz4,2,8,256,256,6,1,16,32,16,-5096,8861638
128,false,240000,zstd,16,4,4,2,1,5,64,32,33554432,-645,9830115
131072,false,200000,zstd,256,32,2,32,4,3,128,1,4194304,-708,10794732
256,false,160000,snappy,1,1024,36,-1,8,4,4,4,256,-795,11774203
8,false,0,snappy,8,512,8,128,3,10,2,16,1073741824,-514,12742606
1024,true,40000,lz4,8,128,36,4,2,1,128,4,64,-1238,13718592
1,true,0,snappy,1,1,512,-1,-1,12,1,8,536870912,-66,14703565
4096,false,0,snappy,1,20,1,-1,-1,10,16,1,16384,-1002,15680575
2048,true,40000,zstd,1,2,512,-1,-1,15,2,1,1024,-1346,16660810
2048,false,360000,snappy,1,64,128,32,-1,9,128,1,134217728,-10068,17623319
16384,false,80000,snappy,4,64,16,8,-1,5,1,16,67108864,-10214,18585624
16384,false,320000,lz4,4,8,2,16,-1,9,8,1,67108864,-9827,19548161
32768,false,400000,zstd,2,2,128,4,-1,14,16,8,268435456,-8794,20511618
2048,false,40000,snappy,1,256,32,-1,-1,12,2,16,67108864,-9825,21474025
64,false,0,lz4,4,16,64,1,-1,11,1,32,67108864,-1617,22438476
512,false,0,snappy,4,16,64,1,-1,7,2,1,134217728,-2767,23406301
4096,false,0,lz4,2,512,128,1,-1,9,2,4,536870912,-12760,24368743
16384,true,0,lz4,16,8,512,32,2,4,64,4,131072,-6744,25337404
262144,true,0,zstd,2,32,16,1,-1,15,2,2,268435456,-3371,26300882
2048,false,0,snappy,4,20,64,-1,-1,10,2,1,67108864,-9935,27263591
8,true,200000,snappy,2,64,64,16,10,1,64,2,536870912,-60,28260243
4096,false,0,snappy,4,20,36,-1,-1,7,2,1,16777216,-9950,29222248
2048,false,0,lz4,8,512,32,-1,-1,12,64,1,67108864,-983,30186336
4096,false,0,snappy,4,20,36,-1,0,7,2,1,16777216,-9363,31148123
4096,false,0,snappy,2,512,128,1,1,9,2,4,536870912,-12823,32110519
