block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-139227,956516
2048,true,120000,snappy,4,256,4,32,8,7,2,4,4,-6647,1931783
32768,true,400000,snappy,32,4,36,64,9,10,8,4,512,-28782,2897781
131072,true,120000,zstd,4,64,2,256,4,6,16,8,524288,-10888,3863281
32,true,0,zstd,128,512,32,16,0,3,2,32,262144,-1585,4990668
1024,true,40000,lz4,32,1,1024,8,11,9,2,16,65536,-3551,5968877
65536,true,280000,lz4,128,20,256,4,0,0,128,2,16384,-5795,6944670
1,false,200000,snappy,64,8,4,1,6,9,64,2,8388608,-42925,7903998
524288,false,40000,snappy,8,0,64,256,3,2,1,16,2048,-9607,8874897
128,false,320000,zstd,1,16,128,128,2,4,4,32,128,-33409,9851492
16,false,240000,zstd,2,1024,16,1,6,6,16,1,8,-2222,10836208
8192,false,240000,lz4,16,32,512,16,8,2,64,1,1073741824,-117870,11793009
512,false,360000,lz4,256,2,36,4,11,1,64,8,67108864,-98918,12749604
8,true,160000,snappy,1,128,1,-1,3,5,32,4,16777216,-2675,13772676
1,true,280000,lz4,8,1024,256,2,-1,5,64,1,67108864,-1161,14763797
1024,false,200000,lz4,128,16,32,16,-1,13,4,4,67108864,-112453,15724023
524288,false,80000,snappy,4,1024,1,1,4,14,8,8,67108864,-20852,16684259
512,false,320000,snappy,64,128,1024,128,-1,10,1,32,67108864,-93950,17642662
16384,false,160000,snappy,128,8,512,2,7,7,16,16,256,-13388,18614322
4,true,320000,lz4,2,2,16,4,7,5,64,32,131072,-684,19636055
1024,false,0,snappy,8,512,128,-1,8,11,16,8,67108864,-98830,20594816
64,false,40000,lz4,4,256,1,8,10,5,1,1,33554432,-113016,21554216
4096,false,0,snappy,1,20,36,-1,0,10,2,1,67108864,-205172,22511424
512,true,0,zstd,1,16,64,16,1,9,4,2,33554432,-2828,23527280
524288,false,360000,lz4,1,256,1,64,3,13,2,16,33554432,-29137,24486720
256,false,400000,snappy,1,8,128,128,1,5,16,1,134217728,-203364,25446161
1,false,0,zstd,1,0,1024,32,0,6,32,4,67108864,-139093,26415046
16384,false,80000,snappy,1,4,4,2,1,5,64,1,67108864,-159956,27373878
4096,false,400000,snappy,1,128,4,128,5,12,32,2,67108864,-206174,28331457
1,false,80000,snappy,1,64,16,256,4,15,8,2,67108864,-180018,29288557
128,false,240000,snappy,1,1024,1,16,10,8,32,1,67108864,-166643,30247768
32768,false,280000,snappy,1,512,64,32,1,6,8,2,134217728,-139883,31205529
4096,false,400000,snappy,1,4,36,128,6,2,128,2,134217728,-202493,32163994
8,false,80000,zstd,8,4,16,2,0,2,1,1,64,-2386,33152735
8,false,400000,zstd,1,64,32,2,-1,12,2,1,67108864,-112123,34122616
1024,false,320000,snappy,1,256,2,128,11,4,64,32,134217728,-178610,35080680
131072,true,320000,snappy,256,512,128,64,0,0,16,16,268435456,-9987,36041566
256,false,360000,snappy,1,4,4,64,2,13,64,16,67108864,-137978,37001360
262144,false,400000,snappy,1,1,512,128,6,12,4,2,134217728,-44574,37959781
256,false,400000,snappy,1,4,64,128,6,8,16,4,134217728,-199827,38917763
16384,false,400000,snappy,1,2,32,128,3,14,16,16,67108864,-121732,39876527
256,false,400000,snappy,1,32,1,256,8,10,64,8,67108864,-144153,40835446
4096,false,400000,snappy,1,4,128,128,6,0,8,2,134217728,-199593,41795729
256,false,400000,snappy,1,2,128,128,1,5,4,1,67108864,-192308,42755469
4096,false,400000,snappy,2,8,36,128,-1,7,128,2,268435456,-212190,43713997
4096,false,400000,snappy,2,1,36,128,6,0,8,2,268435456,-207503,44674990
4096,false,400000,snappy,2,1,512,128,6,0,8,2,268435456,-206141,45631171
1024,true,400000,snappy,2,20,64,128,1,10,8,2,268435456,-4739,46602552
64,false,400000,snappy,2,64,4,128,-1,10,128,2,536870912,-229921,47561634
2048,false,400000,zstd,2,20,256,128,0,14,128,2,536870912,-189369,48524022
4,false,360000,lz4,1,1,512,256,0,5,16,1,536870912,-232302,49482739
128,false,0,snappy,1,8,2,128,7,0,8,4,32,-31746,50463594
4,false,400000,lz4,1,1,512,256,0,5,4,1,536870912,-231936,51422149
16,false,360000,lz4,2,0,2,128,0,11,128,4,536870912,-240440,52379924
32,false,320000,lz4,2,0,128,256,0,7,8,1,536870912,-236819,53339163
4,false,360000,lz4,1,0,1024,16,10,15,4,2,1073741824,-258273,54299017
64,false,240000,lz4,2,1024,1024,4,9,15,128,4,1073741824,-269071,55257273
64,false,240000,lz4,2,1024,1024,4,9,15,128,8,1073741824,-264615,56214847
524288,false,80000,lz4,1,256,1024,-1,5,15,16,8,536870912,-33670,57174923
1024,false,120000,zstd,128,0,8,16,2,7,32,4,16,-13404,58148995
128,false,280000,zstd,2,20,512,8,7,15,32,4,1073741824,-219430,59117440
64,false,240000,lz4,2,1024,1024,1,9,15,128,1,1073741824,-253367,60080352
4,false,360000,lz4,1,0,1024,16,10,15,4,8,536870912,-234179,61039495
1,false,0,lz4,2,1,1024,4,10,4,128,1,1073741824,-257804,62006360
64,false,120000,lz4,2,64,512,64,1,13,128,32,1073741824,-266936,62965992
64,false,120000,lz4,2,128,512,64,1,13,64,32,1073741824,-263425,63925149
1,false,160000,lz4,2,1024,2,2,3,14,128,32,536870912,-244173,64884246
64,false,240000,lz4,1,64,1024,4,9,15,128,8,1073741824,-265586,65843724
65536,false,80000,zstd,8,4,1,1,0,5,2,32,134217728,-39794,66804354
64,false,280000,lz4,2,1024,1024,-1,9,15,8,4,1073741824,-255818,67763634
8192,false,240000,lz4,64,2,32,128,0,9,1,2,67108864,-86872,68721226
64,true,40000,lz4,2,128,256,4,9,10,128,4,1073741824,-776,69743096
64,false,0,lz4,2,1024,512,4,7,10,64,4,1073741824,-251268,70703006
65536,false,120000,zstd,256,1024,2,1,10,7,8,2,65536,-2765,71709726
64,false,240000,lz4,2,1024,1024,-1,9,15,128,8,1073741824,-258064,72668987
64,false,40000,lz4,2,64,512,64,1,13,128,32,1073741824,-262315,73626757
8192,false,320000,lz4,2,128,512,4,10,1,128,4,1073741824,-241784,74584971
32,false,160000,lz4,2,64,512,16,9,15,128,32,67108864,-139062,75541705
128,false,360000,lz4,2,64,1,-1,6,8,16,16,1073741824,-262225,76501529
4,false,40000,snappy,1,2,2,64,5,10,1,4,8388608,-66085,77465580
64,false,240000,lz4,2,256,64,8,9,15,128,8,1073741824,-264512,78423990
262144,false,200000,lz4,2,16,1024,8,6,7,128,4,1073741824,-57923,79382398
32768,false,120000,lz4,1,16,32,32,10,8,1,8,1073741824,-172101,80340917
16,false,240000,lz4,2,1024,32,4,0,14,2,4,1073741824,-257779,81307076
64,false,160000,lz4,2,64,1024,4,9,15,128,4,1073741824,-266645,82265881
16,true,200000,zstd,32,1024,64,128,0,2,4,16,512,-620,83426331
64,false,240000,lz4,4,1024,1024,4,9,15,128,4,1073741824,-130239,84384703
64,false,240000,lz4,2,64,1,8,-1,15,128,2,1073741824,-250646,85342890
512,false,240000,lz4,2,64,1,4,9,14,128,4,1073741824,-268271,86300860
64,false,120000,lz4,2,64,1024,64,1,13,128,8,1073741824,-261343,87259020
512,false,240000,lz4,2,64,1,4,9,6,128,4,1073741824,-269802,88215707
512,false,80000,lz4,2,64,64,4,9,6,128,4,1073741824,-274437,89171965
512,false,280000,lz4,1,128,8,4,0,6,128,4,1073741824,-262732,90130099
512,false,120000,lz4,2,64,512,64,3,5,128,32,1073741824,-270728,91087647
1024,false,240000,lz4,2,1024,1024,4,9,15,128,4,1073741824,-274931,92044496
512,false,160000,lz4,1,1024,32,128,4,5,128,4,1073741824,-274478,93001334
