block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,time,status,seed
4096,False,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-13881,0.1,SUCCESS,1
128,True,360000,lz4,64,64,128,256,10,1,16,1,262144,-106,0.1,SUCCESS,1
32,True,280000,lz4,8,32,512,1,9,3,32,32,4,-57,0.1,SUCCESS,1
32768,True,240000,lz4,8,0,16,-1,3,10,128,16,536870912,-1269,0.1,SUCCESS,1
16384,True,240000,lz4,16,512,4,1,8,7,1,1,8192,-3138,0.1,SUCCESS,1
4,True,80000,lz4,8,1024,512,4,6,1,64,1,1048576,-57,0.1,SUCCESS,1
4096,True,200000,lz4,16,0,4,1,5,10,1,4,512,-1739,0.1,SUCCESS,1
8192,True,120000,lz4,128,128,8,8,11,9,32,8,2097152,-1089,0.1,SUCCESS,1
4096,True,80000,lz4,4,4,256,16,6,6,2,1,1024,-1106,0.1,SUCCESS,1
2048,True,200000,lz4,256,8,1,256,1,0,64,16,67108864,-1108,0.1,SUCCESS,1
32768,True,160000,lz4,8,20,16,32,4,5,4,16,1,-4106,0.1,SUCCESS,1
256,True,120000,lz4,128,20,8,1,5,4,1,8,16384,-119,0.1,SUCCESS,1
1024,True,320000,lz4,8,32,256,128,0,5,8,1,2048,-1184,0.1,SUCCESS,1
64,True,320000,lz4,256,1024,1024,2,8,10,4,8,8192,-67,0.1,SUCCESS,1
32768,True,280000,lz4,64,1024,128,64,10,10,64,16,1,-5792,0.1,SUCCESS,1
524288,True,40000,lz4,4,64,256,64,3,1,8,2,262144,-2753,0.1,SUCCESS,1
1024,True,0,lz4,4,4,32,64,9,8,16,8,524288,-3787,0.1,SUCCESS,1
512,True,400000,lz4,128,512,16,256,0,4,8,2,4096,-228,0.1,SUCCESS,1
512,True,240000,lz4,16,512,1,1,9,2,4,1,1,-211,0.1,SUCCESS,1
131072,True,320000,lz4,64,128,256,-1,10,10,32,4,16,-4734,0.1,SUCCESS,1
8,True,320000,lz4,256,2,2,128,8,8,4,4,131072,-51,0.1,SUCCESS,1
524288,True,160000,lz4,128,2,128,256,8,5,1,2,134217728,-1049,0.1,SUCCESS,1
131072,True,320000,snappy,256,1,64,64,9,1,64,8,8192,-4360,0.1,SUCCESS,1
4096,True,40000,snappy,4,1,1,256,4,3,16,2,1048576,-6200,0.1,SUCCESS,1
65536,True,80000,snappy,256,8,1,16,0,6,32,16,4096,-5562,0.1,SUCCESS,1
2048,True,40000,snappy,64,2,4,64,5,1,32,8,1073741824,-728,0.1,SUCCESS,1
65536,True,40000,snappy,16,32,8,2,0,1,4,32,256,-4051,0.1,SUCCESS,1
256,True,200000,snappy,32,2,128,16,0,8,1,2,256,-107,0.1,SUCCESS,1
4096,True,200000,snappy,4,4,2,-1,8,9,128,16,4194304,-12109,0.1,SUCCESS,1
65536,True,360000,snappy,1,0,1024,2,2,6,128,4,67108864,-8482,0.1,SUCCESS,1
131072,True,160000,snappy,1,20,1024,2,6,9,8,32,4,-3432,0.1,SUCCESS,1
64,True,0,snappy,256,8,512,4,7,4,2,16,134217728,-72,0.1,SUCCESS,1
256,True,40000,snappy,32,512,1024,256,9,1,2,4,65536,-112,0.1,SUCCESS,1
16,True,80000,snappy,2,8,2,256,4,0,32,8,16,-62,0.1,SUCCESS,1
65536,True,120000,snappy,2,16,64,128,11,6,32,16,128,-5304,0.1,SUCCESS,1
4,True,200000,snappy,1,32,512,16,1,10,4,8,131072,-54,0.1,SUCCESS,1
1,True,320000,snappy,32,16,32,2,6,5,128,8,67108864,-92,0.1,SUCCESS,1
262144,True,400000,snappy,4,16,64,4,6,9,64,8,1073741824,-4591,0.1,SUCCESS,1
8,True,400000,snappy,2,16,32,2,4,8,16,32,8388608,-53,0.1,SUCCESS,1
128,True,280000,snappy,16,16,36,-1,0,0,128,4,8388608,-307,0.1,SUCCESS,1
16,True,200000,snappy,64,128,4,128,9,4,32,16,16777216,-199,0.1,SUCCESS,1
64,True,240000,snappy,8,128,4,32,4,7,1,1,33554432,-104,0.1,SUCCESS,1
16,True,360000,snappy,2,64,256,128,8,3,16,1,512,-42,0.1,SUCCESS,1
524288,True,320000,zstd,8,32,64,16,8,10,128,1,524288,-1803,0.1,SUCCESS,1
4096,True,160000,zstd,1,128,64,256,6,5,128,1,32,-713,0.1,SUCCESS,1
524288,True,280000,zstd,8,1,8,8,5,2,64,4,512,-1855,0.1,SUCCESS,1
128,True,0,zstd,8,32,64,64,6,0,64,32,32768,-61,0.1,SUCCESS,1
65536,True,0,zstd,16,0,32,-1,9,2,2,16,256,-2993,0.1,SUCCESS,1
4,True,0,zstd,64,128,512,128,5,10,16,4,134217728,-55,0.1,SUCCESS,1
16384,True,360000,zstd,32,1024,1024,128,7,1,32,4,1,-5844,0.1,SUCCESS,1
4,True,400000,zstd,1,4,64,32,1,2,1,32,268435456,-42,0.1,SUCCESS,1
262144,True,0,zstd,16,16,64,32,5,8,2,8,131072,-3118,0.1,SUCCESS,1
16,True,0,zstd,32,1,128,128,10,9,4,16,8192,-39,0.1,SUCCESS,1
8,True,360000,zstd,128,1024,8,32,11,1,128,1,16384,-32,0.1,SUCCESS,1
1,True,200000,zstd,64,128,4,4,11,4,16,4,4194304,-199,0.1,SUCCESS,1
256,True,40000,zstd,2,256,32,-1,8,7,128,4,1073741824,-96,0.1,SUCCESS,1
1,True,40000,zstd,32,256,1024,8,8,2,128,2,64,-40,0.1,SUCCESS,1
32,True,280000,zstd,4,32,256,1,3,7,2,2,16,-37,0.1,SUCCESS,1
8,True,120000,zstd,1,64,32,64,2,6,128,32,4096,-34,0.1,SUCCESS,1
1024,True,360000,zstd,4,128,128,1,0,10,8,2,2097152,-3313,0.1,SUCCESS,1
65536,True,40000,zstd,128,8,128,4,10,0,16,4,32,-4560,0.1,SUCCESS,1
262144,True,320000,zstd,16,8,36,8,8,1,32,2,256,-3197,0.1,SUCCESS,1
32,True,240000,zstd,4,16,2,1,3,6,16,2,64,-38,0.1,SUCCESS,1
65536,True,40000,zstd,64,20,8,-1,2,0,16,16,32768,-5392,0.1,SUCCESS,1
8192,False,280000,lz4,256,0,64,-1,4,9,1,2,2048,-4309,0.1,SUCCESS,1
32,False,280000,lz4,4,32,512,128,4,3,2,16,2048,-1068,0.1,SUCCESS,1
8192,False,200000,lz4,1,1024,8,128,2,10,8,32,32,-1766,0.1,SUCCESS,1
128,False,320000,lz4,1,1,2,16,5,4,128,32,262144,-1878,0.1,SUCCESS,1
8,False,160000,lz4,2,256,256,64,9,1,8,4,65536,-1186,0.1,SUCCESS,1
1024,False,80000,lz4,64,512,1024,16,2,6,4,8,16777216,-936,0.1,SUCCESS,1
256,False,360000,lz4,128,1,16,-1,0,2,8,16,65536,-1693,0.1,SUCCESS,1
128,False,0,lz4,128,512,1,128,9,4,32,8,32768,-1718,0.1,SUCCESS,1
64,False,400000,lz4,4,64,32,8,7,7,4,16,1024,-1297,0.1,SUCCESS,1
256,False,160000,lz4,32,20,36,8,5,0,16,4,16777216,-558,0.1,SUCCESS,1
8192,False,0,lz4,128,4,16,1,5,3,128,32,2048,-7412,0.1,SUCCESS,1
32768,False,320000,lz4,128,4,512,64,8,5,4,8,65536,-5152,0.1,SUCCESS,1
8192,False,80000,lz4,1,4,36,32,0,2,1,8,33554432,-11976,0.1,SUCCESS,1
1024,False,400000,lz4,32,8,32,8,10,10,64,16,16384,-3637,0.1,SUCCESS,1
64,False,360000,lz4,256,2,36,32,3,5,4,2,16384,-1026,0.1,SUCCESS,1
131072,False,120000,lz4,128,32,8,1,1,6,2,32,33554432,-1330,0.1,SUCCESS,1
16384,False,80000,lz4,16,256,1,4,11,0,4,2,131072,-6243,0.1,SUCCESS,1
512,False,360000,lz4,256,4,2,32,5,9,1,1,536870912,-915,0.1,SUCCESS,1
262144,False,240000,lz4,256,64,32,4,11,2,4,8,1073741824,-1294,0.1,SUCCESS,1
8192,False,400000,lz4,2,64,64,8,6,7,8,16,1024,-2479,0.1,SUCCESS,1
256,False,280000,lz4,4,1024,4,32,0,8,4,2,8,-1054,0.1,SUCCESS,1
16,False,280000,snappy,32,16,256,8,10,2,128,32,33554432,-502,0.1,SUCCESS,1
131072,False,320000,snappy,2,0,16,32,0,0,32,8,128,-4960,0.1,SUCCESS,1
128,False,80000,snappy,8,64,512,-1,7,7,4,32,536870912,-849,0.1,SUCCESS,1
4,False,160000,snappy,256,64,1,256,7,7,1,4,16,-1230,0.1,SUCCESS,1
1,False,80000,snappy,4,20,1,8,2,6,8,8,32,-1306,0.1,SUCCESS,1
32768,False,240000,snappy,8,20,4,8,11,4,2,1,2097152,-7675,0.1,SUCCESS,1
32,False,400000,snappy,32,64,32,2,9,1,1,1,128,-910,0.1,SUCCESS,1
32,False,0,snappy,1,2,2,4,5,5,2,4,262144,-542,0.1,SUCCESS,1
1024,False,120000,snappy,1,4,1,16,1,1,8,2,1048576,-1544,0.1,SUCCESS,1
4,False,400000,snappy,16,2,16,-1,2,9,64,1,2097152,-1473,0.1,SUCCESS,1
32,False,120000,snappy,1,512,128,64,1,0,64,8,268435456,-1395,0.1,SUCCESS,1
524288,False,280000,snappy,32,256,4,4,4,4,2,1,8,-2200,0.1,SUCCESS,1
2048,False,80000,snappy,2,4,16,2,3,9,2,2,524288,-1619,0.1,SUCCESS,1
131072,False,200000,snappy,128,16,16,32,2,8,8,32,268435456,-1243,0.1,SUCCESS,1
16384,False,80000,snappy,64,8,2,2,3,6,32,2,4,-5556,0.1,SUCCESS,1
2048,False,360000,snappy,64,512,1,4,1,8,16,16,4194304,-718,0.1,SUCCESS,1
8,False,120000,snappy,8,20,256,32,2,3,32,2,4,-960,0.1,SUCCESS,1
512,False,120000,snappy,32,1024,1024,-1,7,5,16,4,2048,-1775,0.1,SUCCESS,1
512,False,240000,snappy,16,0,2,1,3,3,128,8,32768,-1701,0.1,SUCCESS,1
16384,False,360000,snappy,16,1,4,4,7,9,8,4,524288,-6486,0.1,SUCCESS,1
8192,False,160000,snappy,128,8,256,16,7,2,128,16,16384,-4815,0.1,SUCCESS,1
16384,False,400000,zstd,8,256,2,16,10,3,2,4,8388608,-6341,0.1,SUCCESS,1
4096,False,120000,zstd,1,256,36,2,9,3,16,32,512,-1155,0.1,SUCCESS,1
32768,False,40000,zstd,256,4,256,32,3,9,16,2,1073741824,-764,0.1,SUCCESS,1
512,False,240000,zstd,32,1024,1,256,5,4,1,32,8388608,-624,0.1,SUCCESS,1
1,False,240000,zstd,128,2,1024,4,10,3,16,8,67108864,-749,0.1,SUCCESS,1
4096,False,280000,zstd,16,128,256,8,7,5,64,2,32,-2111,0.1,SUCCESS,1
1,False,160000,zstd,2,2,64,-1,11,5,1,2,64,-750,0.1,SUCCESS,1
128,False,0,zstd,32,20,128,128,2,2,32,32,8,-1546,0.1,SUCCESS,1
262144,False,360000,zstd,256,512,512,1,1,8,64,1,8,-2783,0.1,SUCCESS,1
4,False,160000,zstd,64,16,1024,2,3,8,8,1,268435456,-583,0.1,SUCCESS,1
16,False,400000,zstd,2,1,16,4,6,3,32,32,67108864,-1646,0.1,SUCCESS,1
524288,False,160000,zstd,64,1024,36,16,7,8,64,16,128,-1852,0.1,SUCCESS,1
1024,False,200000,zstd,2,256,36,2,3,10,8,32,1024,-1350,0.1,SUCCESS,1
64,False,240000,zstd,4,128,512,8,11,6,64,4,65536,-1058,0.1,SUCCESS,1
524288,False,200000,zstd,2,0,1024,256,6,4,2,2,16777216,-1928,0.1,SUCCESS,1
2048,False,160000,zstd,64,32,16,32,11,0,64,1,524288,-5245,0.1,SUCCESS,1
2048,False,120000,zstd,8,256,36,64,6,3,8,4,512,-1882,0.1,SUCCESS,1
262144,False,120000,zstd,256,512,32,8,11,7,1,1,536870912,-1231,0.1,SUCCESS,1
8,False,40000,zstd,32,2,8,1,10,6,2,1,8388608,-313,0.1,SUCCESS,1
4096,False,320000,zstd,1,20,2,256,1,8,1,8,134217728,-10390,0.1,SUCCESS,1
65536,False,80000,zstd,256,1,8,64,4,7,16,16,64,-4529,0.1,SUCCESS,1
512,True,360000,lz4,2,0,36,16,1,7,4,16,4194304,-246,0.1,SUCCESS,1
262144,True,0,snappy,1,0,128,128,4,4,64,32,1048576,-3362,0.1,SUCCESS,1
1,True,240000,zstd,8,256,8,128,1,9,2,32,4,-28,0.1,SUCCESS,1
4096,True,160000,snappy,1,256,8,16,-1,10,32,1,512,-803,0.1,SUCCESS,1
