shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,cost,time,status,seed
4096,6990,1.1,200,8,2,4,4,5,0.9,2016383,1024,8192,100,200,100,1000,-1107.0549189724852,0.1,SUCCESS,1
1024,10240,3.0,300,24,8,4,4,10,0.9,2016383,12800,12800,1000,250,75,1000,-1104.5374796105427,0.1,SUCCESS,1
1024,12288,3.0,200,8,2,4,4,10,0.9,524288,1536,10752,2000,200,115,3000,-1064.7638695898886,0.1,SUCCESS,1
3072,27648,0.5,1,4,16,4,4,10,0.9,524288,8704,15872,50,200,115,500,-1098.1146013551167,0.1,SUCCESS,1
4608,19456,1.0,200,8,2,8,10,5,0.9,2016383,13824,14848,1500,500,75,1000,-1004.5997861173568,0.1,SUCCESS,1
1280,8192,4.5,100,32,4,4,10,10,0.9,3145728,14848,12800,1500,300,95,500,-1071.527471984189,0.1,SUCCESS,1
3584,10240,8.0,200,16,2,4,4,5,0.9,4194304,14848,10752,1500,250,75,8000,-1102.7654738585538,0.1,SUCCESS,1
1024,10240,4.5,200,64,16,8,4,5,0.9,6291456,512,5632,1500,300,100,500,-1008.7425791435816,0.1,SUCCESS,1
1280,8192,8.0,1,8,16,4,4,5,0.9,2016383,14848,13824,500,150,115,8000,-1091.728298107551,0.1,SUCCESS,1
2048,13312,0.5,200,64,1,4,4,10,0.9,4194304,9728,1536,100,500,75,500,-1121.3662519330962,0.1,SUCCESS,1
6144,11264,0.1,200,32,8,4,10,10,0.9,524288,1536,8192,1500,150,100,1000,-1093.0712693826267,0.1,SUCCESS,1
896,15360,8.0,1,64,4,4,4,5,0.9,4194304,13824,1536,1000,250,125,1000,-1011.2365739376294,0.1,SUCCESS,1
1536,6990,4.5,400,32,4,4,4,5,0.9,524288,11776,8704,2000,300,125,500,-1036.9823836002308,0.1,SUCCESS,1
3072,5120,4.0,200,16,1,8,10,5,0.9,4194304,5632,15872,500,300,85,6000,-1124.345559093146,0.1,SUCCESS,1
6656,12288,6.5,200,32,16,8,4,5,0.9,8388608,2560,8704,500,200,75,8000,-1077.270154421949,0.1,SUCCESS,1
