shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,Throughput,Timestamp
4096,6990,1.1,200,8,2,4,4,5,0.9,2016383,1024,8192,100,200,100,1000,-350.66822817202285,1490636
4096,10240,2,200,4,1,4,4,10,0.9,2016383,11776,6656,2000,500,100,500,-194.7764742810736,3320327
7168,17408,2.5,200,20,16,8,10,10,0.9,6291456,512,512,50,300,115,1000,-342.99663027129424,5109003
2048,14336,3,100,16,16,4,4,10,0.9,2016383,2560,3584,50,500,95,3000,-332.6489951334648,7263788
1536,6144,4.5,400,20,8,4,10,5,0.9,1572864,11776,13824,50,150,125,500,-196.24820527876275,9239564
896,11264,1,300,8,1,8,4,10,0.9,3145728,2560,11776,100,250,125,3000,-148.976854948346,11043395
7168,17408,1.1,200,16,16,4,10,5,0.9,1048576,6656,9728,1500,300,75,3000,-277.8844472180102,13003749
896,23552,1.5,200,8,1,8,4,10,0.9,1048576,8704,7680,2000,250,75,3000,-225.7582998300491,15094237
6656,27648,1.5,400,64,2,8,4,5,0.9,3145728,15872,11776,100,300,125,1000,-169.46499447600607,16898693
1536,7168,7.5,400,4,4,8,4,5,0.9,1048576,3584,9728,500,250,115,8000,-228.1679901816056,18751458
640,11264,4,300,32,16,4,10,5,0.9,1572864,15872,13824,50,150,115,3000,-137.33781058382638,20886149
1792,12288,3,300,24,2,8,10,5,0.9,1048576,14848,3584,500,500,75,3000,-133.73316922624093,22891235
6656,12288,1.5,100,32,8,8,4,5,0.9,1572864,6656,10752,2000,300,115,500,-244.86806249823718,24961863
1536,25600,4.5,300,8,2,4,10,5,0.9,1572864,4608,1536,500,250,125,500,-256.848691077115,27056990
1536,4096,5.5,300,64,1,8,4,5,0.9,1048576,8704,512,2000,150,75,500,-181.204705744905,28966075
4608,51200,2.5,200,16,2,4,4,5,0.9,4194304,3584,6656,100,250,125,8000,-273.0083032228786,30792357
2048,30720,5,200,4,4,8,10,5,0.9,1572864,10752,8192,500,500,100,8000,-264.3032681046083,32883776
640,12288,1.1,100,32,16,4,10,5,0.9,2016383,512,11776,100,250,115,500,-110.98154318175786,35261593
640,12288,5.5,300,32,2,8,4,10,0.9,6291456,8704,9728,100,300,75,1000,-124.85701769142985,37467874
6144,17408,0.1,400,20,8,8,10,10,0.9,524288,1536,2560,100,500,95,1000,-343.9877763913243,39646599
2048,11264,0.5,200,16,8,8,10,5,0.9,524288,1024,8704,500,150,100,1000,-224.8635743672267,41713367
2048,14336,2.0,1,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-421.14486533191024,43701316
896,14336,2.0,1,32,8,8,10,10,0.9,524288,512,6656,1000,500,85,500,-223.352678593901,45474352
2048,13312,2.0,1,32,8,8,10,10,0.9,2016383,2560,4608,100,150,85,500,-315.86146971387944,47543901
6144,14336,1.0,200,32,8,4,4,10,0.9,2016383,1024,1536,100,300,115,500,-325.8469555197251,49664755
3584,13312,0.1,400,64,8,8,10,10,0.9,524288,10752,512,50,150,95,500,-205.21331001289278,51533847
4096,46080,4.0,1,8,8,4,10,5,0.9,2016383,512,512,50,150,75,8000,-295.96293994087335,53370547
4608,14336,0.5,200,4,1,8,10,10,0.9,1048576,1024,512,50,150,115,500,-344.84026605254985,55418418
2048,14336,3.0,1,20,16,8,4,5,0.9,524288,1536,512,50,200,95,1000,-261.74057440036114,57465880
8192,9216,1.1,1,24,4,8,10,10,0.9,1048576,2560,512,500,150,85,1000,-0.0,59333850
7680,17408,1.1,1,4,8,8,4,10,0.9,2016383,2560,512,100,500,115,500,-230.02328667425974,61044233
1024,13312,8.0,1,32,4,8,10,10,0.9,2016383,2560,512,50,150,75,3000,-123.09660503958233,63394907
2048,10240,4.5,400,32,1,8,10,5,0.9,8388608,13824,7680,100,500,85,500,-180.44481521909586,65485113
8192,29696,2.5,1,32,2,8,4,10,0.9,1572864,1024,512,100,150,85,500,-0.0,68008793
7168,51200,1.5,1,24,16,8,4,10,0.9,2016383,1536,512,1500,150,75,6000,-256.8332301698456,69789627
3584,15360,7.0,1,64,4,8,10,10,0.9,1572864,6656,2560,1000,150,85,3000,-237.2281214459198,71795605
2048,14336,3.5,1,32,4,8,4,10,0.9,1048576,2560,512,50,150,75,8000,-273.10150954818204,74009356
2048,35840,1.1,1,24,2,4,10,10,0.9,1048576,1024,2560,100,150,85,500,-239.03839680985934,76190970
3584,14336,1.5,100,16,2,4,4,10,0.9,3145728,512,4608,100,150,95,1000,-173.13980797265893,78470317
2048,21504,2.5,1,32,8,4,4,10,0.9,2016383,1536,512,100,150,115,3000,-128.67332652651436,80927958
7680,14336,6.5,200,32,8,8,10,10,0.9,2016383,5632,6656,100,150,100,500,-244.86992214605695,83330926
2560,4096,4.5,1,32,2,8,10,10,0.9,2016383,2560,512,50,150,115,500,-191.4965835261908,85528886
4096,14336,2.0,100,24,16,8,10,10,0.9,3145728,6656,512,100,150,75,500,-222.78822490267558,87905382
2048,6990,0.5,100,32,16,8,4,5,0.9,2016383,2560,2560,1500,150,75,500,-179.1147672347131,90280671
7680,29696,0.1,400,24,1,8,4,10,0.9,524288,512,6656,50,200,125,1000,-159.50909702356523,92426358
1536,14336,1.0,1,24,8,8,4,10,0.9,1572864,2560,512,50,250,85,500,-197.47838408362426,94785298
8192,6990,6.5,100,8,2,8,10,5,0.9,524288,1024,3584,100,150,100,6000,-0.0,97149765
2048,14336,3.0,1,32,4,4,4,10,0.9,2016383,512,1536,100,150,85,500,-225.198084893709,98556357
3584,14336,7.0,1,32,8,4,10,5,0.9,1048576,4608,14848,2000,300,100,1000,-182.02829235997825,100564895
2048,14336,2.0,1,32,8,8,4,10,0.9,2016383,2560,512,100,150,100,500,-313.3180272795845,102745650
2048,14336,2.0,1,32,8,4,4,10,0.9,2016383,2560,512,100,150,85,500,-242.51590806623932,104659462
