block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-13881,961463
128,true,360000,lz4,64,64,128,256,10,1,16,1,262144,-106,1943967
32,true,280000,lz4,8,32,512,1,9,3,32,32,4,-57,2953351
32768,true,240000,lz4,8,0,16,-1,3,10,128,16,536870912,-1269,3916522
16384,true,240000,lz4,16,512,4,1,8,7,1,1,8192,-3138,4890694
4,true,80000,lz4,8,1024,512,4,6,1,64,1,1048576,-57,5883360
4096,true,200000,lz4,16,0,4,1,5,10,1,4,512,-1739,6858375
8192,true,120000,lz4,128,128,8,8,11,9,32,8,2097152,-1089,7824817
4096,true,80000,lz4,4,4,256,16,6,6,2,1,1024,-1106,8800908
2048,true,200000,lz4,256,8,1,256,1,0,64,16,67108864,-1108,9764541
32768,true,160000,lz4,8,20,16,32,4,5,4,16,1,-4106,10740752
256,true,120000,lz4,128,20,8,1,5,4,1,8,16384,-119,11728002
1024,true,320000,lz4,8,32,256,128,0,5,8,1,2048,-1184,12704127
64,true,320000,lz4,256,1024,1024,2,8,10,4,8,8192,-67,13694203
32768,true,280000,lz4,64,1024,128,64,10,10,64,16,1,-5792,14668325
524288,true,40000,lz4,4,64,256,64,3,1,8,2,262144,-2753,15635465
1024,true,0,lz4,4,4,32,64,9,8,16,8,524288,-3787,16599697
512,true,400000,lz4,128,512,16,256,0,4,8,2,4096,-228,17584385
512,true,240000,lz4,16,512,1,1,9,2,4,1,1,-211,18566752
131072,true,320000,lz4,64,128,256,-1,10,10,32,4,16,-4734,19541056
8,true,320000,lz4,256,2,2,128,8,8,4,4,131072,-51,20551162
524288,true,160000,lz4,128,2,128,256,8,5,1,2,134217728,-1049,21513781
131072,true,320000,snappy,256,1,64,64,9,1,64,8,8192,-4360,22488409
4096,true,40000,snappy,4,1,1,256,4,3,16,2,1048576,-6200,23451471
65536,true,80000,snappy,256,8,1,16,0,6,32,16,4096,-5562,24425055
2048,true,40000,snappy,64,2,4,64,5,1,32,8,1073741824,-728,25392210
65536,true,40000,snappy,16,32,8,2,0,1,4,32,256,-4051,26370370
256,true,200000,snappy,32,2,128,16,0,8,1,2,256,-107,27357629
