block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,time,status,seed
4096,False,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-135705,0.1,SUCCESS,1
8192,True,280000,lz4,256,4,256,256,9,10,16,1,16384,-6476,0.1,SUCCESS,1
16,True,360000,lz4,1,0,32,256,5,9,4,8,67108864,-2796,0.1,SUCCESS,1
512,False,0,lz4,128,4,1,-1,9,9,64,2,512,-19140,0.1,SUCCESS,1
512,False,40000,lz4,256,20,4,64,3,12,1,2,67108864,-104439,0.1,SUCCESS,1
512,True,200000,zstd,128,512,1,2,3,6,64,8,128,-796,0.1,SUCCESS,1
262144,True,80000,zstd,64,1024,64,1,3,12,16,1,8388608,-1623,0.1,SUCCESS,1
262144,True,320000,zstd,256,128,8,128,10,9,8,1,64,-2241,0.1,SUCCESS,1
32,True,360000,snappy,64,20,16,16,9,10,2,32,2097152,-1032,0.1,SUCCESS,1
32768,False,360000,lz4,32,32,2,16,1,5,32,8,1,-28052,0.1,SUCCESS,1
16384,True,400000,zstd,16,512,256,256,10,8,2,16,131072,-13312,0.1,SUCCESS,1
262144,True,400000,lz4,4,1024,64,16,7,8,2,32,512,-13199,0.1,SUCCESS,1
65536,False,0,zstd,16,32,16,64,9,9,8,8,1048576,-13451,0.1,SUCCESS,1
256,True,160000,zstd,64,8,1024,1,4,12,4,1,262144,-1480,0.1,SUCCESS,1
1,True,0,lz4,16,128,32,-1,-1,6,16,32,134217728,-1168,0.1,SUCCESS,1
1,False,320000,zstd,128,512,4,32,3,11,1,16,134217728,-102550,0.1,SUCCESS,1
1,False,320000,zstd,2,0,64,128,-1,12,2,16,67108864,-114389,0.1,SUCCESS,1
1,False,280000,zstd,2,128,1024,64,3,13,1,2,8388608,-48070,0.1,SUCCESS,1
1,False,280000,snappy,8,128,4,256,4,5,1,1,1073741824,-126351,0.1,SUCCESS,1
256,False,40000,snappy,16,128,256,64,8,8,1,1,67108864,-99467,0.1,SUCCESS,1
4096,False,0,snappy,4,20,36,-1,-1,10,2,1,33554432,-130858,0.1,SUCCESS,1
16384,False,0,zstd,1,0,32,32,10,9,1,1,33554432,-82452,0.1,SUCCESS,1
4,False,240000,snappy,4,64,128,-1,2,12,4,1,67108864,-134405,0.1,SUCCESS,1
32,False,0,snappy,64,1,8,1,2,9,4,16,33554432,-87532,0.1,SUCCESS,1
64,False,400000,lz4,32,128,4,-1,-1,13,4,32,1,-12137,0.1,SUCCESS,1
1,False,160000,lz4,256,20,256,-1,3,12,1,1,536870912,-126706,0.1,SUCCESS,1
1,False,160000,lz4,64,512,256,-1,0,12,64,1,33554432,-70935,0.1,SUCCESS,1
64,False,360000,snappy,4,256,128,-1,0,5,1,4,134217728,-148778,0.1,SUCCESS,1
32,False,400000,snappy,8,20,128,-1,1,6,128,2,1073741824,-126811,0.1,SUCCESS,1
8,False,80000,snappy,2,256,2,-1,7,12,32,4,67108864,-161690,0.1,SUCCESS,1
128,False,200000,snappy,1,1024,1,-1,7,6,128,32,1073741824,-254058,0.1,SUCCESS,1
8,False,360000,lz4,16,1024,1,-1,3,11,1,32,1073741824,-126908,0.1,SUCCESS,1
64,False,360000,lz4,4,20,256,8,0,9,4,1,4096,-44423,0.1,SUCCESS,1
32,False,200000,snappy,1,1024,1,-1,7,6,128,32,1073741824,-251802,0.1,SUCCESS,1
4,False,80000,snappy,32,1024,2,8,3,5,16,32,268435456,-118694,0.1,SUCCESS,1
32,False,280000,snappy,1,20,1,32,2,15,128,32,536870912,-230684,0.1,SUCCESS,1
32,False,80000,snappy,1,2,1,4,7,15,128,1,16777216,-102586,0.1,SUCCESS,1
128,False,200000,zstd,1,1024,1,-1,7,6,128,32,1073741824,-217375,0.1,SUCCESS,1
1,False,40000,lz4,256,128,1024,256,3,6,64,2,131072,-8993,0.1,SUCCESS,1
16,True,320000,snappy,1,256,1,16,7,6,128,16,536870912,-647,0.1,SUCCESS,1
