block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,time,status,seed
4096,False,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-136027,0.1,SUCCESS,1
8,False,0,zstd,4,2,1024,4,3,9,1,2,8192,-945,0.1,SUCCESS,1
2048,False,200000,zstd,8,1,64,256,3,10,128,8,8192,-29380,0.1,SUCCESS,1
16384,False,280000,zstd,256,16,36,8,7,4,64,32,64,-12426,0.1,SUCCESS,1
4096,False,400000,zstd,2,32,2,2,6,4,32,16,32,-51979,0.1,SUCCESS,1
1,False,80000,zstd,256,32,2,64,8,4,8,4,16384,-9808,0.1,SUCCESS,1
8,False,200000,zstd,128,64,16,8,6,4,1,8,128,-11039,0.1,SUCCESS,1
32,False,400000,zstd,2,64,256,-1,3,0,1,1,262144,-6183,0.1,SUCCESS,1
16384,False,400000,zstd,32,4,128,128,9,2,4,8,67108864,-67727,0.1,SUCCESS,1
32,False,200000,zstd,256,256,512,32,5,0,32,4,64,-9815,0.1,SUCCESS,1
32,False,360000,zstd,32,64,2,32,6,0,16,2,65536,-17111,0.1,SUCCESS,1
1,False,240000,zstd,32,8,512,8,0,4,16,2,2048,-8583,0.1,SUCCESS,1
32,False,240000,zstd,64,1024,2,2,9,8,64,16,4,-5775,0.1,SUCCESS,1
524288,False,40000,zstd,1,32,4,16,2,7,64,2,16777216,-7966,0.1,SUCCESS,1
64,False,280000,zstd,128,0,4,64,1,5,32,4,128,-13438,0.1,SUCCESS,1
65536,False,160000,zstd,32,128,128,4,4,9,8,4,65536,-5730,0.1,SUCCESS,1
1,False,200000,zstd,16,512,16,32,5,2,2,32,8192,-19850,0.1,SUCCESS,1
262144,False,200000,zstd,256,16,36,-1,3,3,4,16,65536,-1662,0.1,SUCCESS,1
64,False,280000,zstd,64,8,64,16,3,3,8,2,16777216,-57701,0.1,SUCCESS,1
512,False,80000,zstd,8,4,16,256,5,10,32,8,1048576,-75668,0.1,SUCCESS,1
65536,False,120000,zstd,128,64,1024,16,11,4,8,8,512,-4263,0.1,SUCCESS,1
131072,False,240000,zstd,1,512,32,1,0,9,1,16,4,-6165,0.1,SUCCESS,1
16384,False,40000,lz4,4,64,36,4,1,8,128,1,16384,-63977,0.1,SUCCESS,1
524288,False,360000,lz4,64,32,36,64,8,2,128,8,67108864,-27840,0.1,SUCCESS,1
4096,False,0,lz4,8,1,512,256,9,0,128,2,2097152,-84339,0.1,SUCCESS,1
16,False,120000,lz4,2,20,256,32,10,6,64,16,8388608,-87269,0.1,SUCCESS,1
4096,False,240000,lz4,1,2,4,4,11,6,4,8,4,-5313,0.1,SUCCESS,1
16384,False,120000,lz4,8,128,32,32,8,8,2,4,4194304,-59522,0.1,SUCCESS,1
512,False,0,lz4,8,32,8,2,4,1,1,32,8,-45958,0.1,SUCCESS,1
64,False,160000,lz4,32,2,16,1,5,0,16,32,32768,-41015,0.1,SUCCESS,1
1,False,400000,lz4,8,16,36,256,7,10,8,4,32,-34060,0.1,SUCCESS,1
32768,False,40000,lz4,2,512,8,4,6,5,8,1,256,-50944,0.1,SUCCESS,1
32768,False,80000,lz4,16,32,64,-1,2,6,1,1,536870912,-103672,0.1,SUCCESS,1
1024,False,80000,lz4,16,64,8,16,7,6,16,2,268435456,-119069,0.1,SUCCESS,1
16384,False,320000,lz4,4,256,16,256,6,8,1,4,4096,-61423,0.1,SUCCESS,1
128,False,320000,lz4,4,8,2,64,4,0,8,4,32,-14239,0.1,SUCCESS,1
256,False,400000,lz4,16,2,128,1,7,1,64,16,16,-60853,0.1,SUCCESS,1
2048,False,320000,lz4,128,1024,16,2,4,7,1,1,134217728,-113260,0.1,SUCCESS,1
4,False,80000,lz4,2,4,128,4,11,9,2,4,262144,-6209,0.1,SUCCESS,1
2048,False,40000,lz4,4,512,8,2,11,1,64,32,1048576,-82978,0.1,SUCCESS,1
32768,False,320000,lz4,2,1,32,8,2,5,1,8,128,-3924,0.1,SUCCESS,1
131072,False,400000,lz4,1,16,64,128,6,6,2,16,8,-24924,0.1,SUCCESS,1
4096,False,120000,lz4,16,2,64,64,0,3,4,32,262144,-74658,0.1,SUCCESS,1
32768,False,120000,snappy,8,1024,32,32,1,7,64,2,1048576,-41233,0.1,SUCCESS,1
262144,False,240000,snappy,4,20,32,32,5,3,8,1,1073741824,-39023,0.1,SUCCESS,1
4,False,400000,snappy,64,2,256,8,7,3,128,1,64,-21498,0.1,SUCCESS,1
1,False,40000,snappy,256,64,16,16,1,0,32,2,512,-8567,0.1,SUCCESS,1
4,False,80000,snappy,8,2,256,32,0,8,8,32,32768,-28823,0.1,SUCCESS,1
2048,False,160000,snappy,256,256,1024,256,10,7,128,4,268435456,-118870,0.1,SUCCESS,1
16,False,240000,snappy,8,1,8,4,4,7,128,1,2048,-5166,0.1,SUCCESS,1
32768,False,320000,snappy,16,512,2,4,7,3,16,8,131072,-29400,0.1,SUCCESS,1
8,False,0,snappy,256,1024,1024,1,1,1,8,16,1073741824,-124018,0.1,SUCCESS,1
2048,False,0,snappy,4,256,128,-1,1,5,4,8,256,-21843,0.1,SUCCESS,1
524288,False,0,snappy,16,0,8,256,9,5,16,2,2048,-13536,0.1,SUCCESS,1
512,False,320000,snappy,128,20,512,128,11,9,16,16,16777216,-59052,0.1,SUCCESS,1
65536,False,40000,snappy,256,32,1024,4,10,10,128,32,2097152,-5505,0.1,SUCCESS,1
16384,False,280000,snappy,32,1,256,1,6,9,8,2,1,-49665,0.1,SUCCESS,1
4,False,120000,snappy,128,4,512,128,9,2,4,32,1024,-14935,0.1,SUCCESS,1
8,False,400000,snappy,128,128,1024,-1,8,3,2,4,16,-13129,0.1,SUCCESS,1
8192,False,280000,snappy,32,1,4,2,10,10,16,2,4194304,-22441,0.1,SUCCESS,1
1024,False,400000,snappy,32,0,128,64,3,8,2,16,256,-29589,0.1,SUCCESS,1
4,False,400000,snappy,1,16,512,8,1,4,32,1,524288,-46786,0.1,SUCCESS,1
32768,False,40000,snappy,64,32,128,16,1,6,4,32,1073741824,-103227,0.1,SUCCESS,1
262144,False,120000,snappy,4,20,64,16,4,5,64,1,4096,-9855,0.1,SUCCESS,1
128,True,120000,zstd,128,0,1,-1,10,5,64,32,4096,-282,0.1,SUCCESS,1
262144,True,200000,zstd,1,512,256,4,4,7,32,1,4,-4130,0.1,SUCCESS,1
256,True,240000,zstd,128,256,4,4,4,2,128,16,1024,-426,0.1,SUCCESS,1
256,True,360000,zstd,16,1,2,256,7,1,16,16,131072,-434,0.1,SUCCESS,1
64,True,40000,zstd,16,4,1,-1,2,4,4,2,1,-281,0.1,SUCCESS,1
8192,True,40000,zstd,128,256,8,64,2,7,16,4,1073741824,-11278,0.1,SUCCESS,1
2048,True,80000,zstd,16,1,8,4,10,5,32,8,8192,-2788,0.1,SUCCESS,1
2048,True,40000,zstd,256,512,1024,2,1,10,4,1,16,-2202,0.1,SUCCESS,1
131072,True,160000,zstd,8,4,256,32,8,1,32,2,536870912,-7818,0.1,SUCCESS,1
1024,True,280000,zstd,1,128,32,8,5,4,4,32,32,-1429,0.1,SUCCESS,1
262144,True,160000,zstd,8,0,1,128,2,5,4,2,2097152,-5377,0.1,SUCCESS,1
524288,True,200000,zstd,2,512,36,32,0,0,32,1,8,-3311,0.1,SUCCESS,1
8192,True,160000,zstd,1,20,512,64,8,4,128,8,32768,-10549,0.1,SUCCESS,1
131072,True,360000,zstd,1,8,1024,-1,7,7,4,4,67108864,-27555,0.1,SUCCESS,1
1024,True,40000,zstd,2,512,8,-1,1,1,1,1,512,-1500,0.1,SUCCESS,1
128,True,0,zstd,16,8,256,128,2,9,64,4,8388608,-388,0.1,SUCCESS,1
8,True,120000,zstd,64,128,512,1,5,8,2,2,536870912,-411,0.1,SUCCESS,1
4,True,0,zstd,2,64,32,4,3,2,32,4,524288,-285,0.1,SUCCESS,1
65536,True,200000,zstd,8,128,64,1,11,6,2,2,33554432,-7847,0.1,SUCCESS,1
16,True,160000,zstd,4,2,32,2,8,9,128,2,64,-275,0.1,SUCCESS,1
1,True,360000,zstd,4,128,8,1,0,2,2,16,16777216,-1903,0.1,SUCCESS,1
512,True,320000,lz4,64,256,1,16,2,0,1,32,16,-2014,0.1,SUCCESS,1
32,True,240000,lz4,64,0,36,2,8,6,16,4,1024,-701,0.1,SUCCESS,1
1,True,200000,lz4,128,20,16,256,8,6,64,8,1048576,-2065,0.1,SUCCESS,1
256,True,80000,lz4,1,256,64,128,1,6,32,4,65536,-1172,0.1,SUCCESS,1
524288,True,360000,lz4,8,20,64,16,10,10,16,32,134217728,-7792,0.1,SUCCESS,1
8192,True,200000,lz4,256,8,8,1,10,1,32,1,16384,-6423,0.1,SUCCESS,1
16,True,240000,lz4,64,8,1024,32,0,8,128,8,134217728,-1157,0.1,SUCCESS,1
4096,True,280000,lz4,2,1024,1024,16,4,5,4,2,1,-21710,0.1,SUCCESS,1
256,True,280000,lz4,16,64,1,256,3,5,1,1,512,-1129,0.1,SUCCESS,1
256,True,0,lz4,8,4,4,32,9,4,128,8,268435456,-2087,0.1,SUCCESS,1
512,True,320000,lz4,64,0,4,1,11,10,8,4,33554432,-4087,0.1,SUCCESS,1
65536,True,400000,lz4,32,1,4,-1,10,0,8,32,128,-16070,0.1,SUCCESS,1
65536,True,160000,lz4,64,20,1,64,4,1,128,16,8388608,-7823,0.1,SUCCESS,1
1024,True,360000,lz4,16,4,36,8,7,8,2,2,32,-3682,0.1,SUCCESS,1
8192,True,160000,lz4,2,20,1,16,6,4,64,2,8388608,-55849,0.1,SUCCESS,1
32,True,360000,lz4,256,16,1,1,5,9,32,4,524288,-1805,0.1,SUCCESS,1
128,True,120000,lz4,32,1024,256,16,3,2,16,1,2097152,-1412,0.1,SUCCESS,1
128,True,280000,lz4,1,32,128,-1,3,10,8,32,65536,-589,0.1,SUCCESS,1
8,True,0,lz4,1,4,4,16,0,7,128,16,1024,-612,0.1,SUCCESS,1
8,True,80000,lz4,4,1024,64,2,11,8,128,32,4,-706,0.1,SUCCESS,1
16,True,80000,lz4,128,4,1,128,11,9,1,4,536870912,-1171,0.1,SUCCESS,1
524288,True,320000,snappy,64,512,32,2,5,2,16,16,134217728,-7292,0.1,SUCCESS,1
32768,True,160000,snappy,2,16,1,8,10,10,64,16,4096,-48768,0.1,SUCCESS,1
16,True,160000,snappy,32,1,2,16,5,0,4,32,2048,-587,0.1,SUCCESS,1
64,True,360000,snappy,128,64,36,8,6,3,2,8,524288,-1527,0.1,SUCCESS,1
4096,True,320000,snappy,32,16,256,2,6,2,128,16,262144,-13100,0.1,SUCCESS,1
1024,True,80000,snappy,256,2,32,64,8,3,8,8,1,-3459,0.1,SUCCESS,1
64,True,320000,snappy,32,128,512,1,0,0,2,8,131072,-824,0.1,SUCCESS,1
262144,True,360000,snappy,256,8,36,32,11,7,4,8,16777216,-5500,0.1,SUCCESS,1
128,True,280000,snappy,1,0,16,1,9,2,1,1,33554432,-1462,0.1,SUCCESS,1
524288,True,200000,snappy,32,64,128,-1,10,8,64,16,8388608,-2448,0.1,SUCCESS,1
512,True,120000,snappy,256,8,16,-1,0,2,32,16,2097152,-5831,0.1,SUCCESS,1
16,True,240000,snappy,4,32,128,256,0,8,16,32,256,-593,0.1,SUCCESS,1
8192,True,160000,snappy,128,512,36,64,9,1,64,32,134217728,-11470,0.1,SUCCESS,1
8192,True,280000,snappy,1,16,512,8,8,7,1,2,32768,-28156,0.1,SUCCESS,1
128,True,280000,snappy,64,20,32,128,9,3,4,4,536870912,-924,0.1,SUCCESS,1
262144,True,240000,snappy,2,8,16,8,2,10,2,8,67108864,-30614,0.1,SUCCESS,1
512,True,80000,snappy,64,1024,2,256,3,3,16,8,524288,-2376,0.1,SUCCESS,1
1024,True,320000,snappy,64,0,1,128,9,2,2,32,4194304,-7830,0.1,SUCCESS,1
131072,True,0,snappy,16,256,4,2,5,5,2,16,4096,-16815,0.1,SUCCESS,1
16384,True,360000,snappy,4,256,512,256,7,1,1,1,131072,-42957,0.1,SUCCESS,1
32,True,0,snappy,2,128,1024,64,4,7,16,32,67108864,-1413,0.1,SUCCESS,1
64,False,360000,zstd,16,0,128,128,9,9,8,4,16384,-8909,0.1,SUCCESS,1
131072,False,40000,lz4,4,2,4,128,7,10,2,1,1024,-7127,0.1,SUCCESS,1
65536,False,240000,snappy,1,1024,2,128,2,6,32,1,8,-29746,0.1,SUCCESS,1
8192,False,0,snappy,4,20,36,-1,-1,10,2,1,33554432,-119871,0.1,SUCCESS,1
