block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-103973,956826
16,true,0,lz4,64,128,36,2,0,6,128,8,4096,-4602,1933955
1,false,200000,zstd,4,0,8,64,1,10,1,32,64,-131,3265170
4096,false,400000,zstd,8,0,2,-1,4,4,32,4,8,-2911,4242305
65536,true,80000,lz4,1,1024,1024,-1,9,7,4,32,512,-11936,5211758
32768,false,280000,snappy,128,1024,1,-1,2,4,2,8,67108864,-81006,6170966
512,false,320000,zstd,16,1,16,128,10,10,4,4,524288,-11861,7157215
4,false,40000,lz4,64,20,256,4,8,3,1,1,32,-3953,8137632
256,false,320000,zstd,16,1,36,128,9,1,32,16,512,-6112,9161434
1,false,0,lz4,16,1024,32,2,10,2,1,16,4194304,-58579,10119191
65536,true,240000,zstd,32,512,36,16,8,0,32,16,16777216,-48054,11076889
64,false,40000,lz4,128,64,4,32,5,6,16,8,2097152,-66905,12036017
16384,true,40000,lz4,32,256,8,64,5,0,2,16,64,-31795,13002323
65536,false,200000,lz4,128,128,8,32,0,6,4,1,2048,-16009,13973391
256,false,120000,lz4,32,256,64,-1,-1,10,4,32,67108864,-104572,14933074
1,true,240000,snappy,64,128,64,8,-1,9,2,8,8388608,-3561,15912151
1,false,400000,lz4,16,0,32,-1,-1,6,1,4,1073741824,-94342,16872420
1,true,40000,lz4,128,8,16,-1,-1,11,1,16,1073741824,-12642,17835075
1,false,0,snappy,32,2,512,64,-1,15,2,1,134217728,-101655,18795155
64,false,320000,snappy,128,64,64,8,-1,15,1,8,67108864,-98903,19755291
2048,false,120000,snappy,16,16,4,32,-1,11,2,2,1073741824,-93082,20713467
8,false,0,zstd,1,256,36,1,-1,6,32,16,268435456,-98525,21684003
524288,false,120000,lz4,128,32,36,256,-1,14,1,32,268435456,-59012,22642908
1,false,400000,snappy,1,128,1024,-1,-1,7,1,8,134217728,-101932,23603332
256,false,120000,snappy,64,8,512,-1,-1,10,4,32,67108864,-106229,24562455
16384,false,200000,lz4,1,2,2,8,-1,14,4,32,67108864,-104494,25521047
256,false,120000,snappy,64,8,512,-1,0,10,4,2,67108864,-104400,26481441
256,false,240000,snappy,64,1,128,8,-1,9,4,32,67108864,-106142,27442382
524288,false,40000,lz4,256,128,1024,32,11,9,64,32,536870912,-83842,28401331
4096,false,0,snappy,64,1,256,-1,0,8,32,16,33554432,-96669,29359878
16,false,320000,snappy,128,64,128,8,-1,10,4,32,67108864,-106768,30322520
256,false,240000,zstd,64,1,128,8,-1,9,4,32,16777216,-72309,31289964
64,false,160000,zstd,2,16,4,128,-1,0,4,4,268435456,-82317,32259147
1,false,320000,snappy,128,64,128,8,-1,10,4,32,67108864,-105867,33220190
1,true,360000,zstd,32,1024,16,64,10,6,128,16,1048576,-3309,34226940
16,false,320000,snappy,128,128,128,8,0,10,4,32,67108864,-105309,35188979
4096,false,120000,snappy,4,20,36,-1,-1,6,4,1,67108864,-103230,36148032
256,false,240000,snappy,64,1,128,8,1,9,4,32,67108864,-104989,37107420
65536,true,0,snappy,256,1024,4,8,5,0,2,4,4194304,-20556,38067212
256,false,120000,lz4,64,64,128,2,-1,10,4,32,67108864,-105729,39027107
8,false,120000,lz4,128,4,1024,16,0,12,8,32,67108864,-99609,39991532
16,false,320000,snappy,128,128,128,32,0,6,4,32,67108864,-105340,40951870
4,false,240000,snappy,64,1,36,2,1,9,4,32,67108864,-105261,41911377
16,false,120000,lz4,64,2,36,4,1,8,4,1,67108864,-96062,42872064
16,false,320000,snappy,128,64,128,8,-1,1,4,32,67108864,-104498,43831945
256,false,160000,snappy,64,1,256,32,-1,9,4,32,67108864,-106134,44792268
256,false,160000,lz4,64,1,64,32,-1,9,1,32,67108864,-98676,45752631
128,false,360000,snappy,256,128,256,8,9,6,4,32,33554432,-103675,46712340
256,false,240000,snappy,64,1,256,8,4,9,4,32,67108864,-106391,47672818
256,false,320000,snappy,64,0,256,8,-1,9,4,32,67108864,-106271,48633311
256,false,200000,snappy,16,20,1024,-1,4,11,4,4,134217728,-104230,49597853
2048,false,240000,snappy,16,4,512,4,3,9,64,32,67108864,-92549,50558135
256,false,320000,snappy,64,0,256,8,0,4,4,32,67108864,-107030,51520981
4,false,160000,snappy,8,0,256,128,2,5,4,32,16777216,-76904,52485045
256,false,240000,snappy,32,4,512,32,10,3,4,32,67108864,-105781,53445965
256,false,240000,zstd,64,0,36,8,0,9,4,32,67108864,-83071,54411409
8,false,160000,lz4,16,1,256,8,4,10,4,32,67108864,-104063,55371994
256,false,280000,snappy,4,256,16,32,-1,12,16,16,67108864,-95101,56331560
32,false,160000,zstd,256,0,256,32,3,5,4,32,67108864,-68916,57301084
256,false,240000,snappy,32,0,256,8,4,0,4,32,67108864,-106498,58259906
128,false,160000,snappy,32,0,256,8,9,0,4,32,67108864,-106316,59221390
32,false,360000,lz4,128,1,16,4,4,14,4,32,67108864,-104508,60181892
256,false,280000,snappy,32,32,256,8,-1,10,4,1,33554432,-90495,61139864
2048,false,200000,lz4,4,1,36,-1,6,14,1,1,67108864,-95760,62099659
256,false,320000,snappy,32,0,256,64,0,0,4,32,67108864,-105476,63060045
256,false,240000,snappy,256,0,256,8,-1,4,4,32,67108864,-105191,64020274
4,false,200000,snappy,64,1024,512,1,6,5,4,32,268435456,-101206,64979583
128,false,80000,snappy,64,2,256,1,0,2,4,16,67108864,-104973,65940517
4,false,200000,snappy,8,1,256,1,10,0,64,16,16,-8675,66920910
256,false,240000,lz4,64,64,256,64,4,14,4,32,67108864,-104633,67882259
128,false,280000,snappy,64,0,256,1,10,5,4,32,67108864,-105047,68845148
1,false,320000,lz4,128,64,128,2,-1,10,4,32,67108864,-104365,69805719
128,false,120000,snappy,256,16,512,1,5,6,64,8,134217728,-99760,70766322
16,false,0,lz4,128,128,128,32,7,11,4,32,67108864,-104826,71727518
4096,false,80000,zstd,2,64,256,32,1,2,8,16,4,-43358,72695996
256,false,280000,snappy,8,0,256,8,9,0,4,32,67108864,-106386,73657444
1,false,160000,snappy,128,2,256,16,0,1,64,32,67108864,-93475,74621289
256,false,280000,snappy,2,0,256,8,11,0,4,32,67108864,-89652,75581478
256,false,80000,snappy,4,16,256,1,9,2,4,16,67108864,-105687,76541730
16,false,160000,lz4,64,64,8,64,1,15,4,32,134217728,-103424,77504638
256,false,0,snappy,8,1,128,1,8,2,128,8,67108864,-102543,78468186
1,false,320000,snappy,32,0,256,8,7,2,4,32,67108864,-102427,79430680
8,false,200000,zstd,4,1024,8,16,3,0,16,32,67108864,-75720,80400375
4,false,40000,lz4,64,32,512,1,5,10,4,32,67108864,-104353,81361142
512,false,0,snappy,64,16,256,4,0,0,2,32,67108864,-98567,82320500
128,false,0,lz4,16,2,64,2,0,8,4,16,67108864,-102454,83284875
256,false,120000,snappy,16,2,256,2,9,0,4,16,67108864,-106036,84245922
256,false,160000,snappy,64,0,256,4,10,5,4,32,536870912,-96996,85206629
1024,false,320000,zstd,256,16,64,256,1,5,64,1,8192,-14231,86202534
256,false,120000,lz4,64,16,512,1,7,1,4,16,67108864,-105900,87163119
8,false,360000,lz4,256,8,1024,4,-1,5,4,1,67108864,-97710,88126241
8192,false,280000,snappy,1,16,128,2,10,2,64,8,536870912,-96146,89086680
256,false,40000,snappy,64,1,512,2,5,7,1,2,134217728,-102389,90047545
4,false,40000,snappy,64,20,256,8,9,9,4,32,67108864,-105040,91007710
32,false,320000,zstd,1,8,8,-1,2,12,32,1,268435456,-98062,91993486
8192,false,320000,zstd,1,1,4,-1,4,2,32,16,536870912,-96000,92958047
4,false,240000,snappy,64,20,128,-1,10,12,4,16,67108864,-104502,93919037
128,false,40000,snappy,4,32,2,8,7,0,4,32,67108864,-105286,94879338
256,false,360000,lz4,32,20,256,4,8,5,4,16,67108864,-104359,95839301
256,false,320000,snappy,16,0,64,8,-1,9,4,32,33554432,-103186,96799325
131072,false,240000,snappy,64,1,512,2,4,3,4,32,67108864,-79665,97759638
64,false,280000,snappy,8,0,256,8,9,0,4,32,67108864,-103693,98720785
16,false,160000,snappy,128,1024,4,32,1,5,4,32,67108864,-105540,99684910
128,false,80000,lz4,32,16,1024,8,9,0,16,32,67108864,-92896,100646272
1,false,120000,lz4,128,512,256,32,7,0,4,16,67108864,-105217,101606460
2048,false,320000,snappy,8,256,2,2,11,3,128,1,67108864,-98764,102565737
1,false,200000,zstd,1,8,2,1,-1,6,128,2,268435456,-104810,103601409
1,false,160000,snappy,64,64,1024,4,9,9,4,2,67108864,-104451,104562370
1,true,400000,lz4,16,1,512,16,11,7,1,1,4,-856,105601546
256,false,360000,lz4,128,16,256,128,0,4,4,16,67108864,-105866,106561379
