block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-116159,956690
512,false,200000,snappy,128,16,256,-1,6,4,64,16,4096,-23365,1925609
131072,false,400000,snappy,128,512,1024,4,3,2,128,16,512,-3743,2916788
1024,false,120000,snappy,2,4,2,2,11,9,4,16,1073741824,-142478,3877095
8192,false,240000,snappy,8,128,1024,-1,6,8,64,2,65536,-13815,4847608
8192,false,160000,snappy,1,0,8,4,11,0,16,2,2097152,-21823,5805649
8,false,320000,snappy,128,2,1,4,5,5,64,2,4,-15633,6777538
4096,false,360000,snappy,128,512,512,1,6,10,128,1,268435456,-121384,7734154
131072,false,160000,snappy,256,256,36,4,11,3,2,16,134217728,-47889,8691626
131072,false,400000,snappy,4,1024,32,1,4,9,4,32,2097152,-31176,9651658
512,false,320000,snappy,256,1,16,8,5,3,8,32,1024,-14750,10620317
512,false,360000,snappy,16,20,32,-1,9,3,2,32,33554432,-95315,11575094
4096,false,0,snappy,1,32,1,128,2,5,8,2,4096,-58566,12538781
4096,false,80000,snappy,16,128,4,32,9,6,8,16,16,-47957,13502686
262144,false,320000,snappy,64,20,16,32,9,7,1,16,131072,-9074,14472453
64,false,320000,snappy,64,8,512,8,10,10,1,8,8,-7658,15447834
16,false,40000,snappy,1,2,512,256,0,4,128,1,65536,-300,16590765
16384,false,280000,snappy,64,512,256,1,4,3,4,4,256,-11353,17566382
65536,false,160000,snappy,1,128,4,2,6,9,4,1,1073741824,-136633,18521125
16384,false,0,snappy,32,64,64,64,1,7,4,1,4194304,-33364,19476630
32768,false,40000,snappy,4,1,64,64,3,0,16,8,67108864,-116458,20432756
32,false,0,snappy,8,64,64,2,3,2,64,2,536870912,-166887,21388643
524288,false,320000,lz4,64,128,1,64,8,10,64,4,8388608,-7324,22349577
131072,false,120000,lz4,4,256,256,1,10,2,8,2,32768,-7126,23319200
1024,false,320000,lz4,16,512,4,2,2,10,8,8,65536,-48352,24285105
16,false,160000,lz4,32,256,8,-1,0,5,16,4,1024,-11837,25256269
128,false,400000,lz4,1,2,64,256,7,2,64,2,1048576,-4825,26225497
4096,false,280000,lz4,64,512,256,256,7,4,16,1,2097152,-28560,27181996
512,false,40000,lz4,64,256,1,64,11,3,1,1,536870912,-174388,28136651
1,false,320000,lz4,4,0,1024,16,1,4,2,32,16384,-495,29212476
262144,false,120000,lz4,1,0,8,128,10,2,1,1,4194304,-20873,30169078
256,false,0,lz4,16,512,128,2,5,9,2,1,1048576,-45757,31125470
8192,false,240000,lz4,32,256,4,8,8,1,8,2,2048,-34216,32093037
4,false,400000,lz4,256,32,256,16,1,8,1,32,1,-11539,33058189
256,false,0,lz4,2,0,1,-1,5,6,64,4,4,-1127,34055072
256,false,160000,lz4,32,16,64,128,6,1,1,8,1024,-4965,35029219
524288,false,120000,lz4,4,512,64,256,2,3,128,32,67108864,-51288,35984244
32768,false,0,lz4,128,4,36,2,2,8,8,8,32,-10680,36952679
2048,false,320000,lz4,4,8,2,128,2,5,16,1,32768,-4407,37925847
16384,false,240000,lz4,128,0,1,32,3,6,64,2,33554432,-91025,38880112
4096,false,280000,lz4,128,4,1,2,8,1,8,16,4,-20810,39848440
1,false,120000,lz4,1,64,512,128,10,9,4,2,262144,-33093,40810569
4096,false,280000,lz4,128,8,16,256,2,8,64,1,128,-24231,41779045
1,false,80000,zstd,2,512,64,2,8,9,1,1,67108864,-94251,42748331
65536,false,280000,zstd,8,2,36,256,3,0,4,16,8,-4076,43722921
8,false,240000,zstd,8,2,256,2,4,6,128,4,32,-1152,44710014
524288,false,400000,zstd,2,4,4,-1,11,3,16,16,131072,-4030,45683296
1024,false,360000,zstd,8,4,36,256,8,10,4,32,8192,-2177,46666675
8,false,120000,zstd,128,8,128,32,8,2,1,32,64,-3907,47648066
1,false,280000,zstd,16,32,2,256,1,1,128,1,16,-3318,48651195
16384,false,0,zstd,32,32,64,64,6,3,4,2,8388608,-18377,49609050
32768,false,400000,zstd,256,4,1024,1,5,2,16,4,16777216,-28350,50563986
8,false,200000,zstd,16,4,512,128,3,0,128,4,128,-2255,51556779
512,false,0,zstd,4,32,256,16,4,1,64,2,33554432,-114659,52515202
2048,false,120000,zstd,32,0,1024,256,7,4,32,8,134217728,-131817,53470960
1,false,360000,zstd,8,2,36,8,4,7,128,32,67108864,-100340,54436128
16,false,320000,zstd,2,1,32,-1,0,8,32,4,128,-380,55567006
32,false,120000,zstd,8,20,128,8,7,4,64,2,16384,-7574,56561544
262144,false,80000,zstd,64,0,2,128,4,9,128,2,128,-3797,57546969
1024,false,200000,zstd,32,256,32,32,5,10,32,1,524288,-22834,58507024
32,false,200000,zstd,4,8,8,128,1,4,1,32,16777216,-41668,59490785
262144,false,40000,zstd,4,128,4,2,0,9,128,4,256,-3987,60467118
65536,false,360000,zstd,16,32,32,4,7,7,32,16,2048,-6174,61438621
2048,false,200000,zstd,32,8,512,8,3,10,2,8,65536,-3817,62422580
262144,true,120000,snappy,16,0,36,1,8,6,1,16,8192,-5716,63397075
256,true,240000,snappy,256,256,4,-1,11,5,32,2,536870912,-3302,64365071
16384,true,360000,snappy,64,64,36,128,3,6,64,2,1048576,-20596,65320257
256,true,320000,snappy,4,16,64,128,7,9,128,4,32768,-1818,66317574
1024,true,400000,snappy,1,0,1,-1,10,8,1,16,268435456,-7309,67276837
32,true,240000,snappy,8,2,16,64,1,7,2,32,16777216,-1383,68263113
32,true,200000,snappy,128,8,1,8,2,0,16,16,524288,-2005,69256634
8192,true,280000,snappy,16,64,512,8,2,10,2,32,512,-25113,70221577
65536,true,160000,snappy,2,32,36,-1,10,1,16,32,268435456,-140235,71176696
2048,true,40000,snappy,128,32,8,16,9,9,16,32,536870912,-15168,72145345
64,true,360000,snappy,256,20,256,4,11,10,16,8,256,-1088,73170424
131072,true,200000,snappy,8,32,1024,16,3,10,8,1,32,-12510,74138773
512,true,40000,snappy,2,4,2,16,10,3,128,4,2048,-1338,75147902
524288,true,240000,snappy,32,64,512,256,7,5,1,8,4096,-6373,76121914
256,true,160000,snappy,256,16,32,32,1,7,32,16,33554432,-2912,77098747
256,true,40000,snappy,2,20,128,2,6,10,32,16,32768,-1761,78086847
8,true,40000,snappy,64,512,64,128,4,7,2,8,1,-896,79117801
32768,true,240000,snappy,1,16,4,32,8,4,8,8,8192,-39015,80086040
32768,true,360000,snappy,32,512,8,64,3,4,8,8,268435456,-21051,81045376
524288,true,240000,snappy,256,8,128,16,3,7,1,4,536870912,-13981,82005868
524288,true,80000,snappy,64,1,128,8,0,4,1,1,1,-10220,82977698
65536,true,160000,lz4,8,2,36,16,11,0,32,16,67108864,-20219,83937382
16384,true,280000,lz4,32,128,16,1,0,0,2,8,4096,-11148,84906660
8192,true,200000,lz4,256,1024,16,16,9,5,4,4,2048,-5953,85881101
128,true,160000,lz4,2,256,2,32,1,1,2,16,524288,-2113,86884553
4,true,120000,lz4,16,128,36,64,8,0,16,32,4194304,-2358,87892732
64,true,40000,lz4,256,1024,512,4,0,0,64,16,4,-1223,88899936
1024,true,80000,lz4,4,8,32,1,4,4,16,32,16777216,-9099,89863135
65536,true,160000,lz4,4,16,1024,256,4,8,128,4,32,-30839,90830368
524288,true,0,lz4,2,16,2,128,4,2,32,8,1,-9575,91800455
