block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,time,status,seed
4096,False,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-109168,0.1,SUCCESS,1
65536,True,80000,zstd,2,16,36,1,5,5,16,8,33554432,-82288,0.1,SUCCESS,1
2048,True,320000,zstd,64,1,128,8,10,2,64,1,1,-3634,0.1,SUCCESS,1
131072,True,200000,zstd,32,2,1,64,0,0,2,16,32768,-3146,0.1,SUCCESS,1
256,True,280000,zstd,16,64,1,-1,3,7,4,8,268435456,-7549,0.1,SUCCESS,1
4096,True,400000,zstd,4,8,32,2,3,7,8,8,8192,-4240,0.1,SUCCESS,1
262144,True,320000,zstd,128,16,1,8,4,3,128,2,134217728,-35057,0.1,SUCCESS,1
16384,True,360000,zstd,64,128,8,128,4,4,8,16,128,-14030,0.1,SUCCESS,1
256,True,320000,zstd,2,16,64,64,8,8,8,2,32768,-2596,0.1,SUCCESS,1
16,True,40000,zstd,2,512,36,8,11,7,1,32,33554432,-2805,0.1,SUCCESS,1
524288,True,400000,zstd,16,32,1,128,3,6,16,4,67108864,-27320,0.1,SUCCESS,1
262144,True,40000,zstd,32,20,1024,4,10,9,16,1,1073741824,-39255,0.1,SUCCESS,1
16384,True,400000,zstd,8,16,64,-1,2,9,8,4,268435456,-60329,0.1,SUCCESS,1
128,True,360000,zstd,1,128,16,128,1,8,8,8,131072,-1742,0.1,SUCCESS,1
128,True,120000,zstd,8,0,4,4,7,0,1,16,1024,-143,0.1,SUCCESS,1
16384,True,80000,zstd,128,2,4,2,11,8,2,2,8388608,-26126,0.1,SUCCESS,1
64,True,200000,zstd,1,256,1024,-1,2,0,1,4,536870912,-6598,0.1,SUCCESS,1
1024,True,320000,zstd,1,128,256,128,4,2,64,16,262144,-9288,0.1,SUCCESS,1
8192,True,160000,zstd,256,20,36,64,6,8,32,16,8192,-12793,0.1,SUCCESS,1
32,True,160000,zstd,128,1,2,8,11,6,2,16,4,-1081,0.1,SUCCESS,1
131072,True,40000,zstd,256,32,2,-1,5,10,2,1,4096,-5805,0.1,SUCCESS,1
4096,True,0,zstd,128,1024,16,4,11,10,64,16,8388608,-25175,0.1,SUCCESS,1
512,True,120000,lz4,8,1,36,128,8,8,64,16,2048,-7593,0.1,SUCCESS,1
262144,True,280000,lz4,128,1024,32,32,3,2,16,32,1048576,-9194,0.1,SUCCESS,1
4,True,200000,lz4,2,1,8,1,8,4,1,16,8388608,-4021,0.1,SUCCESS,1
65536,True,200000,lz4,2,0,512,256,6,5,8,1,32,-675,0.1,SUCCESS,1
8,True,40000,lz4,1,128,1,16,9,0,8,2,524288,-5551,0.1,SUCCESS,1
32,True,0,lz4,4,128,1024,32,8,9,1,4,4194304,-5186,0.1,SUCCESS,1
256,True,240000,lz4,64,128,512,64,4,1,64,8,2097152,-8685,0.1,SUCCESS,1
8192,True,360000,lz4,64,64,8,16,5,2,8,8,65536,-29285,0.1,SUCCESS,1
1,True,120000,lz4,16,16,512,1,4,10,2,1,8,-851,0.1,SUCCESS,1
262144,True,80000,lz4,4,64,36,2,0,9,4,16,131072,-28031,0.1,SUCCESS,1
4,True,280000,lz4,32,256,16,256,6,8,128,8,1024,-4385,0.1,SUCCESS,1
256,True,320000,lz4,4,16,2,2,8,2,8,32,1,-7485,0.1,SUCCESS,1
1,True,280000,lz4,32,128,64,1,0,6,1,2,268435456,-8178,0.1,SUCCESS,1
64,True,40000,lz4,256,64,8,32,0,8,32,2,33554432,-5512,0.1,SUCCESS,1
128,True,360000,lz4,8,64,2,32,10,5,4,32,4,-4103,0.1,SUCCESS,1
8,True,240000,lz4,64,20,4,16,1,4,128,32,536870912,-12485,0.1,SUCCESS,1
1024,True,200000,lz4,16,512,128,256,0,0,128,8,536870912,-52525,0.1,SUCCESS,1
512,True,280000,lz4,32,2,32,1,5,4,4,16,134217728,-16188,0.1,SUCCESS,1
16384,True,320000,lz4,8,4,4,2,0,7,8,8,268435456,-76603,0.1,SUCCESS,1
512,True,360000,lz4,16,1024,1024,128,6,3,2,1,4096,-13202,0.1,SUCCESS,1
32768,True,160000,lz4,1,4,36,2,7,8,8,16,4096,-3113,0.1,SUCCESS,1
8192,True,280000,snappy,16,64,128,16,6,2,32,2,131072,-47835,0.1,SUCCESS,1
131072,True,160000,snappy,1,4,4,1,10,5,4,1,2097152,-13355,0.1,SUCCESS,1
1,True,160000,snappy,2,8,1024,64,8,1,64,8,1073741824,-7196,0.1,SUCCESS,1
1024,True,120000,snappy,2,0,8,32,2,9,8,4,1024,-1241,0.1,SUCCESS,1
524288,True,200000,snappy,8,8,256,8,8,5,16,4,8192,-6133,0.1,SUCCESS,1
512,True,240000,snappy,1,20,64,4,10,8,128,16,134217728,-23101,0.1,SUCCESS,1
256,True,0,snappy,1,32,256,16,3,9,64,32,4,-6116,0.1,SUCCESS,1
2048,True,360000,snappy,64,1024,256,4,2,10,32,4,1024,-22392,0.1,SUCCESS,1
16,True,200000,snappy,2,0,256,1,9,2,128,2,2048,-314,0.1,SUCCESS,1
1,True,320000,snappy,256,0,16,64,0,3,4,1,524288,-4955,0.1,SUCCESS,1
524288,True,280000,snappy,1,4,8,4,9,1,64,4,32,-2611,0.1,SUCCESS,1
64,True,280000,snappy,256,2,256,32,5,10,32,32,16384,-3400,0.1,SUCCESS,1
4096,True,240000,snappy,128,256,1024,2,5,7,128,32,1048576,-31974,0.1,SUCCESS,1
16,True,160000,snappy,16,0,1024,32,11,6,2,2,67108864,-4753,0.1,SUCCESS,1
512,True,200000,snappy,4,4,32,-1,2,0,64,8,65536,-3062,0.1,SUCCESS,1
524288,True,400000,snappy,32,0,64,64,8,1,128,4,64,-11721,0.1,SUCCESS,1
32,True,240000,snappy,32,1024,128,64,9,3,32,32,262144,-3813,0.1,SUCCESS,1
65536,True,240000,snappy,256,1024,1024,16,1,3,32,1,8388608,-30812,0.1,SUCCESS,1
4,True,320000,snappy,64,20,1,256,10,5,1,8,1073741824,-9882,0.1,SUCCESS,1
32,True,320000,snappy,16,1024,64,256,2,1,16,16,256,-3904,0.1,SUCCESS,1
4,True,280000,snappy,1,128,64,4,7,7,1,32,67108864,-4512,0.1,SUCCESS,1
4,False,40000,zstd,256,20,2,2,1,6,8,32,512,-14259,0.1,SUCCESS,1
16384,False,40000,zstd,256,8,1024,64,2,1,128,2,4194304,-29537,0.1,SUCCESS,1
512,False,40000,zstd,16,256,8,128,4,10,2,4,16,-23978,0.1,SUCCESS,1
524288,False,40000,zstd,64,8,128,-1,3,6,16,4,8,-4279,0.1,SUCCESS,1
8,False,160000,zstd,128,4,8,1,4,2,128,8,16777216,-93663,0.1,SUCCESS,1
8192,False,80000,zstd,64,32,16,256,10,9,4,32,64,-12839,0.1,SUCCESS,1
8192,False,120000,zstd,8,512,128,8,6,1,16,32,32768,-45317,0.1,SUCCESS,1
524288,False,120000,zstd,32,512,36,256,9,0,128,2,2048,-4924,0.1,SUCCESS,1
8,False,40000,zstd,8,256,16,16,1,2,2,8,131072,-20406,0.1,SUCCESS,1
131072,False,360000,zstd,128,0,16,128,9,3,32,16,64,-4916,0.1,SUCCESS,1
512,False,360000,zstd,256,16,36,-1,9,6,1,2,256,-7115,0.1,SUCCESS,1
256,False,400000,zstd,16,64,128,2,9,3,2,8,256,-10415,0.1,SUCCESS,1
8,False,0,zstd,2,4,256,2,8,7,8,8,262144,-1113,0.1,SUCCESS,1
16,False,240000,zstd,8,64,8,16,9,10,4,1,32,-3470,0.1,SUCCESS,1
4,False,320000,zstd,2,128,32,128,9,4,2,2,524288,-26851,0.1,SUCCESS,1
64,False,80000,zstd,4,1024,512,-1,10,6,32,1,256,-4715,0.1,SUCCESS,1
16384,False,120000,zstd,64,0,16,64,2,5,128,4,512,-16870,0.1,SUCCESS,1
128,False,360000,zstd,32,256,32,1,7,2,32,32,536870912,-106548,0.1,SUCCESS,1
32768,False,80000,zstd,16,512,36,256,1,8,64,4,33554432,-78974,0.1,SUCCESS,1
262144,False,120000,zstd,8,20,128,4,9,4,32,2,524288,-9179,0.1,SUCCESS,1
8192,False,160000,zstd,32,512,1,16,2,3,2,1,16,-24663,0.1,SUCCESS,1
2048,False,80000,lz4,8,512,64,1,7,7,4,2,16384,-14606,0.1,SUCCESS,1
131072,False,0,lz4,8,8,16,32,11,6,16,32,1073741824,-99239,0.1,SUCCESS,1
4,False,160000,lz4,128,2,32,64,7,5,16,8,8192,-27770,0.1,SUCCESS,1
524288,False,80000,lz4,32,128,64,1,7,6,4,1,134217728,-52280,0.1,SUCCESS,1
2048,False,160000,lz4,256,512,1024,256,2,1,8,2,2097152,-45013,0.1,SUCCESS,1
16,False,240000,lz4,4,512,64,8,1,6,1,1,1,-23452,0.1,SUCCESS,1
32768,False,200000,lz4,16,2,32,2,6,5,128,1,16384,-4276,0.1,SUCCESS,1
4096,False,200000,lz4,4,32,2,8,6,4,4,4,512,-43569,0.1,SUCCESS,1
128,False,40000,lz4,128,1,36,8,3,0,2,2,128,-7299,0.1,SUCCESS,1
16,False,400000,lz4,128,64,512,256,4,1,16,2,16384,-12746,0.1,SUCCESS,1
4096,False,40000,lz4,2,20,512,2,11,9,32,16,67108864,-116609,0.1,SUCCESS,1
32,False,0,lz4,8,16,8,128,5,7,128,4,16,-7204,0.1,SUCCESS,1
2048,False,360000,lz4,4,1024,4,-1,11,1,64,8,65536,-25803,0.1,SUCCESS,1
1,False,0,lz4,256,1,32,1,3,0,4,4,1,-17274,0.1,SUCCESS,1
